"method","budget","seeds","ap_03_mean","ap_03_std","ap_05_mean","ap_05_std","ap_07_mean","ap_07_std","non_ego_packet_total_mean"
"area_aware_union","5","deterministic","0.405018","0.000000","0.396807","0.000000","0.251957","0.000000","44"
"area_aware_union","10","deterministic","0.678388","0.000000","0.676678","0.000000","0.538273","0.000000","99"
"comm_aware_topk","5","deterministic","0.452105","0.000000","0.443572","0.000000","0.296352","0.000000","44"
"comm_aware_topk","10","deterministic","0.688703","0.000000","0.686146","0.000000","0.545736","0.000000","99"
"confidence_topk","5","deterministic","0.358450","0.000000","0.345556","0.000000","0.221396","0.000000","44"
"confidence_topk","10","deterministic","0.629379","0.000000","0.624088","0.000000","0.436000","0.000000","99"
"full","5","deterministic","0.851209","0.000000","0.839868","0.000000","0.525203","0.000000","209"
"full","10","deterministic","0.851209","0.000000","0.839868","0.000000","0.526521","0.000000","209"
"random","5","7,11,23,37","0.321267","0.040664","0.302982","0.041818","0.163843","0.026394","44.000000"
"random","10","7,11,23,37","0.587821","0.030247","0.571077","0.030692","0.328993","0.038178","99.000000"
