scenario_id,timestamp,method,budget,selected_count,non_ego_selected_count,selected_agents,pred_count,gt_count
2026_07_15_02_33_21,000060,random,5,5,4,1;19;16;13;15,24,64
2026_07_15_02_33_21,000060,random,10,10,9,1;15;14;2;18;19;3;7;11;6,43,68
2026_07_15_02_33_21,000062,random,5,5,4,1;3;14;19;4,19,45
2026_07_15_02_33_21,000062,random,10,10,9,1;7;9;17;3;5;20;6;4;11,50,68
2026_07_15_02_33_21,000064,random,5,5,4,1;16;17;4;9,17,48
2026_07_15_02_33_21,000064,random,10,10,9,1;10;13;18;3;6;15;7;2;11,46,69
2026_07_15_02_33_21,000066,random,5,5,4,1;7;6;18;3,24,55
2026_07_15_02_33_21,000066,random,10,10,9,1;20;4;18;19;12;16;14;13;5,27,58
2026_07_15_02_33_21,000068,random,5,5,4,1;17;15;18;14,19,37
2026_07_15_02_33_21,000068,random,10,10,9,1;7;10;18;6;15;13;9;14;2,40,71
2026_07_15_02_33_21,000070,random,5,5,4,1;20;10;15;6,35,63
2026_07_15_02_33_21,000070,random,10,10,9,1;18;14;9;15;19;6;20;13;16,34,67
2026_07_15_02_33_21,000072,random,5,5,4,1;18;5;12;2,21,51
2026_07_15_02_33_21,000072,random,10,10,9,1;15;12;7;19;6;16;9;10;3,42,69
2026_07_15_02_33_21,000074,random,5,5,4,1;18;19;9;8,16,48
2026_07_15_02_33_21,000074,random,10,10,9,1;7;8;6;3;17;9;13;11;10,49,67
2026_07_15_02_33_21,000076,random,5,5,4,1;5;2;3;13,19,56
2026_07_15_02_33_21,000076,random,10,10,9,1;19;10;3;11;13;9;5;16;7,41,62
2026_07_15_02_33_21,000078,random,5,5,4,1;8;13;9;18,20,52
2026_07_15_02_33_21,000078,random,10,10,9,1;6;9;8;15;19;17;16;14;5,40,67
2026_07_15_02_33_21,000080,random,5,5,4,1;8;5;10;12,32,57
2026_07_15_02_33_21,000080,random,10,10,9,1;16;6;10;5;11;12;13;4;14,45,70
