method,budget,frames,selected_mean,non_ego_selected_mean,area_agent_rows_mean,slice_points_total,slice_points_mean,slice_bytes_total,slice_bytes_mean,bytes_per_point,ap_03,ap_05,ap_07,gt_total,pred_samples
area_aware_union,10,11,10.000000,9.000000,207.000000,167146,15195.090909,2674336,243121.454545,16,0.678388,0.676678,0.538273,691,502
area_aware_union,5,11,5.000000,4.000000,92.000000,68044,6185.818182,1088704,98973.090909,16,0.405018,0.396807,0.251957,573,321
comm_aware_topk,10,11,10.000000,9.000000,207.000000,174027,15820.636364,2784432,253130.181818,16,0.688703,0.686146,0.545736,709,510
comm_aware_topk,5,11,5.000000,4.000000,92.000000,82692,7517.454545,1323072,120279.272727,16,0.452105,0.443572,0.296352,624,346
confidence_topk,10,11,10.000000,9.000000,207.000000,155697,14154.272727,2491152,226468.363636,16,0.629379,0.624088,0.436000,692,476
confidence_topk,5,11,5.000000,4.000000,92.000000,65584,5962.181818,1049344,95394.909091,16,0.358450,0.345556,0.221396,573,263
full,10,11,20.000000,19.000000,437.000000,255230,23202.727273,4083680,371243.636364,16,0.851209,0.839868,0.526521,782,674
full,5,11,20.000000,19.000000,437.000000,255230,23202.727273,4083680,371243.636364,16,0.851209,0.839868,0.525203,782,674
random,10,11,10.000000,9.000000,207.000000,124078,11279.818182,1985248,180477.090909,16,0.611342,0.598993,0.380556,730,482
random,5,11,5.000000,4.000000,92.000000,54253,4932.090909,868048,78913.454545,16,0.331922,0.314671,0.165521,586,287
