scenario_id,timestamp,method,budget,planned_areas,selected_agents,non_ego_agents,non_ego_count,area_agent_rows,slice_points,slice_bytes
2026_07_15_02_33_21,000060,full,5,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,27345,437520
2026_07_15_02_33_21,000060,random,5,30,1;11;12;15;9,11;12;15;9,4,120,6250,100000
2026_07_15_02_33_21,000060,confidence_topk,5,30,1;12;4;13;10,12;4;13;10,4,120,7915,126640
2026_07_15_02_33_21,000060,comm_aware_topk,5,30,1;4;12;11;10,4;12;11;10,4,120,9712,155392
2026_07_15_02_33_21,000060,area_aware_union,5,30,1;12;10;20;11,12;10;20;11,4,120,9761,156176
2026_07_15_02_33_21,000060,full,10,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,27345,437520
2026_07_15_02_33_21,000060,random,10,30,1;8;13;2;9;14;11;7;12;19,8;13;2;9;14;11;7;12;19,9,270,14636,234176
2026_07_15_02_33_21,000060,confidence_topk,10,30,1;12;4;13;10;7;20;9;16;11,12;4;13;10;7;20;9;16;11,9,270,17998,287968
2026_07_15_02_33_21,000060,comm_aware_topk,10,30,1;4;12;11;10;13;7;9;20;8,4;12;11;10;13;7;9;20;8,9,270,20581,329296
2026_07_15_02_33_21,000060,area_aware_union,10,30,1;12;10;20;11;13;7;14;8;4,12;10;20;11;13;7;14;8;4,9,270,18892,302272
2026_07_15_02_33_21,000062,full,5,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,27168,434688
2026_07_15_02_33_21,000062,random,5,30,1;7;15;14;2,7;15;14;2,4,120,4147,66352
2026_07_15_02_33_21,000062,confidence_topk,5,30,1;12;4;13;10,12;4;13;10,4,120,7590,121440
2026_07_15_02_33_21,000062,comm_aware_topk,5,30,1;4;12;11;10,4;12;11;10,4,120,9379,150064
2026_07_15_02_33_21,000062,area_aware_union,5,30,1;12;10;20;11,12;10;20;11,4,120,9586,153376
2026_07_15_02_33_21,000062,full,10,30,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,570,27168,434688
2026_07_15_02_33_21,000062,random,10,30,1;9;12;16;19;15;17;18;3;2,9;12;16;19;15;17;18;3;2,9,270,7230,115680
