scenario_id,timestamp,method,budget,selected_agents,non_ego_agents,non_ego_count,raw_points,raw_bytes
2026_07_15_02_33_21,000060,full,5,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97490,1559840
2026_07_15_02_33_21,000060,random,5,1;11;12;15;9,11;12;15;9,4,20352,325632
2026_07_15_02_33_21,000060,confidence_topk,5,1;12;4;13;10,12;4;13;10,4,20635,330160
2026_07_15_02_33_21,000060,comm_aware_topk,5,1;4;12;11;10,4;12;11;10,4,20626,330016
2026_07_15_02_33_21,000060,area_aware_union,5,1;12;10;20;11,12;10;20;11,4,20647,330352
2026_07_15_02_33_21,000060,full,10,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97490,1559840
2026_07_15_02_33_21,000060,random,10,1;8;13;2;9;14;11;7;12;19,8;13;2;9;14;11;7;12;19,9,46320,741120
2026_07_15_02_33_21,000060,confidence_topk,10,1;12;4;13;10;7;20;9;16;11,12;4;13;10;7;20;9;16;11,9,46460,743360
2026_07_15_02_33_21,000060,comm_aware_topk,10,1;4;12;11;10;13;7;9;20;8,4;12;11;10;13;7;9;20;8,9,46347,741552
2026_07_15_02_33_21,000060,area_aware_union,10,1;12;10;20;11;13;7;14;8;4,12;10;20;11;13;7;14;8;4,9,46478,743648
2026_07_15_02_33_21,000062,full,5,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97496,1559936
2026_07_15_02_33_21,000062,random,5,1;7;15;14;2,7;15;14;2,4,20361,325776
2026_07_15_02_33_21,000062,confidence_topk,5,1;12;4;13;10,12;4;13;10,4,20621,329936
2026_07_15_02_33_21,000062,comm_aware_topk,5,1;4;12;11;10,4;12;11;10,4,20612,329792
2026_07_15_02_33_21,000062,area_aware_union,5,1;12;10;20;11,12;10;20;11,4,20645,330320
2026_07_15_02_33_21,000062,full,10,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97496,1559936
2026_07_15_02_33_21,000062,random,10,1;9;12;16;19;15;17;18;3;2,9;12;16;19;15;17;18;3;2,9,46288,740608
2026_07_15_02_33_21,000062,confidence_topk,10,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,46435,742960
2026_07_15_02_33_21,000062,comm_aware_topk,10,1;4;12;11;10;13;7;9;20;8,4;12;11;10;13;7;9;20;8,9,46334,741344
2026_07_15_02_33_21,000062,area_aware_union,10,1;12;10;20;11;13;7;14;8;4,12;10;20;11;13;7;14;8;4,9,46481,743696
