method,budget,frames,selected_mean,non_ego_selected_mean,raw_points_total,raw_points_mean,raw_bytes_total,raw_bytes_mean,bytes_per_point,ap_03,ap_05,ap_07,gt_total,pred_samples
area_aware_union,10,11,10.000000,9.000000,511426,46493.272727,8182816,743892.363636,16,0.678388,0.676678,0.538273,691,502
area_aware_union,5,11,5.000000,4.000000,227598,20690.727273,3641568,331051.636364,16,0.405018,0.396807,0.251957,573,321
comm_aware_topk,10,11,10.000000,9.000000,509458,46314.363636,8151328,741029.818182,16,0.688703,0.686146,0.545736,709,510
comm_aware_topk,5,11,5.000000,4.000000,226824,20620.363636,3629184,329925.818182,16,0.452105,0.443572,0.296352,624,346
confidence_topk,10,11,10.000000,9.000000,511058,46459.818182,8176928,743357.090909,16,0.629379,0.624088,0.436000,692,476
confidence_topk,5,11,5.000000,4.000000,226893,20626.636364,3630288,330026.181818,16,0.358450,0.345556,0.221396,573,263
full,10,11,20.000000,19.000000,1072807,97527.909091,17164912,1560446.545455,16,0.851209,0.839868,0.526521,782,674
full,5,11,20.000000,19.000000,1072807,97527.909091,17164912,1560446.545455,16,0.851209,0.839868,0.525203,782,674
random,10,11,10.000000,9.000000,507671,46151.909091,8122736,738430.545455,16,0.611342,0.598993,0.380556,730,482
random,5,11,5.000000,4.000000,225656,20514.181818,3610496,328226.909091,16,0.331922,0.314671,0.165521,586,287
