area_plan,method,structure,frames,budget_label,ap_05,ap_07,area_slice_bytes_per_frame,byte_ratio_vs_comm_aware10,ap05_ratio_vs_comm_aware10,ap07_ratio_vs_comm_aware10,byte_accounting,source
area23,comm_aware_topk_10,flat_selective_sharing,11,10_agents,0.686146,0.545736,253130.181818,1.000000,1.000000,1.000000,raw_slices_on_lgcp_planned_areas,docs/doc_workspace/LGCP/experiments/ablation/20260718_lgcp_flat_area_slice_accounting_area23_11f/flat_area_slice_summary.csv
area23,area_aware_union_10,flat_selective_sharing,11,10_agents,0.676678,0.538273,243121.454545,0.960464,0.986201,0.986324,raw_slices_on_lgcp_planned_areas,docs/doc_workspace/LGCP/experiments/ablation/20260718_lgcp_flat_area_slice_accounting_area23_11f/flat_area_slice_summary.csv
area23,confidence_topk_10,flat_selective_sharing,11,10_agents,0.624088,0.436000,226468.363636,0.894671,0.909553,0.798920,raw_slices_on_lgcp_planned_areas,docs/doc_workspace/LGCP/experiments/ablation/20260718_lgcp_flat_area_slice_accounting_area23_11f/flat_area_slice_summary.csv
area23,random_10,flat_selective_sharing,11,10_agents,0.598993,0.380556,180477.090909,0.713002,0.873000,0.697323,raw_slices_on_lgcp_planned_areas,docs/doc_workspace/LGCP/experiments/ablation/20260718_lgcp_flat_area_slice_accounting_area23_11f/flat_area_slice_summary.csv
area23,lgcp_top23_box_late_fusion,local_to_global_hierarchy,11,23_areas,0.554762,0.460461,93985.454545,0.371292,0.808520,0.843741,raw_member_slice_plus_leader_result_estimate,docs/doc_workspace/LGCP/experiments/hierarchy_plan/20260718_lgcp_carla_hierarchy_late_fusion_top23_11f/rsu_global_eval_summary.csv
area30,comm_aware_topk_10,flat_selective_sharing,11,10_agents,0.686146,0.545736,295755.636364,1.000000,1.000000,1.000000,raw_slices_on_lgcp_planned_areas,docs/doc_workspace/LGCP/experiments/ablation/20260718_lgcp_flat_area_slice_accounting_area30_11f/flat_area_slice_summary.csv
area30,area_aware_union_10,flat_selective_sharing,11,10_agents,0.676678,0.538273,279665.454545,0.945596,0.986201,0.986324,raw_slices_on_lgcp_planned_areas,docs/doc_workspace/LGCP/experiments/ablation/20260718_lgcp_flat_area_slice_accounting_area30_11f/flat_area_slice_summary.csv
area30,confidence_topk_10,flat_selective_sharing,11,10_agents,0.624088,0.436000,268778.181818,0.908785,0.909553,0.798920,raw_slices_on_lgcp_planned_areas,docs/doc_workspace/LGCP/experiments/ablation/20260718_lgcp_flat_area_slice_accounting_area30_11f/flat_area_slice_summary.csv
area30,random_10,flat_selective_sharing,11,10_agents,0.598993,0.380556,204599.272727,0.691792,0.873000,0.697323,raw_slices_on_lgcp_planned_areas,docs/doc_workspace/LGCP/experiments/ablation/20260718_lgcp_flat_area_slice_accounting_area30_11f/flat_area_slice_summary.csv
area30,lgcp_top30_box_late_fusion,local_to_global_hierarchy,11,30_areas,0.602748,0.506345,119415.272727,0.403765,0.878456,0.927823,scheduled_raw_slice_plan,docs/doc_workspace/LGCP/experiments/hierarchy_plan/20260718_lgcp_carla_hierarchy_late_fusion_top30_11f/rsu_global_eval_summary.csv
