area_id,gt_03,tp_03,fp_03,ap_03,recall_03,precision_03,gt_05,tp_05,fp_05,ap_05,recall_05,precision_05,gt_07,tp_07,fp_07,ap_07,recall_07,precision_07
11_4,11,10,0,0.909091,0.909091,1.000000,11,10,0,0.909091,0.909091,1.000000,11,10,0,0.909091,0.909091,1.000000
11_5,11,11,2,0.986014,1.000000,0.846154,11,11,2,0.986014,1.000000,0.846154,11,11,2,0.986014,1.000000,0.846154
11_6,3,2,0,0.666667,0.666667,1.000000,3,2,0,0.666667,0.666667,1.000000,3,2,0,0.666667,0.666667,1.000000
11_7,22,22,0,1.000000,1.000000,1.000000,22,22,0,1.000000,1.000000,1.000000,22,22,0,1.000000,1.000000,1.000000
11_8,11,11,0,1.000000,1.000000,1.000000,11,11,0,1.000000,1.000000,1.000000,11,11,0,1.000000,1.000000,1.000000
12_10,2,2,2,1.000000,1.000000,0.500000,2,2,2,1.000000,1.000000,0.500000,2,2,2,1.000000,1.000000,0.500000
12_11,9,9,0,1.000000,1.000000,1.000000,9,9,0,1.000000,1.000000,1.000000,9,9,0,1.000000,1.000000,1.000000
12_13,1,1,0,1.000000,1.000000,1.000000,1,1,0,1.000000,1.000000,1.000000,1,1,0,1.000000,1.000000,1.000000
12_3,11,11,0,1.000000,1.000000,1.000000,11,11,0,1.000000,1.000000,1.000000,11,10,1,0.909091,0.909091,0.909091
12_4,22,16,0,0.727273,0.727273,1.000000,22,16,0,0.727273,0.727273,1.000000,22,16,0,0.727273,0.727273,1.000000
12_5,8,8,0,1.000000,1.000000,1.000000,8,8,0,1.000000,1.000000,1.000000,8,8,0,1.000000,1.000000,1.000000
12_6,0,0,1,,,,0,0,1,,,,0,0,1,,,
12_7,11,11,0,1.000000,1.000000,1.000000,11,11,0,1.000000,1.000000,1.000000,11,11,0,1.000000,1.000000,1.000000
12_9,33,30,0,0.909091,0.909091,1.000000,33,30,0,0.909091,0.909091,1.000000,33,28,2,0.809091,0.848485,0.933333
13_0,22,19,0,0.863636,0.863636,1.000000,22,19,0,0.863636,0.863636,1.000000,22,19,0,0.863636,0.863636,1.000000
13_1,0,0,3,,,,0,0,3,,,,0,0,3,,,
13_2,33,33,0,1.000000,1.000000,1.000000,33,33,0,1.000000,1.000000,1.000000,33,33,0,1.000000,1.000000,1.000000
13_3,22,22,0,1.000000,1.000000,1.000000,22,22,0,1.000000,1.000000,1.000000,22,20,2,0.830579,0.909091,0.909091
13_9,11,7,0,0.636364,0.636364,1.000000,11,7,0,0.636364,0.636364,1.000000,11,7,0,0.636364,0.636364,1.000000
14_0,2,2,0,1.000000,1.000000,1.000000,2,2,0,1.000000,1.000000,1.000000,2,2,0,1.000000,1.000000,1.000000
14_1,20,18,0,0.900000,0.900000,1.000000,20,18,0,0.900000,0.900000,1.000000,20,18,0,0.900000,0.900000,1.000000
14_10,17,15,0,0.882353,0.882353,1.000000,17,15,0,0.882353,0.882353,1.000000,17,9,6,0.368627,0.529412,0.600000
14_11,16,16,2,0.962607,1.000000,0.888889,16,16,2,0.962607,1.000000,0.888889,16,12,6,0.520833,0.750000,0.666667
14_13,3,1,0,0.333333,0.333333,1.000000,3,1,0,0.333333,0.333333,1.000000,3,1,0,0.333333,0.333333,1.000000
14_3,22,15,0,0.681818,0.681818,1.000000,22,15,0,0.681818,0.681818,1.000000,22,15,0,0.681818,0.681818,1.000000
14_9,11,11,0,1.000000,1.000000,1.000000,11,11,0,1.000000,1.000000,1.000000,11,6,5,0.545455,0.545455,0.545455
15_2,11,11,0,1.000000,1.000000,1.000000,11,11,0,1.000000,1.000000,1.000000,11,11,0,1.000000,1.000000,1.000000
15_3,22,0,0,,,,22,0,0,,,,22,0,0,,,
15_4,22,8,2,0.328788,0.363636,0.800000,22,8,2,0.328788,0.363636,0.800000,22,8,2,0.328788,0.363636,0.800000
15_5,0,0,3,,,,0,0,3,,,,0,0,3,,,
15_6,11,11,0,1.000000,1.000000,1.000000,11,11,0,1.000000,1.000000,1.000000,11,10,1,0.909091,0.909091,0.909091
15_8,11,11,1,0.977273,1.000000,0.916667,11,11,1,0.977273,1.000000,0.916667,11,11,1,0.977273,1.000000,0.916667
15_9,11,9,0,0.818182,0.818182,1.000000,11,9,0,0.818182,0.818182,1.000000,11,6,3,0.522727,0.545455,0.666667
16_4,11,9,0,0.818182,0.818182,1.000000,11,9,0,0.818182,0.818182,1.000000,11,9,0,0.818182,0.818182,1.000000
16_5,11,4,0,0.363636,0.363636,1.000000,11,4,0,0.363636,0.363636,1.000000,11,4,0,0.363636,0.363636,1.000000
16_7,11,11,0,1.000000,1.000000,1.000000,11,11,0,1.000000,1.000000,1.000000,11,9,2,0.755608,0.818182,0.818182
16_8,11,10,0,0.909091,0.909091,1.000000,11,10,0,0.909091,0.909091,1.000000,11,10,0,0.909091,0.909091,1.000000
17_5,22,11,0,0.500000,0.500000,1.000000,22,11,0,0.500000,0.500000,1.000000,22,11,0,0.500000,0.500000,1.000000
17_7,11,11,1,0.924242,1.000000,0.916667,11,11,1,0.924242,1.000000,0.916667,11,11,1,0.924242,1.000000,0.916667
18_7,13,9,1,0.692308,0.692308,0.900000,13,5,5,0.213675,0.384615,0.500000,13,2,8,0.034188,0.153846,0.200000
