scope,confidence,quality,samples,pearson,spearman
area_frame,confidence_mean,recall_03,354,0.187704,0.178641
area_frame,confidence_mean,recall_05,354,0.197734,0.189724
area_frame,confidence_mean,recall_07,354,0.270723,0.245648
area_frame,confidence_max,recall_03,354,0.160105,0.564487
area_frame,confidence_max,recall_05,354,0.242796,0.570690
area_frame,confidence_max,recall_07,354,0.232376,0.508031
area_frame,confidence_noisy_or,recall_03,354,0.150619,0.564298
area_frame,confidence_noisy_or,recall_05,354,0.229353,0.570407
area_frame,confidence_noisy_or,recall_07,354,0.218160,0.508591
area_frame,density_distance_mean,recall_03,354,0.195983,0.183746
area_frame,density_distance_mean,recall_05,354,0.215205,0.198655
area_frame,density_distance_mean,recall_07,354,0.280137,0.254210
area_frame,density_distance_max,recall_03,354,0.159720,0.125360
area_frame,density_distance_max,recall_05,354,0.238270,0.137145
area_frame,density_distance_max,recall_07,354,0.204455,0.102365
area_frame,score_mean,recall_03,321,0.068998,0.022254
area_frame,score_mean,recall_05,321,0.096747,0.019707
area_frame,score_mean,recall_07,321,0.146942,0.075767
area_frame,score_max,recall_03,321,0.122795,0.054835
area_frame,score_max,recall_05,321,0.145150,0.050530
area_frame,score_max,recall_07,321,0.182387,0.095939
area_frame,score_top2_mean,recall_03,321,0.077213,0.027271
area_frame,score_top2_mean,recall_05,321,0.104572,0.022178
area_frame,score_top2_mean,recall_07,321,0.154546,0.083796
area_frame,score_top3_mean,recall_03,321,0.068998,0.022254
area_frame,score_top3_mean,recall_05,321,0.096747,0.019707
area_frame,score_top3_mean,recall_07,321,0.146942,0.075767
area_accumulated,confidence_mean,ap_03,36,0.351229,0.373745
area_accumulated,confidence_mean,ap_05,36,0.359067,0.384556
area_accumulated,confidence_mean,ap_07,36,0.446989,0.469498
area_accumulated,confidence_max,ap_03,36,0.292416,0.395624
area_accumulated,confidence_max,ap_05,36,0.401529,0.411840
area_accumulated,confidence_max,ap_07,36,0.331306,0.409781
area_accumulated,confidence_noisy_or,ap_03,36,0.289319,0.395624
area_accumulated,confidence_noisy_or,ap_05,36,0.380141,0.411840
area_accumulated,confidence_noisy_or,ap_07,36,0.303912,0.409781
area_accumulated,density_distance_mean,ap_03,36,0.348913,0.359331
area_accumulated,density_distance_mean,ap_05,36,0.384103,0.376319
area_accumulated,density_distance_mean,ap_07,36,0.463482,0.450450
area_accumulated,density_distance_max,ap_03,36,0.325945,0.246589
area_accumulated,density_distance_max,ap_05,36,0.464530,0.265894
area_accumulated,density_distance_max,ap_07,36,0.373098,0.105792
area_accumulated,score_mean,ap_03,36,0.264850,0.390219
area_accumulated,score_mean,ap_05,36,0.299850,0.402059
area_accumulated,score_mean,ap_07,36,0.338331,0.395882
area_accumulated,score_max,ap_03,36,0.285325,0.357786
area_accumulated,score_max,ap_05,36,0.312057,0.369369
area_accumulated,score_max,ap_07,36,0.340833,0.367053
area_accumulated,score_top2_mean,ap_03,36,0.274569,0.383526
area_accumulated,score_top2_mean,ap_05,36,0.309030,0.395367
area_accumulated,score_top2_mean,ap_07,36,0.349922,0.401030
area_accumulated,score_top3_mean,ap_03,36,0.264850,0.390219
area_accumulated,score_top3_mean,ap_05,36,0.299850,0.402059
area_accumulated,score_top3_mean,ap_07,36,0.338331,0.395882
