scenario_id,timestamp,agent_area_rows,gt_area_count,gt_object_count_in_roi,density_gt_count_pearson,density_gt_count_spearman,quality_gt_count,quality_pred_count,quality_recall_05
2026_07_15_02_33_21,000060,1945,12,14,-0.028869,-0.051536,48,40,0.791667
2026_07_15_02_33_21,000062,1949,12,14,-0.029360,-0.072819,47,42,0.851064
2026_07_15_02_33_21,000064,1942,12,14,-0.028361,-0.064157,47,40,0.829787
2026_07_15_02_33_21,000066,1954,13,15,-0.036580,-0.058395,47,41,0.851064
2026_07_15_02_33_21,000068,1949,13,15,-0.036773,-0.073502,47,39,0.829787
2026_07_15_02_33_21,000070,1954,13,15,-0.036451,-0.086343,47,39,0.765957
2026_07_15_02_33_21,000072,1918,12,14,-0.037671,-0.074645,46,38,0.782609
2026_07_15_02_33_21,000074,1933,12,14,-0.036234,-0.074583,45,40,0.844444
2026_07_15_02_33_21,000076,1952,13,15,-0.038418,-0.077894,46,37,0.739130
2026_07_15_02_33_21,000078,1957,13,15,-0.040900,-0.072413,46,40,0.804348
2026_07_15_02_33_21,000080,1965,13,15,-0.039612,-0.079842,46,40,0.804348
