area_id,gt_03,tp_03,fp_03,ap_03,recall_03,precision_03,gt_05,tp_05,fp_05,ap_05,recall_05,precision_05,gt_07,tp_07,fp_07,ap_07,recall_07,precision_07
11_4,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000
11_5,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000
11_7,6,6,0,1.000000,1.000000,1.000000,6,6,0,1.000000,1.000000,1.000000,6,6,0,1.000000,1.000000,1.000000
11_8,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000
12_10,2,2,0,1.000000,1.000000,1.000000,2,2,0,1.000000,1.000000,1.000000,2,2,0,1.000000,1.000000,1.000000
12_11,1,1,0,1.000000,1.000000,1.000000,1,1,0,1.000000,1.000000,1.000000,1,1,0,1.000000,1.000000,1.000000
12_13,1,1,0,1.000000,1.000000,1.000000,1,1,0,1.000000,1.000000,1.000000,1,1,0,1.000000,1.000000,1.000000
12_3,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000
12_4,6,4,0,0.666667,0.666667,1.000000,6,4,0,0.666667,0.666667,1.000000,6,4,0,0.666667,0.666667,1.000000
12_5,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000
12_7,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000
12_9,9,9,0,1.000000,1.000000,1.000000,9,9,0,1.000000,1.000000,1.000000,9,8,1,0.851852,0.888889,0.888889
13_0,6,6,0,1.000000,1.000000,1.000000,6,6,0,1.000000,1.000000,1.000000,6,6,0,1.000000,1.000000,1.000000
13_2,9,9,0,1.000000,1.000000,1.000000,9,9,0,1.000000,1.000000,1.000000,9,9,0,1.000000,1.000000,1.000000
13_3,6,6,0,1.000000,1.000000,1.000000,6,6,0,1.000000,1.000000,1.000000,6,5,1,0.722222,0.833333,0.833333
13_9,3,2,0,0.666667,0.666667,1.000000,3,2,0,0.666667,0.666667,1.000000,3,2,0,0.666667,0.666667,1.000000
14_1,6,5,0,0.833333,0.833333,1.000000,6,5,0,0.833333,0.833333,1.000000,6,5,0,0.833333,0.833333,1.000000
14_10,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000,3,2,1,0.555556,0.666667,0.666667
14_11,6,6,0,1.000000,1.000000,1.000000,6,6,0,1.000000,1.000000,1.000000,6,3,3,0.333333,0.500000,0.500000
14_3,6,4,0,0.666667,0.666667,1.000000,6,4,0,0.666667,0.666667,1.000000,6,4,0,0.666667,0.666667,1.000000
14_9,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000
15_2,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000
15_3,6,0,0,,,,6,0,0,,,,6,0,0,,,
15_4,6,3,0,0.500000,0.500000,1.000000,6,3,0,0.500000,0.500000,1.000000,6,3,0,0.500000,0.500000,1.000000
15_6,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000
15_8,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000
15_9,3,2,0,0.666667,0.666667,1.000000,3,2,0,0.666667,0.666667,1.000000,3,2,0,0.666667,0.666667,1.000000
16_4,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000
16_5,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000
16_7,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000
16_8,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000,3,3,0,1.000000,1.000000,1.000000
17_5,6,3,0,0.500000,0.500000,1.000000,6,3,0,0.500000,0.500000,1.000000,6,3,0,0.500000,0.500000,1.000000
17_7,3,3,1,0.833333,1.000000,0.750000,3,3,1,0.833333,1.000000,0.750000,3,3,1,0.833333,1.000000,0.750000
18_7,6,4,0,0.666667,0.666667,1.000000,6,0,4,0.000000,0.000000,0.000000,6,0,4,0.000000,0.000000,0.000000
