scope,confidence,quality,samples,pearson,spearman
area_frame,confidence_mean,recall_03,97,0.248437,0.237495
area_frame,confidence_mean,recall_05,97,0.277646,0.242663
area_frame,confidence_mean,recall_07,97,0.291751,0.261808
area_frame,confidence_max,recall_03,97,0.152637,0.635112
area_frame,confidence_max,recall_05,97,0.424462,0.647552
area_frame,confidence_max,recall_07,97,0.374544,0.477278
area_frame,confidence_noisy_or,recall_03,97,0.113441,0.635112
area_frame,confidence_noisy_or,recall_05,97,0.385940,0.647552
area_frame,confidence_noisy_or,recall_07,97,0.340763,0.477278
area_frame,density_distance_mean,recall_03,97,0.254751,0.259586
area_frame,density_distance_mean,recall_05,97,0.323188,0.272039
area_frame,density_distance_mean,recall_07,97,0.328118,0.283663
area_frame,density_distance_max,recall_03,97,0.143913,0.154915
area_frame,density_distance_max,recall_05,97,0.407757,0.179531
area_frame,density_distance_max,recall_07,97,0.362224,0.111364
area_accumulated,confidence_mean,ap_03,33,0.386854,0.461898
area_accumulated,confidence_mean,ap_05,33,0.364383,0.460561
area_accumulated,confidence_mean,ap_07,33,0.384132,0.398061
area_accumulated,confidence_max,ap_03,33,0.174014,0.518717
area_accumulated,confidence_max,ap_05,33,0.430768,0.524064
area_accumulated,confidence_max,ap_07,33,0.337278,0.289773
area_accumulated,confidence_noisy_or,ap_03,33,0.111549,0.518717
area_accumulated,confidence_noisy_or,ap_05,33,0.371881,0.524064
area_accumulated,confidence_noisy_or,ap_07,33,0.287535,0.289773
area_accumulated,density_distance_mean,ap_03,33,0.395673,0.447193
area_accumulated,density_distance_mean,ap_05,33,0.419267,0.448864
area_accumulated,density_distance_mean,ap_07,33,0.424459,0.380348
area_accumulated,density_distance_max,ap_03,33,0.233658,0.232620
area_accumulated,density_distance_max,ap_05,33,0.488871,0.244318
area_accumulated,density_distance_max,ap_07,33,0.396050,0.174799
