scope,confidence,quality,samples,pearson,spearman
area_frame,confidence_mean,recall_03,209,0.193661,0.056659
area_frame,confidence_mean,recall_05,209,0.246078,0.073980
area_frame,confidence_mean,recall_07,209,0.399539,0.290531
area_frame,confidence_max,recall_03,209,0.287981,0.444187
area_frame,confidence_max,recall_05,209,0.426630,0.459763
area_frame,confidence_max,recall_07,209,0.453517,0.438033
area_frame,confidence_noisy_or,recall_03,209,0.222675,0.442569
area_frame,confidence_noisy_or,recall_05,209,0.401608,0.458975
area_frame,confidence_noisy_or,recall_07,209,0.451257,0.438143
area_frame,density_distance_mean,recall_03,209,0.218029,0.071559
area_frame,density_distance_mean,recall_05,209,0.281555,0.090679
area_frame,density_distance_mean,recall_07,209,0.435700,0.297871
area_frame,density_distance_max,recall_03,209,0.315340,0.189901
area_frame,density_distance_max,recall_05,209,0.449067,0.215524
area_frame,density_distance_max,recall_07,209,0.464972,0.211152
area_frame,score_mean,recall_03,206,0.212240,0.149434
area_frame,score_mean,recall_05,206,0.244637,0.173859
area_frame,score_mean,recall_07,206,0.266455,0.211424
area_frame,score_max,recall_03,206,0.256850,0.175406
area_frame,score_max,recall_05,206,0.291257,0.195193
area_frame,score_max,recall_07,206,0.299663,0.220620
area_frame,score_top2_mean,recall_03,206,0.239626,0.168686
area_frame,score_top2_mean,recall_05,206,0.273322,0.190092
area_frame,score_top2_mean,recall_07,206,0.283056,0.210226
area_frame,score_top3_mean,recall_03,206,0.242541,0.178908
area_frame,score_top3_mean,recall_05,206,0.273015,0.200810
area_frame,score_top3_mean,recall_07,206,0.288127,0.219752
area_accumulated,confidence_mean,ap_03,21,0.279679,0.097403
area_accumulated,confidence_mean,ap_05,21,0.383854,0.116883
area_accumulated,confidence_mean,ap_07,21,0.535680,0.512987
area_accumulated,confidence_max,ap_03,21,0.404944,0.254545
area_accumulated,confidence_max,ap_05,21,0.580867,0.253247
area_accumulated,confidence_max,ap_07,21,0.538749,0.433766
area_accumulated,confidence_noisy_or,ap_03,21,0.214211,0.225974
area_accumulated,confidence_noisy_or,ap_05,21,0.505131,0.233766
area_accumulated,confidence_noisy_or,ap_07,21,0.502905,0.411688
area_accumulated,density_distance_mean,ap_03,21,0.322043,0.155844
area_accumulated,density_distance_mean,ap_05,21,0.443587,0.162338
area_accumulated,density_distance_mean,ap_07,21,0.588883,0.542857
area_accumulated,density_distance_max,ap_03,21,0.423540,0.253247
area_accumulated,density_distance_max,ap_05,21,0.619355,0.296104
area_accumulated,density_distance_max,ap_07,21,0.576319,0.227273
area_accumulated,score_mean,ap_03,21,0.137777,0.345455
area_accumulated,score_mean,ap_05,21,0.239125,0.472727
area_accumulated,score_mean,ap_07,21,0.312607,0.336364
area_accumulated,score_max,ap_03,21,0.196773,0.406494
area_accumulated,score_max,ap_05,21,0.297727,0.468831
area_accumulated,score_max,ap_07,21,0.342874,0.351948
area_accumulated,score_top2_mean,ap_03,21,0.163988,0.464935
area_accumulated,score_top2_mean,ap_05,21,0.270659,0.542857
area_accumulated,score_top2_mean,ap_07,21,0.321271,0.364935
area_accumulated,score_top3_mean,ap_03,21,0.176886,0.453247
area_accumulated,score_top3_mean,ap_05,21,0.273912,0.532468
area_accumulated,score_top3_mean,ap_07,21,0.338594,0.350649
