scope,confidence,quality,samples,pearson,spearman
area_frame,confidence_mean,recall_03,354,0.202707,0.186489
area_frame,confidence_mean,recall_05,354,0.215811,0.197055
area_frame,confidence_mean,recall_07,354,0.274938,0.231198
area_frame,confidence_max,recall_03,354,0.151252,0.541541
area_frame,confidence_max,recall_05,354,0.240098,0.545988
area_frame,confidence_max,recall_07,354,0.227974,0.490118
area_frame,confidence_noisy_or,recall_03,354,0.150946,0.541909
area_frame,confidence_noisy_or,recall_05,354,0.240298,0.546341
area_frame,confidence_noisy_or,recall_07,354,0.226452,0.490436
area_frame,density_distance_mean,recall_03,354,0.210732,0.179847
area_frame,density_distance_mean,recall_05,354,0.231700,0.191548
area_frame,density_distance_mean,recall_07,354,0.285750,0.234344
area_frame,density_distance_max,recall_03,354,0.148901,0.113132
area_frame,density_distance_max,recall_05,354,0.227564,0.122294
area_frame,density_distance_max,recall_07,354,0.194808,0.100564
area_frame,score_mean,recall_03,321,0.068775,0.012937
area_frame,score_mean,recall_05,321,0.096527,0.027177
area_frame,score_mean,recall_07,321,0.146760,0.078321
area_frame,score_max,recall_03,321,0.122557,0.045675
area_frame,score_max,recall_05,321,0.144916,0.057112
area_frame,score_max,recall_07,321,0.182168,0.096630
area_frame,score_top2_mean,recall_03,321,0.076997,0.017630
area_frame,score_top2_mean,recall_05,321,0.104361,0.031242
area_frame,score_top2_mean,recall_07,321,0.154361,0.085714
area_frame,score_top3_mean,recall_03,321,0.068775,0.012937
area_frame,score_top3_mean,recall_05,321,0.096527,0.027177
area_frame,score_top3_mean,recall_07,321,0.146760,0.078321
area_accumulated,confidence_mean,ap_03,36,0.346698,0.371429
area_accumulated,confidence_mean,ap_05,36,0.348182,0.381982
area_accumulated,confidence_mean,ap_07,36,0.428702,0.450965
area_accumulated,confidence_max,ap_03,36,0.295637,0.395624
area_accumulated,confidence_max,ap_05,36,0.411531,0.411840
area_accumulated,confidence_max,ap_07,36,0.348649,0.409781
area_accumulated,confidence_noisy_or,ap_03,36,0.300122,0.395624
area_accumulated,confidence_noisy_or,ap_05,36,0.401395,0.411840
area_accumulated,confidence_noisy_or,ap_07,36,0.328023,0.409781
area_accumulated,density_distance_mean,ap_03,36,0.344393,0.351351
area_accumulated,density_distance_mean,ap_05,36,0.376639,0.367568
area_accumulated,density_distance_mean,ap_07,36,0.449330,0.429344
area_accumulated,density_distance_max,ap_03,36,0.325430,0.246589
area_accumulated,density_distance_max,ap_05,36,0.468016,0.266924
area_accumulated,density_distance_max,ap_07,36,0.380095,0.110940
area_accumulated,score_mean,ap_03,36,0.264754,0.385071
area_accumulated,score_mean,ap_05,36,0.299717,0.396911
area_accumulated,score_mean,ap_07,36,0.338098,0.391506
area_accumulated,score_max,ap_03,36,0.285226,0.352124
area_accumulated,score_max,ap_05,36,0.311930,0.363707
area_accumulated,score_max,ap_07,36,0.340598,0.362677
area_accumulated,score_top2_mean,ap_03,36,0.274474,0.378378
area_accumulated,score_top2_mean,ap_05,36,0.308901,0.390219
area_accumulated,score_top2_mean,ap_07,36,0.349688,0.396654
area_accumulated,score_top3_mean,ap_03,36,0.264754,0.385071
area_accumulated,score_top3_mean,ap_05,36,0.299717,0.396911
area_accumulated,score_top3_mean,ap_07,36,0.338098,0.391506
