lag_steps,source_timestamp,target_timestamp,top_k,current_top_count,stale_top_count,top_jaccard
0,000060,000060,40,40,40,1.000000
0,000062,000062,40,40,40,1.000000
0,000064,000064,40,40,40,1.000000
0,000066,000066,40,40,40,1.000000
0,000068,000068,40,40,40,1.000000
0,000070,000070,40,40,40,1.000000
0,000072,000072,40,40,40,1.000000
0,000074,000074,40,40,40,1.000000
0,000076,000076,40,40,40,1.000000
0,000078,000078,40,40,40,1.000000
0,000080,000080,40,40,40,1.000000
1,000060,000062,40,40,40,0.904762
1,000062,000064,40,40,40,0.904762
1,000064,000066,40,40,40,0.904762
1,000066,000068,40,40,40,0.777778
1,000068,000070,40,40,40,1.000000
1,000070,000072,40,40,40,0.860465
1,000072,000074,40,40,40,0.951220
1,000074,000076,40,40,40,0.904762
1,000076,000078,40,40,40,0.951220
1,000078,000080,40,40,40,0.951220
2,000060,000064,40,40,40,0.860465
2,000062,000066,40,40,40,0.818182
2,000064,000068,40,40,40,0.777778
2,000066,000070,40,40,40,0.777778
2,000068,000072,40,40,40,0.860465
2,000070,000074,40,40,40,0.860465
2,000072,000076,40,40,40,0.860465
2,000074,000078,40,40,40,0.904762
2,000076,000080,40,40,40,1.000000
3,000060,000066,40,40,40,0.777778
3,000062,000068,40,40,40,0.818182
3,000064,000070,40,40,40,0.777778
3,000066,000072,40,40,40,0.666667
3,000068,000074,40,40,40,0.860465
3,000070,000076,40,40,40,0.777778
3,000072,000078,40,40,40,0.860465
3,000074,000080,40,40,40,0.904762
