timestamp,sample_seed,agent_count,area_count,group_count,delta_g,total_group_load,greedy_max_load,optimal_max_load,absolute_gap,relative_gap,greedy_loads,optimal_loads,greedy_assignments,optimal_assignments
000060,7,5,3,3,0.050000,6,4,4,0.000000,0.000000,10:4;11:1;16:0;20:1;7:0,10:4;11:1;16:0;20:1;7:0,11_0:11;11_10:20;9_3:10,11_0:11;11_10:20;9_3:10
000060,7,5,3,3,0.075000,5,3,3,0.000000,0.000000,10:3;11:1;16:0;20:1;7:0,10:3;11:1;16:0;20:1;7:0,11_0:11;11_10:20;9_3:10,11_0:11;11_10:20;9_3:10
000060,7,5,3,3,0.100000,5,3,3,0.000000,0.000000,10:3;11:1;16:0;20:1;7:0,10:3;11:1;16:0;20:1;7:0,11_0:11;11_10:20;9_3:10,11_0:11;11_10:20;9_3:10
000060,7,5,3,3,0.125000,4,2,2,0.000000,0.000000,10:2;11:1;16:0;20:1;7:0,10:2;11:1;16:0;20:1;7:0,11_0:11;11_10:20;9_3:10,11_0:11;11_10:20;9_3:10
000060,11,5,3,3,0.050000,4,3,2,1.000000,0.500000,-1:3;10:0;20:1;7:0;9:0,-1:1;10:0;20:1;7:0;9:2,11_10:20;13_7:-1;9_3:-1,11_10:20;13_7:-1;9_3:9
000060,11,5,3,3,0.075000,4,3,2,1.000000,0.500000,-1:3;10:0;20:1;7:0;9:0,-1:1;10:0;20:1;7:0;9:2,11_10:20;13_7:-1;9_3:-1,11_10:20;13_7:-1;9_3:9
000060,11,5,3,3,0.100000,3,2,2,0.000000,0.000000,-1:2;10:0;20:1;7:0;9:0,-1:2;10:0;20:1;7:0;9:0,11_10:20;13_7:-1;9_3:-1,11_10:20;13_7:-1;9_3:-1
000060,11,5,3,3,0.125000,3,2,2,0.000000,0.000000,-1:2;10:0;20:1;7:0;9:0,-1:2;10:0;20:1;7:0;9:0,11_10:20;13_7:-1;9_3:-1,11_10:20;13_7:-1;9_3:-1
000060,23,5,3,3,0.050000,3,2,2,0.000000,0.000000,-1:2;10:0;13:1;4:0;7:0,-1:2;10:0;13:1;4:0;7:0,11_10:-1;11_9:-1;9_3:13,11_10:-1;11_9:-1;9_3:13
000060,23,5,3,3,0.075000,3,2,2,0.000000,0.000000,-1:2;10:0;13:1;4:0;7:0,-1:2;10:0;13:1;4:0;7:0,11_10:-1;11_9:-1;9_3:13,11_10:-1;11_9:-1;9_3:13
000060,23,5,3,3,0.100000,3,2,2,0.000000,0.000000,-1:2;10:0;13:1;4:0;7:0,-1:2;10:0;13:1;4:0;7:0,11_10:-1;11_9:-1;9_3:13,11_10:-1;11_9:-1;9_3:13
000060,23,5,3,3,0.125000,3,2,2,0.000000,0.000000,-1:2;10:0;13:1;4:0;7:0,-1:2;10:0;13:1;4:0;7:0,11_10:-1;11_9:-1;9_3:13,11_10:-1;11_9:-1;9_3:13
000060,37,5,3,3,0.050000,3,3,3,0.000000,0.000000,-1:3;10:0;11:0;4:0;7:0,-1:3;10:0;11:0;4:0;7:0,11_0:-1;13_5:-1;9_3:-1,11_0:-1;13_5:-1;9_3:-1
000060,37,5,3,3,0.075000,3,3,3,0.000000,0.000000,-1:3;10:0;11:0;4:0;7:0,-1:3;10:0;11:0;4:0;7:0,11_0:-1;13_5:-1;9_3:-1,11_0:-1;13_5:-1;9_3:-1
000060,37,5,3,3,0.100000,3,3,3,0.000000,0.000000,-1:3;10:0;11:0;4:0;7:0,-1:3;10:0;11:0;4:0;7:0,11_0:-1;13_5:-1;9_3:-1,11_0:-1;13_5:-1;9_3:-1
000060,37,5,3,3,0.125000,3,3,3,0.000000,0.000000,-1:3;10:0;11:0;4:0;7:0,-1:3;10:0;11:0;4:0;7:0,11_0:-1;13_5:-1;9_3:-1,11_0:-1;13_5:-1;9_3:-1
000062,7,5,3,3,0.050000,3,2,2,0.000000,0.000000,-1:2;11:0;12:0;13:1;20:0,-1:2;11:0;12:0;13:1;20:0,11_10:-1;13_5:-1;9_3:13,11_10:-1;13_5:-1;9_3:13
000062,7,5,3,3,0.075000,3,2,2,0.000000,0.000000,-1:2;11:0;12:0;13:1;20:0,-1:2;11:0;12:0;13:1;20:0,11_10:-1;13_5:-1;9_3:13,11_10:-1;13_5:-1;9_3:13
000062,7,5,3,3,0.100000,3,2,2,0.000000,0.000000,-1:2;11:0;12:0;13:1;20:0,-1:2;11:0;12:0;13:1;20:0,11_10:-1;13_5:-1;9_3:13,11_10:-1;13_5:-1;9_3:13
000062,7,5,3,3,0.125000,3,2,2,0.000000,0.000000,-1:2;11:0;12:0;13:1;20:0,-1:2;11:0;12:0;13:1;20:0,11_10:-1;13_5:-1;9_3:13,11_10:-1;13_5:-1;9_3:13
000062,11,5,3,3,0.050000,4,2,2,0.000000,0.000000,10:1;13:1;4:2;7:0;9:0,10:1;13:1;4:0;7:2;9:0,11_10:4;13_5:10;9_3:13,11_10:7;13_5:10;9_3:13
000062,11,5,3,3,0.075000,3,1,1,0.000000,0.000000,10:1;13:1;4:0;7:1;9:0,10:1;13:1;4:0;7:1;9:0,11_10:7;13_5:10;9_3:13,11_10:7;13_5:10;9_3:13
000062,11,5,3,3,0.100000,3,1,1,0.000000,0.000000,10:1;13:1;4:0;7:1;9:0,10:1;13:1;4:0;7:1;9:0,11_10:7;13_5:10;9_3:13,11_10:7;13_5:10;9_3:13
000062,11,5,3,3,0.125000,3,1,1,0.000000,0.000000,10:1;13:1;4:0;7:1;9:0,10:1;13:1;4:0;7:1;9:0,11_10:7;13_5:10;9_3:13,11_10:7;13_5:10;9_3:13
000062,23,5,3,3,0.050000,5,2,2,0.000000,0.000000,10:2;11:1;12:2;4:0;9:0,10:0;11:1;12:2;4:0;9:2,11_0:11;11_10:12;9_3:10,11_0:11;11_10:12;9_3:9
000062,23,5,3,3,0.075000,4,2,2,0.000000,0.000000,10:0;11:1;12:2;4:0;9:1,10:0;11:1;12:2;4:0;9:1,11_0:11;11_10:12;9_3:9,11_0:11;11_10:12;9_3:9
000062,23,5,3,3,0.100000,4,2,2,0.000000,0.000000,10:0;11:1;12:2;4:0;9:1,10:0;11:1;12:2;4:0;9:1,11_0:11;11_10:12;9_3:9,11_0:11;11_10:12;9_3:9
000062,23,5,3,3,0.125000,3,1,1,0.000000,0.000000,10:0;11:1;12:1;4:0;9:1,10:0;11:1;12:1;4:0;9:1,11_0:11;11_10:12;9_3:9,11_0:11;11_10:12;9_3:9
