timestamp,area_id,area_center_x,area_center_y,priority,group_members,group_size,leader_id,group_confidence,member_uploads,leader_uploads
000060,12_9,-15.000,17.000,4.300000,5,1,5,0.927125,0,1
000060,13_2,-5.000,-25.000,4.300000,11,1,11,0.926529,0,1
000060,13_0,-5.000,-37.000,3.200000,2,1,2,0.956185,0,1
000060,11_7,-25.000,5.000,3.200000,9,1,9,0.921355,0,1
000060,13_3,-5.000,-19.000,3.200000,11,1,11,0.854979,0,1
000060,14_11,5.000,29.000,3.200000,7,1,7,0.821622,0,1
000060,14_1,5.000,-31.000,3.100000,1,1,1,0.937491,0,1
000060,15_4,15.000,-13.000,3.100000,8,1,8,0.924505,0,1
000060,12_4,-15.000,-13.000,3.100000,10,1,10,0.853059,0,1
000060,14_3,5.000,-19.000,3.100000,1;8,2,1,0.943908,1,1
000060,17_5,35.000,-7.000,3.100000,12;4,2,12,0.698251,1,1
000060,18_7,45.000,5.000,3.100000,12,1,12,0.133370,0,1
000060,15_3,15.000,-19.000,3.000000,8,1,8,0.904256,0,1
000060,17_7,35.000,5.000,2.200000,12,1,12,0.814292,0,1
000060,16_7,25.000,5.000,2.100000,12,1,12,0.985045,0,1
000060,14_9,5.000,17.000,2.100000,7,1,7,0.952979,0,1
000060,12_10,-15.000,23.000,2.100000,16,1,16,0.935471,0,1
000060,14_10,5.000,23.000,2.100000,7,1,7,0.925101,0,1
000060,12_5,-15.000,-7.000,2.100000,10,1,10,0.918068,0,1
000060,15_6,15.000,-1.000,2.100000,4,1,4,0.901514,0,1
000060,11_5,-25.000,-7.000,2.100000,10;9,2,9,0.978816,1,1
000060,13_9,-5.000,17.000,2.100000,20;7,2,20,0.976751,1,1
000060,16_8,25.000,11.000,2.100000,12;4,2,4,0.975639,1,1
000060,15_2,15.000,-25.000,2.100000,1;8,2,8,0.970775,1,1
000060,11_8,-25.000,11.000,2.100000,9;19,2,19,0.956574,1,1
000060,11_4,-25.000,-13.000,2.100000,10,1,10,0.837188,0,1
000060,12_3,-15.000,-19.000,2.100000,11,1,11,0.829625,0,1
000060,15_8,15.000,11.000,2.100000,4;7,2,4,0.960140,1,1
000060,16_5,25.000,-7.000,2.100000,4;12,2,4,0.961737,1,1
000060,16_4,25.000,-13.000,2.100000,4;12,2,12,0.920460,1,1
000060,12_7,-15.000,5.000,2.100000,10;20,2,20,0.725646,1,1
000060,12_13,-15.000,41.000,2.100000,16;3,2,3,0.201729,1,1
000060,15_9,15.000,17.000,2.000000,7,1,7,0.829675,0,1
000060,6_13,-75.000,41.000,0.000000,14,1,14,0.944570,0,1
000060,10_6,-35.000,-1.000,0.000000,19,1,19,0.944274,0,1
000060,9_6,-45.000,-1.000,0.000000,13,1,13,0.909034,0,1
000060,12_11,-15.000,29.000,0.000000,16,1,16,0.905405,0,1
000060,16_6,25.000,-1.000,0.000000,12;4,2,12,0.988053,1,1
000060,15_7,15.000,5.000,0.000000,4;12,2,4,0.981905,1,1
000060,11_6,-25.000,-1.000,0.000000,9;10,2,9,0.985123,1,1
000060,14_2,5.000,-25.000,0.000000,1,1,1,0.892814,0,1
000060,9_5,-45.000,-7.000,0.000000,13,1,13,0.885706,0,1
000060,13_1,-5.000,-31.000,0.000000,11;2,2,2,0.983097,1,1
000060,12_2,-15.000,-25.000,0.000000,11,1,11,0.880618,0,1
000060,10_7,-35.000,5.000,0.000000,9;13,2,13,0.966030,1,1
000060,12_6,-15.000,-1.000,0.000000,10,1,10,0.873935,0,1
000060,13_10,-5.000,23.000,0.000000,20;16,2,16,0.982352,1,1
000060,11_9,-25.000,17.000,0.000000,5;20,2,5,0.967855,1,1
000060,10_5,-35.000,-7.000,0.000000,13,1,13,0.869702,0,1
000060,15_1,15.000,-31.000,0.000000,1,1,1,0.867614,0,1
000060,14_0,5.000,-37.000,0.000000,1;2,2,2,0.935571,1,1
000060,12_1,-15.000,-31.000,0.000000,11;2,2,11,0.969894,1,1
000060,14_8,5.000,11.000,0.000000,7,1,7,0.847501,0,1
000060,13_11,-5.000,29.000,0.000000,16;20,2,16,0.969110,1,1
000060,12_0,-15.000,-37.000,0.000000,2,1,2,0.843817,0,1
000060,6_12,-75.000,35.000,0.000000,14,1,14,0.841408,0,1
000060,9_7,-45.000,5.000,0.000000,13,1,13,0.835593,0,1
000060,12_8,-15.000,11.000,0.000000,20,1,20,0.829147,0,1
000060,15_10,15.000,23.000,0.000000,7,1,7,0.821614,0,1
000060,15_5,15.000,-7.000,0.000000,4,1,4,0.821299,0,1
000060,15_0,15.000,-37.000,0.000000,1;2,2,1,0.921252,1,1
000060,13_8,-5.000,11.000,0.000000,20;7,2,20,0.927179,1,1
000060,11_10,-25.000,23.000,0.000000,5;16,2,5,0.958154,1,1
000060,10_8,-35.000,11.000,0.000000,9;19,2,19,0.965512,1,1
000060,12_12,-15.000,35.000,0.000000,16,1,16,0.810583,0,1
000060,15_11,15.000,29.000,0.000000,7,1,7,0.765876,0,1
000060,11_11,-25.000,29.000,0.000000,16;20,2,16,0.931370,1,1
000060,7_12,-65.000,35.000,0.000000,14,1,14,0.753284,0,1
000060,13_5,-5.000,-7.000,0.000000,10;8,2,10,0.901657,1,1
000060,17_6,35.000,-1.000,0.000000,12,1,12,0.741102,0,1
000060,13_6,-5.000,-1.000,0.000000,10;5,2,5,0.815752,1,1
000060,9_3,-45.000,-19.000,0.000000,13;19,2,19,0.900895,1,1
000060,13_7,-5.000,5.000,0.000000,20;5,2,20,0.901401,1,1
000060,17_8,35.000,11.000,0.000000,12,1,12,0.697918,0,1
000060,11_0,-25.000,-37.000,0.000000,11;2,2,11,0.892092,1,1
000060,10_4,-35.000,-13.000,0.000000,13,1,13,0.654039,0,1
000060,9_4,-45.000,-13.000,0.000000,13,1,13,0.620875,0,1
000060,8_8,-55.000,11.000,0.000000,13;19,2,19,0.782055,1,1
000060,5_12,-85.000,35.000,0.000000,14,1,14,0.600879,0,1
000060,17_4,35.000,-13.000,0.000000,12;4,2,4,0.781388,1,1
000060,11_12,-25.000,35.000,0.000000,16;3,2,3,0.760143,1,1
000060,14_6,5.000,-1.000,0.000000,4;12,2,12,0.642643,1,1
000060,13_12,-5.000,35.000,0.000000,16;20,2,16,0.629774,1,1
000060,7_11,-65.000,29.000,0.000000,14,1,14,0.542005,0,1
000060,4_12,-95.000,35.000,0.000000,14,1,14,0.541439,0,1
000060,14_5,5.000,-7.000,0.000000,8;4,2,8,0.666152,1,1
000060,10_9,-35.000,17.000,0.000000,19;13,2,13,0.716654,1,1
000060,10_3,-35.000,-19.000,0.000000,13;19;10,3,10,0.835414,2,1
000060,16_9,25.000,17.000,0.000000,12;4,2,4,0.577030,1,1
000060,5_13,-85.000,41.000,0.000000,14,1,14,0.486697,0,1
000060,10_1,-35.000,-31.000,0.000000,11;10;2,3,2,0.693935,2,1
000060,14_7,5.000,5.000,0.000000,4;8,2,8,0.551728,1,1
000060,16_3,25.000,-19.000,0.000000,8;4,2,8,0.492951,1,1
000060,15_12,15.000,35.000,0.000000,7;20;16,3,7,0.639786,2,1
000060,6_11,-75.000,29.000,0.000000,14,1,14,0.342316,0,1
000060,7_13,-65.000,41.000,0.000000,14,1,14,0.337092,0,1
