timestamp,area_count,covered_area_count,avg_group_size,avg_group_confidence,local_upload_packets,leader_upload_packets,control_assignment_bytes,local_upload_bytes,leader_upload_bytes,broadcast_bytes,total_byte_proxy,leader_count,leader_max_load,leader_loads
000060,272,272,1.283088,0.337624,77,272,17408,770000,544000,2000,1333408,18,54,1:7;10:17;11:14;12:54;13:43;14:45;15:1;16:19;19:26;2:11;20:10;3:6;4:34;5:9;6:1;7:18;8:16;9:18
000062,276,276,1.253623,0.334301,70,276,17664,700000,552000,2000,1271664,17,56,1:8;10:15;11:15;12:56;13:39;14:48;15:1;16:17;19:28;2:13;20:11;3:4;4:31;5:9;7:18;8:15;9:18
000064,275,275,1.254545,0.338079,70,275,17600,700000,550000,2000,1269600,18,56,1:8;10:19;11:13;12:56;13:41;14:45;15:2;16:15;17:1;19:27;2:12;20:11;3:2;4:33;5:9;7:17;8:15;9:19
000066,269,269,1.267658,0.347709,72,269,17216,720000,538000,2000,1277216,17,57,1:7;10:18;11:15;12:57;13:39;14:50;15:1;16:18;19:22;2:12;20:11;3:4;4:28;5:9;7:17;8:16;9:17
000068,272,272,1.257353,0.346044,70,272,17408,700000,544000,2000,1263408,17,55,1:8;10:16;11:13;12:55;13:41;14:48;15:1;16:17;19:26;2:14;20:8;3:2;4:32;5:9;7:19;8:15;9:18
000070,273,273,1.260073,0.346200,71,273,17472,710000,546000,2000,1275472,17,57,1:9;10:17;11:12;12:57;13:38;14:52;15:2;16:18;19:25;2:12;20:9;3:2;4:27;5:8;7:22;8:16;9:18
000072,274,274,1.259124,0.346962,71,274,17536,710000,548000,2000,1277536,18,59,1:8;10:19;11:12;12:59;13:37;14:51;15:1;16:17;17:3;19:26;2:12;20:11;3:2;4:28;5:7;7:19;8:15;9:18
000074,277,277,1.256318,0.343932,71,277,17728,710000,554000,2000,1283728,19,59,1:8;10:15;11:16;12:59;13:39;14:54;15:2;16:17;17:2;19:27;2:12;20:8;3:2;4:31;5:7;6:1;7:17;8:15;9:16
000076,278,278,1.258993,0.344876,72,278,17792,720000,556000,2000,1295792,18,59,1:9;10:16;11:15;12:59;13:40;14:52;15:1;16:17;19:28;2:12;20:10;3:2;4:25;5:9;6:1;7:21;8:15;9:18
000078,276,276,1.253623,0.348875,70,276,17664,700000,552000,2000,1271664,18,60,1:7;10:11;11:14;12:55;13:36;14:60;15:1;16:20;19:26;2:14;20:12;3:2;4:25;5:9;6:1;7:20;8:15;9:18
000080,283,283,1.254417,0.343622,72,283,18112,720000,566000,2000,1306112,18,58,1:8;10:16;11:12;12:58;13:39;14:55;15:1;16:19;17:3;19:30;2:12;20:12;4:27;5:10;6:1;7:19;8:15;9:18
