timestamp,active_cavs,confidence_entries,assignment_entries,pose_report_bytes,confidence_report_bytes,assignment_bytes,global_view_bytes,control_plane_bytes,member_to_leader_packets,leader_to_rsu_packets,member_to_leader_bytes,leader_to_rsu_bytes,planned_data_bytes,total_bytes_with_control,control_plane_ratio
000060,20,1612,40,640,25792,2560,2000,30992,22,40,220000,80000,300000,330992,0.093634
000062,20,1618,40,640,25888,2560,2000,31088,22,40,220000,80000,300000,331088,0.093896
000064,20,1613,40,640,25808,2560,2000,31008,22,40,220000,80000,300000,331008,0.093677
000066,20,1610,40,640,25760,2560,2000,30960,22,40,220000,80000,300000,330960,0.093546
000068,20,1605,40,640,25680,2560,2000,30880,20,40,200000,80000,280000,310880,0.099331
000070,20,1609,40,640,25744,2560,2000,30944,20,40,200000,80000,280000,310944,0.099516
000072,20,1581,40,640,25296,2560,2000,30496,21,40,210000,80000,290000,320496,0.095153
000074,20,1600,40,640,25600,2560,2000,30800,21,40,210000,80000,290000,320800,0.096010
000076,20,1615,40,640,25840,2560,2000,31040,20,40,200000,80000,280000,311040,0.099794
000078,20,1616,40,640,25856,2560,2000,31056,23,40,230000,80000,310000,341056,0.091058
000080,20,1629,40,640,26064,2560,2000,31264,23,40,230000,80000,310000,341264,0.091612
