line_no,frame_index,trace_layer,event,request_id,source_node,target_node,tb_size,subchannel_start,subchannel_num,slot,harq_id,sinr,tbler,reason,raw_event,timestamp,area_id,upload_type,plan_index,pkt_id,matched
451,1,PHY,PSSCH_DECODE_OK,68,2,1,4069,,,,1,37.006,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=68 txRnti=2 sender_l2_id=2 receiver_l2_id=1 harq_id=1 tb_size=4069 tbler=0 sinr=37.006 sinrMin=28.1006 reason=,000062,14_1,leader_to_rsu,68,68,1
453,1,PHY,PSSCH_DECODE_FAIL,76,16,5,4069,,,,0,10.0637,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=76 txRnti=16 sender_l2_id=16 receiver_l2_id=5 harq_id=0 tb_size=4069 tbler=1 sinr=10.0637 sinrMin=6.08603 reason=decode_fail,000062,18_7,member_to_leader,76,76,1
601,1,PHY,PSSCH_DECODE_FAIL,86,14,9,4069,,,,1,7.42046,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=86 txRnti=14 sender_l2_id=14 receiver_l2_id=9 harq_id=1 tb_size=4069 tbler=1 sinr=7.42046 sinrMin=2.29256 reason=decode_fail,000062,12_10,member_to_leader,86,86,1
725,1,PHY,PSSCH_DECODE_FAIL,64,17,1,2083,,,,0,1.44799,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=64 txRnti=17 sender_l2_id=17 receiver_l2_id=1 harq_id=0 tb_size=2083 tbler=1 sinr=1.44799 sinrMin=0.73171 reason=decode_fail,000062,12_9,leader_to_rsu,64,64,1
727,1,PHY,PSSCH_DECODE_FAIL,86,14,9,4069,,,,4,7.05121,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=86 txRnti=14 sender_l2_id=14 receiver_l2_id=9 harq_id=4 tb_size=4069 tbler=1 sinr=7.05121 sinrMin=0.693039 reason=decode_fail,000062,12_10,member_to_leader,86,86,1
854,1,PHY,PSSCH_DECODE_FAIL,67,13,1,2083,,,,0,0.504588,1,sci2_decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=67 txRnti=13 sender_l2_id=13 receiver_l2_id=1 harq_id=0 tb_size=2083 tbler=1 sinr=0.504588 sinrMin=0.240161 reason=sci2_decode_fail,000062,13_0,leader_to_rsu,67,67,1
969,1,PHY,PSSCH_DECODE_FAIL,94,14,1,4069,,,,0,0.424496,1,sci2_decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=94 txRnti=14 sender_l2_id=14 receiver_l2_id=1 harq_id=0 tb_size=4069 tbler=1 sinr=0.424496 sinrMin=0.135077 reason=sci2_decode_fail,000062,13_9,leader_to_rsu,94,94,1
1122,1,PHY,PSSCH_DECODE_FAIL,113,7,1,2083,,,,0,0.0402237,1,sci2_decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=113 txRnti=7 sender_l2_id=7 receiver_l2_id=1 harq_id=0 tb_size=2083 tbler=1 sinr=0.0402237 sinrMin=0.0367716 reason=sci2_decode_fail,000062,6_13,leader_to_rsu,113,113,1
1124,1,PHY,PSSCH_DECODE_FAIL,80,5,16,4069,,,,2,4.51693,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=80 txRnti=5 sender_l2_id=5 receiver_l2_id=16 harq_id=2 tb_size=4069 tbler=1 sinr=4.51693 sinrMin=3.85345 reason=decode_fail,000062,17_5,member_to_leader,80,80,1
1275,1,PHY,PSSCH_DECODE_FAIL,86,14,9,1945,,,,5,12.3864,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=86 txRnti=14 sender_l2_id=14 receiver_l2_id=9 harq_id=5 tb_size=1945 tbler=1 sinr=12.3864 sinrMin=3.72683 reason=decode_fail,000062,12_10,member_to_leader,86,86,1
1465,1,PHY,PSSCH_DECODE_FAIL,83,2,1,4069,,,,2,5.38083,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=83 txRnti=2 sender_l2_id=2 receiver_l2_id=1 harq_id=2 tb_size=4069 tbler=1 sinr=5.38083 sinrMin=4.68104 reason=decode_fail,000062,15_3,leader_to_rsu,83,83,1
1631,1,PHY,PSSCH_DECODE_FAIL,65,13,4,4069,,,,1,0.815467,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=65 txRnti=13 sender_l2_id=13 receiver_l2_id=4 harq_id=1 tb_size=4069 tbler=1 sinr=0.815467 sinrMin=0.459587 reason=decode_fail,000062,13_2,member_to_leader,65,65,1
1788,1,PHY,PSSCH_DECODE_FAIL,89,3,1,4069,,,,4,0.669681,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=89 txRnti=3 sender_l2_id=3 receiver_l2_id=1 harq_id=4 tb_size=4069 tbler=1 sinr=0.669681 sinrMin=0.374932 reason=decode_fail,000062,12_5,leader_to_rsu,89,89,1
1790,1,PHY,PSSCH_DECODE_FAIL,116,6,1,2083,,,,0,0.341236,1,sci2_decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=116 txRnti=6 sender_l2_id=6 receiver_l2_id=1 harq_id=0 tb_size=2083 tbler=1 sinr=0.341236 sinrMin=0.281018 reason=sci2_decode_fail,000062,9_6,leader_to_rsu,116,116,1
1886,1,PHY,PSSCH_DECODE_FAIL,112,14,1,2083,,,,7,0.123096,1,sci2_decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=112 txRnti=14 sender_l2_id=14 receiver_l2_id=1 harq_id=7 tb_size=2083 tbler=1 sinr=0.123096 sinrMin=0.0766828 reason=sci2_decode_fail,000062,12_7,leader_to_rsu,112,112,1
1888,1,PHY,PSSCH_DECODE_FAIL,69,3,21,4069,,,,5,41.2111,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=69 txRnti=3 sender_l2_id=3 receiver_l2_id=21 harq_id=5 tb_size=4069 tbler=1 sinr=41.2111 sinrMin=2.23205 reason=decode_fail,000062,11_7,member_to_leader,69,69,1
2038,1,PHY,PSSCH_DECODE_FAIL,91,21,3,4069,,,,5,10.8615,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=91 txRnti=21 sender_l2_id=21 receiver_l2_id=3 harq_id=5 tb_size=4069 tbler=1 sinr=10.8615 sinrMin=1.88454 reason=decode_fail,000062,11_5,member_to_leader,91,91,1
2164,1,PHY,PSSCH_DECODE_FAIL,98,2,1,2083,,,,4,6.19321,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=98 txRnti=2 sender_l2_id=2 receiver_l2_id=1 harq_id=4 tb_size=2083 tbler=1 sinr=6.19321 sinrMin=5.4696 reason=decode_fail,000062,15_2,leader_to_rsu,98,98,1
2166,1,PHY,PSSCH_DECODE_FAIL,69,3,21,4069,,,,8,3.64198,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=69 txRnti=3 sender_l2_id=3 receiver_l2_id=21 harq_id=8 tb_size=4069 tbler=1 sinr=3.64198 sinrMin=2.51516 reason=decode_fail,000062,11_7,member_to_leader,69,69,1
2305,1,PHY,PSSCH_DECODE_FAIL,99,21,12,4069,,,,3,11.9925,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=99 txRnti=21 sender_l2_id=21 receiver_l2_id=12 harq_id=3 tb_size=4069 tbler=1 sinr=11.9925 sinrMin=0.485936 reason=decode_fail,000062,11_8,member_to_leader,99,99,1
2439,1,PHY,PSSCH_DECODE_FAIL,120,21,1,2083,,,,4,2.10835,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=120 txRnti=21 sender_l2_id=21 receiver_l2_id=1 harq_id=4 tb_size=2083 tbler=1 sinr=2.10835 sinrMin=1.45505 reason=decode_fail,000062,11_6,leader_to_rsu,120,120,1
2441,1,PHY,PSSCH_DECODE_FAIL,95,16,5,4069,,,,6,4.3702,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=95 txRnti=16 sender_l2_id=16 receiver_l2_id=5 harq_id=6 tb_size=4069 tbler=1 sinr=4.3702 sinrMin=3.62865 reason=decode_fail,000062,16_8,member_to_leader,95,95,1
2443,1,PHY,PSSCH_DECODE_FAIL,111,3,14,1945,,,,6,0.895054,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=111 txRnti=3 sender_l2_id=3 receiver_l2_id=14 harq_id=6 tb_size=1945 tbler=1 sinr=0.895054 sinrMin=0.578948 reason=decode_fail,000062,12_7,member_to_leader,111,111,1
2488,1,PHY,PSSCH_DECODE_OK,109,16,5,4069,,,,8,149539,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=109 txRnti=16 sender_l2_id=16 receiver_l2_id=5 harq_id=8 tb_size=4069 tbler=0 sinr=149539 sinrMin=117685 reason=,000062,16_4,member_to_leader,109,109,1
2595,1,PHY,PSSCH_DECODE_FAIL,104,5,1,4069,,,,7,0.460711,1,sci2_decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=104 txRnti=5 sender_l2_id=5 receiver_l2_id=1 harq_id=7 tb_size=4069 tbler=1 sinr=0.460711 sinrMin=0.0369738 reason=sci2_decode_fail,000062,17_7,leader_to_rsu,104,104,1
