frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,plan_index,tx_events,rx_events,drop_events,matched
1,000062,1,14,17,12_9,member_to_leader,63,4,1,0,1
1,000062,2,17,1,12_9,leader_to_rsu,64,1,0,0,1
1,000062,3,13,4,13_2,member_to_leader,65,4,1,0,1
1,000062,4,4,1,13_2,leader_to_rsu,66,1,0,0,1
1,000062,5,13,1,13_0,leader_to_rsu,67,1,0,0,1
1,000062,6,2,1,14_1,leader_to_rsu,68,1,1,0,1
1,000062,7,3,21,11_7,member_to_leader,69,3,0,0,1
1,000062,8,21,1,11_7,leader_to_rsu,70,1,0,0,1
1,000062,9,4,1,13_3,leader_to_rsu,71,1,0,0,1
1,000062,10,14,19,14_11,member_to_leader,72,4,1,0,1
1,000062,11,19,1,14_11,leader_to_rsu,73,1,0,0,1
1,000062,12,2,20,14_3,member_to_leader,74,3,0,0,1
1,000062,13,20,1,14_3,leader_to_rsu,75,1,0,0,1
1,000062,14,16,5,18_7,member_to_leader,76,3,0,0,1
1,000062,15,5,1,18_7,leader_to_rsu,77,1,0,0,1
1,000062,16,20,1,15_4,leader_to_rsu,78,1,0,0,1
1,000062,17,3,1,12_4,leader_to_rsu,79,1,0,0,1
1,000062,18,5,16,17_5,member_to_leader,80,3,0,0,1
1,000062,19,16,1,17_5,leader_to_rsu,81,1,0,0,1
1,000062,20,20,2,15_3,member_to_leader,82,3,0,0,1
1,000062,21,2,1,15_3,leader_to_rsu,83,1,0,0,1
1,000062,22,5,1,16_7,leader_to_rsu,84,1,0,0,1
1,000062,23,19,1,14_9,leader_to_rsu,85,1,0,0,1
1,000062,24,14,9,12_10,member_to_leader,86,4,1,0,1
1,000062,25,9,1,12_10,leader_to_rsu,87,1,0,0,1
1,000062,26,19,1,14_10,leader_to_rsu,88,1,0,0,1
1,000062,27,3,1,12_5,leader_to_rsu,89,1,0,0,1
1,000062,28,16,1,15_6,leader_to_rsu,90,1,0,0,1
1,000062,29,21,3,11_5,member_to_leader,91,4,1,0,1
1,000062,30,3,1,11_5,leader_to_rsu,92,1,0,0,1
1,000062,31,19,14,13_9,member_to_leader,93,4,0,0,1
1,000062,32,14,1,13_9,leader_to_rsu,94,1,0,0,1
1,000062,33,16,5,16_8,member_to_leader,95,2,0,0,1
1,000062,34,5,1,16_8,leader_to_rsu,96,1,0,0,1
1,000062,35,20,2,15_2,member_to_leader,97,3,2,0,1
1,000062,36,2,1,15_2,leader_to_rsu,98,1,0,0,1
1,000062,37,21,12,11_8,member_to_leader,99,4,1,0,1
1,000062,38,12,1,11_8,leader_to_rsu,100,1,0,0,1
1,000062,39,3,1,11_4,leader_to_rsu,101,1,0,0,1
1,000062,40,19,1,15_9,leader_to_rsu,102,1,0,0,1
1,000062,41,4,1,12_3,leader_to_rsu,103,1,0,0,1
1,000062,42,5,1,17_7,leader_to_rsu,104,1,0,0,1
1,000062,43,5,16,16_5,member_to_leader,105,2,0,0,1
1,000062,44,16,1,16_5,leader_to_rsu,106,1,0,0,1
1,000062,45,19,16,15_8,member_to_leader,107,4,1,0,1
