z,timestamp,member_to_leader_packets,member_to_leader_slots,leader_to_rsu_packets,leader_to_rsu_slots,total_packets,total_bytes,total_slots,max_stage_packets_per_subchannel
5,000060,22,5,40,8,62,300000,13,8.000000
5,000062,22,5,40,8,62,300000,13,8.000000
5,000064,22,5,40,8,62,300000,13,8.000000
5,000066,22,5,40,8,62,300000,13,8.000000
5,000068,20,4,40,8,60,280000,12,8.000000
5,000070,20,4,40,8,60,280000,12,8.000000
5,000072,21,5,40,8,61,290000,13,8.000000
5,000074,21,5,40,8,61,290000,13,8.000000
5,000076,20,4,40,8,60,280000,12,8.000000
5,000078,23,5,40,8,63,310000,13,8.000000
5,000080,23,5,40,8,63,310000,13,8.000000
10,000060,22,3,40,4,62,300000,7,4.000000
10,000062,22,3,40,4,62,300000,7,4.000000
10,000064,22,3,40,4,62,300000,7,4.000000
10,000066,22,3,40,4,62,300000,7,4.000000
10,000068,20,2,40,4,60,280000,6,4.000000
10,000070,20,2,40,4,60,280000,6,4.000000
10,000072,21,3,40,4,61,290000,7,4.000000
10,000074,21,3,40,4,61,290000,7,4.000000
10,000076,20,2,40,4,60,280000,6,4.000000
10,000078,23,3,40,4,63,310000,7,4.000000
10,000080,23,3,40,4,63,310000,7,4.000000
15,000060,22,2,40,3,62,300000,5,2.666667
15,000062,22,2,40,3,62,300000,5,2.666667
15,000064,22,2,40,3,62,300000,5,2.666667
15,000066,22,2,40,3,62,300000,5,2.666667
15,000068,20,2,40,3,60,280000,5,2.666667
15,000070,20,2,40,3,60,280000,5,2.666667
15,000072,21,2,40,3,61,290000,5,2.666667
15,000074,21,2,40,3,61,290000,5,2.666667
15,000076,20,2,40,3,60,280000,5,2.666667
15,000078,23,2,40,3,63,310000,5,2.666667
15,000080,23,2,40,3,63,310000,5,2.666667
20,000060,22,2,40,2,62,300000,4,2.000000
20,000062,22,2,40,2,62,300000,4,2.000000
20,000064,22,2,40,2,62,300000,4,2.000000
20,000066,22,2,40,2,62,300000,4,2.000000
20,000068,20,1,40,2,60,280000,3,2.000000
20,000070,20,1,40,2,60,280000,3,2.000000
20,000072,21,2,40,2,61,290000,4,2.000000
20,000074,21,2,40,2,61,290000,4,2.000000
20,000076,20,1,40,2,60,280000,3,2.000000
20,000078,23,2,40,2,63,310000,4,2.000000
20,000080,23,2,40,2,63,310000,4,2.000000
