cav_capacity_units_per_ms,rsu_capacity_areas_per_ms,timestamp,leader_max_load,covered_area_count,local_fusion_ms,rsu_aggregation_ms,compute_latency_ms,bottleneck
2.000000,10.000000,000060,9.000000,40.000000,4.500000,4.000000,8.500000,cav_local_fusion
2.000000,10.000000,000062,10.000000,40.000000,5.000000,4.000000,9.000000,cav_local_fusion
2.000000,10.000000,000064,10.000000,40.000000,5.000000,4.000000,9.000000,cav_local_fusion
2.000000,10.000000,000066,10.000000,40.000000,5.000000,4.000000,9.000000,cav_local_fusion
2.000000,10.000000,000068,9.000000,40.000000,4.500000,4.000000,8.500000,cav_local_fusion
2.000000,10.000000,000070,10.000000,40.000000,5.000000,4.000000,9.000000,cav_local_fusion
2.000000,10.000000,000072,8.000000,40.000000,4.000000,4.000000,8.000000,cav_local_fusion
2.000000,10.000000,000074,8.000000,40.000000,4.000000,4.000000,8.000000,cav_local_fusion
2.000000,10.000000,000076,8.000000,40.000000,4.000000,4.000000,8.000000,cav_local_fusion
2.000000,10.000000,000078,7.000000,40.000000,3.500000,4.000000,7.500000,rsu_aggregation
2.000000,10.000000,000080,8.000000,40.000000,4.000000,4.000000,8.000000,cav_local_fusion
2.000000,20.000000,000060,9.000000,40.000000,4.500000,2.000000,6.500000,cav_local_fusion
2.000000,20.000000,000062,10.000000,40.000000,5.000000,2.000000,7.000000,cav_local_fusion
2.000000,20.000000,000064,10.000000,40.000000,5.000000,2.000000,7.000000,cav_local_fusion
2.000000,20.000000,000066,10.000000,40.000000,5.000000,2.000000,7.000000,cav_local_fusion
2.000000,20.000000,000068,9.000000,40.000000,4.500000,2.000000,6.500000,cav_local_fusion
2.000000,20.000000,000070,10.000000,40.000000,5.000000,2.000000,7.000000,cav_local_fusion
2.000000,20.000000,000072,8.000000,40.000000,4.000000,2.000000,6.000000,cav_local_fusion
2.000000,20.000000,000074,8.000000,40.000000,4.000000,2.000000,6.000000,cav_local_fusion
2.000000,20.000000,000076,8.000000,40.000000,4.000000,2.000000,6.000000,cav_local_fusion
2.000000,20.000000,000078,7.000000,40.000000,3.500000,2.000000,5.500000,cav_local_fusion
2.000000,20.000000,000080,8.000000,40.000000,4.000000,2.000000,6.000000,cav_local_fusion
2.000000,40.000000,000060,9.000000,40.000000,4.500000,1.000000,5.500000,cav_local_fusion
2.000000,40.000000,000062,10.000000,40.000000,5.000000,1.000000,6.000000,cav_local_fusion
2.000000,40.000000,000064,10.000000,40.000000,5.000000,1.000000,6.000000,cav_local_fusion
2.000000,40.000000,000066,10.000000,40.000000,5.000000,1.000000,6.000000,cav_local_fusion
2.000000,40.000000,000068,9.000000,40.000000,4.500000,1.000000,5.500000,cav_local_fusion
2.000000,40.000000,000070,10.000000,40.000000,5.000000,1.000000,6.000000,cav_local_fusion
2.000000,40.000000,000072,8.000000,40.000000,4.000000,1.000000,5.000000,cav_local_fusion
2.000000,40.000000,000074,8.000000,40.000000,4.000000,1.000000,5.000000,cav_local_fusion
2.000000,40.000000,000076,8.000000,40.000000,4.000000,1.000000,5.000000,cav_local_fusion
2.000000,40.000000,000078,7.000000,40.000000,3.500000,1.000000,4.500000,cav_local_fusion
2.000000,40.000000,000080,8.000000,40.000000,4.000000,1.000000,5.000000,cav_local_fusion
2.000000,80.000000,000060,9.000000,40.000000,4.500000,0.500000,5.000000,cav_local_fusion
2.000000,80.000000,000062,10.000000,40.000000,5.000000,0.500000,5.500000,cav_local_fusion
2.000000,80.000000,000064,10.000000,40.000000,5.000000,0.500000,5.500000,cav_local_fusion
2.000000,80.000000,000066,10.000000,40.000000,5.000000,0.500000,5.500000,cav_local_fusion
2.000000,80.000000,000068,9.000000,40.000000,4.500000,0.500000,5.000000,cav_local_fusion
2.000000,80.000000,000070,10.000000,40.000000,5.000000,0.500000,5.500000,cav_local_fusion
2.000000,80.000000,000072,8.000000,40.000000,4.000000,0.500000,4.500000,cav_local_fusion
2.000000,80.000000,000074,8.000000,40.000000,4.000000,0.500000,4.500000,cav_local_fusion
2.000000,80.000000,000076,8.000000,40.000000,4.000000,0.500000,4.500000,cav_local_fusion
2.000000,80.000000,000078,7.000000,40.000000,3.500000,0.500000,4.000000,cav_local_fusion
2.000000,80.000000,000080,8.000000,40.000000,4.000000,0.500000,4.500000,cav_local_fusion
4.000000,10.000000,000060,9.000000,40.000000,2.250000,4.000000,6.250000,rsu_aggregation
4.000000,10.000000,000062,10.000000,40.000000,2.500000,4.000000,6.500000,rsu_aggregation
4.000000,10.000000,000064,10.000000,40.000000,2.500000,4.000000,6.500000,rsu_aggregation
4.000000,10.000000,000066,10.000000,40.000000,2.500000,4.000000,6.500000,rsu_aggregation
4.000000,10.000000,000068,9.000000,40.000000,2.250000,4.000000,6.250000,rsu_aggregation
4.000000,10.000000,000070,10.000000,40.000000,2.500000,4.000000,6.500000,rsu_aggregation
4.000000,10.000000,000072,8.000000,40.000000,2.000000,4.000000,6.000000,rsu_aggregation
4.000000,10.000000,000074,8.000000,40.000000,2.000000,4.000000,6.000000,rsu_aggregation
4.000000,10.000000,000076,8.000000,40.000000,2.000000,4.000000,6.000000,rsu_aggregation
4.000000,10.000000,000078,7.000000,40.000000,1.750000,4.000000,5.750000,rsu_aggregation
4.000000,10.000000,000080,8.000000,40.000000,2.000000,4.000000,6.000000,rsu_aggregation
4.000000,20.000000,000060,9.000000,40.000000,2.250000,2.000000,4.250000,cav_local_fusion
4.000000,20.000000,000062,10.000000,40.000000,2.500000,2.000000,4.500000,cav_local_fusion
4.000000,20.000000,000064,10.000000,40.000000,2.500000,2.000000,4.500000,cav_local_fusion
4.000000,20.000000,000066,10.000000,40.000000,2.500000,2.000000,4.500000,cav_local_fusion
4.000000,20.000000,000068,9.000000,40.000000,2.250000,2.000000,4.250000,cav_local_fusion
4.000000,20.000000,000070,10.000000,40.000000,2.500000,2.000000,4.500000,cav_local_fusion
4.000000,20.000000,000072,8.000000,40.000000,2.000000,2.000000,4.000000,cav_local_fusion
4.000000,20.000000,000074,8.000000,40.000000,2.000000,2.000000,4.000000,cav_local_fusion
4.000000,20.000000,000076,8.000000,40.000000,2.000000,2.000000,4.000000,cav_local_fusion
4.000000,20.000000,000078,7.000000,40.000000,1.750000,2.000000,3.750000,rsu_aggregation
4.000000,20.000000,000080,8.000000,40.000000,2.000000,2.000000,4.000000,cav_local_fusion
4.000000,40.000000,000060,9.000000,40.000000,2.250000,1.000000,3.250000,cav_local_fusion
4.000000,40.000000,000062,10.000000,40.000000,2.500000,1.000000,3.500000,cav_local_fusion
4.000000,40.000000,000064,10.000000,40.000000,2.500000,1.000000,3.500000,cav_local_fusion
4.000000,40.000000,000066,10.000000,40.000000,2.500000,1.000000,3.500000,cav_local_fusion
4.000000,40.000000,000068,9.000000,40.000000,2.250000,1.000000,3.250000,cav_local_fusion
4.000000,40.000000,000070,10.000000,40.000000,2.500000,1.000000,3.500000,cav_local_fusion
4.000000,40.000000,000072,8.000000,40.000000,2.000000,1.000000,3.000000,cav_local_fusion
4.000000,40.000000,000074,8.000000,40.000000,2.000000,1.000000,3.000000,cav_local_fusion
4.000000,40.000000,000076,8.000000,40.000000,2.000000,1.000000,3.000000,cav_local_fusion
4.000000,40.000000,000078,7.000000,40.000000,1.750000,1.000000,2.750000,cav_local_fusion
4.000000,40.000000,000080,8.000000,40.000000,2.000000,1.000000,3.000000,cav_local_fusion
4.000000,80.000000,000060,9.000000,40.000000,2.250000,0.500000,2.750000,cav_local_fusion
4.000000,80.000000,000062,10.000000,40.000000,2.500000,0.500000,3.000000,cav_local_fusion
4.000000,80.000000,000064,10.000000,40.000000,2.500000,0.500000,3.000000,cav_local_fusion
4.000000,80.000000,000066,10.000000,40.000000,2.500000,0.500000,3.000000,cav_local_fusion
