cav_capacity_units_per_ms,rsu_capacity_areas_per_ms,frames,local_fusion_ms_mean,local_fusion_ms_p95,local_fusion_ms_max,rsu_aggregation_ms_mean,rsu_aggregation_ms_p95,rsu_aggregation_ms_max,compute_latency_ms_mean,compute_latency_ms_p95,compute_latency_ms_max,cav_bottleneck_frame_ratio
2.000000,10.000000,11,4.409091,5.000000,5.000000,4.000000,4.000000,4.000000,8.409091,9.000000,9.000000,0.909091
2.000000,20.000000,11,4.409091,5.000000,5.000000,2.000000,2.000000,2.000000,6.409091,7.000000,7.000000,1.000000
2.000000,40.000000,11,4.409091,5.000000,5.000000,1.000000,1.000000,1.000000,5.409091,6.000000,6.000000,1.000000
2.000000,80.000000,11,4.409091,5.000000,5.000000,0.500000,0.500000,0.500000,4.909091,5.500000,5.500000,1.000000
4.000000,10.000000,11,2.204545,2.500000,2.500000,4.000000,4.000000,4.000000,6.204545,6.500000,6.500000,0.000000
4.000000,20.000000,11,2.204545,2.500000,2.500000,2.000000,2.000000,2.000000,4.204545,4.500000,4.500000,0.909091
4.000000,40.000000,11,2.204545,2.500000,2.500000,1.000000,1.000000,1.000000,3.204545,3.500000,3.500000,1.000000
4.000000,80.000000,11,2.204545,2.500000,2.500000,0.500000,0.500000,0.500000,2.704545,3.000000,3.000000,1.000000
8.000000,10.000000,11,1.102273,1.250000,1.250000,4.000000,4.000000,4.000000,5.102273,5.250000,5.250000,0.000000
8.000000,20.000000,11,1.102273,1.250000,1.250000,2.000000,2.000000,2.000000,3.102273,3.250000,3.250000,0.000000
8.000000,40.000000,11,1.102273,1.250000,1.250000,1.000000,1.000000,1.000000,2.102273,2.250000,2.250000,0.909091
8.000000,80.000000,11,1.102273,1.250000,1.250000,0.500000,0.500000,0.500000,1.602273,1.750000,1.750000,1.000000
16.000000,10.000000,11,0.551136,0.625000,0.625000,4.000000,4.000000,4.000000,4.551136,4.625000,4.625000,0.000000
16.000000,20.000000,11,0.551136,0.625000,0.625000,2.000000,2.000000,2.000000,2.551136,2.625000,2.625000,0.000000
16.000000,40.000000,11,0.551136,0.625000,0.625000,1.000000,1.000000,1.000000,1.551136,1.625000,1.625000,0.000000
16.000000,80.000000,11,0.551136,0.625000,0.625000,0.500000,0.500000,0.500000,1.051136,1.125000,1.125000,0.909091
