timestamp,area_id,leader_id,group_size,area_slice_points,member_upload_points,leader_self_points,member_upload_bytes,leader_self_bytes
000060,12_9,5,2,4072,824,3248,13184,51968
000060,13_2,11,2,1044,119,925,1904,14800
000060,13_0,2,1,990,0,990,0,15840
000060,11_7,9,2,1073,133,940,2128,15040
000060,13_3,11,1,423,0,423,0,6768
000060,14_11,7,2,223,49,174,784,2784
000060,14_1,1,1,1267,0,1267,0,20272
000060,15_4,8,1,3182,0,3182,0,50912
000060,12_4,10,1,443,0,443,0,7088
000060,14_3,1,2,275,101,174,1616,2784
000062,12_9,5,2,4072,824,3248,13184,51968
000062,13_2,11,2,1045,120,925,1920,14800
000062,13_0,2,1,1009,0,1009,0,16144
000062,14_1,1,1,1265,0,1265,0,20240
000062,11_7,9,2,1079,139,940,2224,15040
000062,13_3,11,1,423,0,423,0,6768
000062,14_11,7,2,213,49,164,784,2624
000062,14_3,8,2,277,176,101,2816,1616
000062,18_7,12,2,44,13,31,208,496
000062,15_4,8,1,3182,0,3182,0,50912
000064,12_9,5,2,4072,824,3248,13184,51968
000064,13_2,11,2,1053,128,925,2048,14800
000064,13_0,2,1,1014,0,1014,0,16224
000064,14_1,1,1,1199,0,1199,0,19184
000064,11_7,9,2,1089,149,940,2384,15040
000064,13_3,11,1,423,0,423,0,6768
000064,12_4,10,1,381,0,381,0,6096
000064,14_11,7,2,206,50,156,800,2496
000064,15_4,8,1,3182,0,3182,0,50912
000064,14_3,1,2,277,101,176,1616,2816
000066,12_9,5,2,4072,824,3248,13184,51968
000066,13_2,11,2,1065,140,925,2240,14800
000066,13_0,2,1,1030,0,1030,0,16480
000066,14_1,1,1,1136,0,1136,0,18176
000066,15_4,8,1,3182,0,3182,0,50912
000066,11_7,9,2,1095,155,940,2480,15040
000066,13_3,11,1,423,0,423,0,6768
000066,12_4,10,1,347,0,347,0,5552
000066,14_11,7,2,196,48,148,768,2368
000066,14_3,1,2,277,101,176,1616,2816
000068,12_9,5,2,4072,824,3248,13184,51968
000068,13_2,11,2,1070,145,925,2320,14800
000068,13_0,2,1,1031,0,1031,0,16496
000068,14_1,1,1,1118,0,1118,0,17888
000068,11_7,9,2,1103,163,940,2608,15040
000068,13_3,11,1,423,0,423,0,6768
000068,14_11,7,2,194,51,143,816,2288
000068,18_7,12,2,44,14,30,224,480
000068,15_4,8,1,3182,0,3182,0,50912
000068,12_4,10,1,318,0,318,0,5088
000070,12_9,5,2,4072,824,3248,13184,51968
000070,13_2,11,2,1069,144,925,2304,14800
000070,13_0,2,1,1031,0,1031,0,16496
000070,11_7,9,2,1114,174,940,2784,15040
000070,13_3,11,1,423,0,423,0,6768
000070,18_7,12,2,49,16,33,256,528
000070,14_1,1,1,1104,0,1104,0,17664
000070,15_4,8,1,3182,0,3182,0,50912
000070,14_10,7,1,758,0,758,0,12128
000070,12_4,10,1,291,0,291,0,4656
000072,12_9,5,2,4071,824,3247,13184,51952
000072,13_2,11,2,1082,157,925,2512,14800
000072,13_0,2,1,1028,0,1028,0,16448
000072,14_1,1,1,1085,0,1085,0,17360
000072,11_7,9,2,1127,187,940,2992,15040
000072,13_3,11,1,423,0,423,0,6768
000072,14_3,8,2,277,176,101,2816,1616
000072,15_4,8,1,3182,0,3182,0,50912
000072,14_10,7,1,745,0,745,0,11920
000072,12_4,10,1,274,0,274,0,4384
000074,13_2,11,2,1092,167,925,2672,14800
000074,12_9,5,2,4066,824,3242,13184,51872
000074,13_0,2,1,1032,0,1032,0,16512
000074,14_1,1,1,1066,0,1066,0,17056
000074,11_7,9,2,1137,197,940,3152,15040
000074,14_10,7,1,721,0,721,0,11536
000074,13_3,11,1,423,0,423,0,6768
000074,12_4,10,1,247,0,247,0,3952
000074,14_3,8,2,277,176,101,2816,1616
000074,15_4,8,1,3182,0,3182,0,50912
000076,12_9,5,2,4067,824,3243,13184,51888
000076,13_2,11,2,1099,174,925,2784,14800
000076,14_1,1,1,1047,0,1047,0,16752
000076,11_7,9,2,1153,213,940,3408,15040
000076,14_10,7,1,703,0,703,0,11248
000076,13_3,11,1,423,0,423,0,6768
000076,13_0,2,1,1035,0,1035,0,16560
000076,12_4,10,1,242,0,242,0,3872
000076,14_3,8,2,277,176,101,2816,1616
000076,17_5,12,2,191,60,131,960,2096
000078,13_2,11,2,1105,180,925,2880,14800
000078,12_9,5,2,4067,828,3239,13248,51824
000078,11_7,9,2,1167,227,940,3632,15040
000078,14_10,7,1,674,0,674,0,10784
000078,13_3,11,1,423,0,423,0,6768
000078,12_4,10,1,220,0,220,0,3520
000078,13_0,2,1,1014,0,1014,0,16224
000078,15_4,8,1,3182,0,3182,0,50912
000078,14_3,1,2,277,101,176,1616,2816
000078,17_5,12,2,205,59,146,944,2336
000080,13_2,11,2,1122,197,925,3152,14800
000080,12_9,5,2,4060,828,3232,13248,51712
000080,11_7,9,2,1172,232,940,3712,15040
000080,14_10,7,1,653,0,653,0,10448
000080,13_3,11,1,423,0,423,0,6768
000080,12_4,10,1,210,0,210,0,3360
000080,14_3,1,2,277,101,176,1616,2816
000080,13_0,2,1,973,0,973,0,15568
000080,17_5,12,2,211,62,149,992,2384
000080,15_4,8,1,3182,0,3182,0,50912
