timestamp,areas,slice_rows,slice_points_total,member_upload_points,leader_self_points,member_upload_bytes,leader_self_bytes
000060,10,15,12992,1226,11766,19616,188256
000062,10,16,12609,1321,11288,21136,180608
000064,10,15,12896,1252,11644,20032,186304
000066,10,15,12823,1268,11555,20288,184880
000068,10,15,12555,1197,11358,19152,181728
000070,10,14,13093,1158,11935,18528,190960
000072,10,14,13294,1344,11950,21504,191200
000074,10,14,13243,1364,11879,21824,190064
000076,10,15,10237,1447,8790,23152,140640
000078,10,15,12334,1395,10939,22320,175024
000080,10,15,12283,1420,10863,22720,173808
