timestamp,areas,slice_rows,slice_points_total,member_upload_points,leader_self_points,member_upload_bytes,leader_self_bytes
000060,40,62,34757,5306,29451,84896,471216
000062,40,62,35286,6418,28868,102688,461888
000064,40,62,35180,6278,28902,100448,462432
000066,40,62,35119,6342,28777,101472,460432
000068,40,60,34755,5813,28942,93008,463072
000070,40,60,34449,5611,28838,89776,461408
000072,40,61,34913,6815,28098,109040,449568
000074,40,61,35915,6485,29430,103760,470880
000076,40,60,34349,5769,28580,92304,457280
000078,40,63,35289,6610,28679,105760,458864
000080,40,63,34918,6744,28174,107904,450784
