timestamp,area_count,covered_area_count,avg_group_size,avg_group_confidence,local_upload_packets,leader_upload_packets,control_assignment_bytes,local_upload_bytes,leader_upload_bytes,broadcast_bytes,total_byte_proxy,leader_count,leader_max_load,leader_loads
000060,10,10,1.500000,0.930050,5,10,640,50000,20000,2000,72640,8,3,1:3;10:1;11:3;16:0;2:1;20:0;5:2;7:2;8:1;9:2
000062,10,10,1.600000,0.867087,6,10,640,60000,20000,2000,82640,8,3,1:1;10:0;11:3;12:2;2:1;20:0;4:0;5:2;7:2;8:3;9:2
000064,10,10,1.500000,0.929662,5,10,640,50000,20000,2000,72640,8,3,1:3;10:1;11:3;2:1;20:0;5:2;7:2;8:1;9:2
000066,10,10,1.500000,0.929340,5,10,640,50000,20000,2000,72640,8,3,1:3;10:1;11:3;16:0;2:1;20:0;5:2;7:2;8:1;9:2
000068,10,10,1.500000,0.857756,5,10,640,50000,20000,2000,72640,9,3,1:1;10:1;11:3;12:2;16:0;2:1;20:0;4:0;5:2;7:2;8:1;9:2
000070,10,10,1.400000,0.864250,4,10,640,40000,20000,2000,62640,9,3,1:1;10:1;11:3;12:2;2:1;20:0;4:0;5:2;7:1;8:1;9:2
000072,10,10,1.400000,0.932653,4,10,640,40000,20000,2000,62640,8,3,1:1;10:1;11:3;2:1;20:0;5:2;7:1;8:3;9:2
000074,10,10,1.400000,0.931833,4,10,640,40000,20000,2000,62640,8,3,1:1;10:1;11:3;2:1;20:0;5:2;7:1;8:3;9:2
000076,10,10,1.500000,0.923508,5,10,640,50000,20000,2000,72640,9,3,1:1;10:1;11:3;12:2;2:1;20:0;4:0;5:2;7:1;8:2;9:2
000078,10,10,1.500000,0.921452,5,10,640,50000,20000,2000,72640,9,3,1:2;10:1;11:3;12:2;2:1;20:0;4:0;5:2;7:1;8:1;9:2
000080,10,10,1.500000,0.921226,5,10,640,50000,20000,2000,72640,9,3,1:2;10:1;11:3;12:2;2:1;20:0;4:0;5:2;7:1;8:1;9:2
