timestamp,area_count,covered_area_count,avg_group_size,avg_group_confidence,local_upload_packets,leader_upload_packets,control_assignment_bytes,local_upload_bytes,leader_upload_bytes,broadcast_bytes,total_byte_proxy,leader_count,leader_max_load,leader_loads
000060,20,20,1.400000,0.879254,8,20,1280,80000,40000,2000,123280,11,5,1:3;10:2;11:3;12:5;16:2;2:1;20:0;4:1;5:2;7:4;8:3;9:2
000062,20,20,1.500000,0.893206,10,20,1280,100000,40000,2000,143280,11,4,1:3;10:4;11:3;12:3;16:2;2:1;20:0;4:3;5:2;7:4;8:3;9:2
000064,20,20,1.450000,0.891041,9,20,1280,90000,40000,2000,133280,11,4,1:3;10:4;11:3;12:3;16:1;2:1;20:0;4:3;5:2;7:4;8:3;9:2
000066,20,20,1.450000,0.891640,9,20,1280,90000,40000,2000,133280,11,4,1:3;10:4;11:3;12:3;16:1;2:1;20:0;4:3;5:2;7:4;8:3;9:2
000068,20,20,1.450000,0.892627,9,20,1280,90000,40000,2000,133280,11,4,1:3;10:4;11:3;12:3;16:1;2:1;20:0;4:3;5:2;7:4;8:3;9:2
000070,20,20,1.500000,0.897027,10,20,1280,100000,40000,2000,143280,12,4,1:3;10:4;11:3;12:3;16:2;2:1;20:2;4:3;5:2;7:2;8:3;9:2
000072,20,20,1.500000,0.933465,10,20,1280,100000,40000,2000,143280,12,4,1:3;10:4;11:3;12:3;16:2;2:1;20:2;4:3;5:2;7:2;8:3;9:2
000074,20,20,1.500000,0.936666,10,20,1280,100000,40000,2000,143280,12,4,1:3;10:4;11:3;12:3;16:2;2:1;20:2;4:3;5:2;7:2;8:3;9:2
000076,20,20,1.450000,0.928781,9,20,1280,90000,40000,2000,133280,11,4,1:3;10:3;11:3;12:4;16:2;2:1;20:0;4:3;5:2;7:3;8:3;9:2
000078,20,20,1.550000,0.936613,11,20,1280,110000,40000,2000,153280,12,4,1:3;10:3;11:3;12:3;16:2;2:1;20:2;4:3;5:2;7:2;8:3;9:4
000080,20,20,1.500000,0.932232,10,20,1280,100000,40000,2000,143280,11,4,1:3;10:3;11:3;12:3;16:2;2:1;20:0;4:3;5:2;7:3;8:3;9:4
