timestamp,total_quality_areas,selected_areas,selected_area_ratio,total_gt_count,selected_gt_count,selected_gt_ratio,mean_area_quality,mean_confidence_weighted_quality,leader_count,leader_max_load,leader_loads
000060,33,30,0.909091,48.000000,45.000000,0.937500,0.850000,0.789266,13,7,1:5;10:5;11:4;12:7;16:2;19:2;2:1;20:2;4:7;5:2;7:4;8:3;9:2
000062,32,30,0.937500,47.000000,45.000000,0.957447,0.883333,0.818120,13,7,1:5;10:5;11:4;12:6;16:2;19:2;2:1;20:2;4:7;5:2;7:5;8:3;9:2
000064,32,30,0.937500,47.000000,45.000000,0.957447,0.883333,0.808708,13,7,1:5;10:5;11:4;12:6;16:1;19:2;2:1;20:2;4:7;5:2;7:5;8:3;9:2
000066,32,30,0.937500,47.000000,45.000000,0.957447,0.900000,0.818460,13,7,1:5;10:5;11:4;12:6;16:1;19:2;2:1;20:2;4:7;5:2;7:5;8:3;9:2
000068,32,30,0.937500,47.000000,45.000000,0.957447,0.900000,0.806495,13,7,1:5;10:5;11:4;12:6;16:1;19:2;2:1;20:2;4:7;5:2;7:5;8:3;9:2
000070,33,30,0.909091,47.000000,45.000000,0.957447,0.850000,0.759816,13,6,1:5;10:6;11:4;12:6;16:2;19:2;2:1;20:4;4:5;5:2;7:3;8:3;9:2
000072,32,30,0.937500,46.000000,44.000000,0.956522,0.833333,0.768923,13,6,1:5;10:6;11:4;12:6;16:2;19:2;2:1;20:4;4:5;5:2;7:4;8:3;9:2
000074,32,30,0.937500,45.000000,44.000000,0.977778,0.888889,0.814047,13,6,1:5;10:6;11:4;12:6;16:4;19:2;2:1;20:2;4:5;5:2;7:3;8:3;9:2
000076,35,30,0.857143,46.000000,44.000000,0.956522,0.800000,0.732723,13,5,1:5;10:5;11:4;12:4;16:4;19:2;2:1;20:2;4:5;5:2;7:5;8:3;9:4
000078,35,30,0.857143,46.000000,43.000000,0.934783,0.888889,0.821131,13,5,1:5;10:5;11:4;12:5;16:2;19:2;2:3;20:2;4:5;5:2;7:5;8:3;9:4
000080,35,30,0.857143,46.000000,43.000000,0.934783,0.888889,0.817741,13,5,1:5;10:5;11:4;12:5;16:2;19:2;2:3;20:3;4:5;5:2;7:5;8:3;9:4
