timestamp,area_count,covered_area_count,avg_group_size,avg_group_confidence,local_upload_packets,leader_upload_packets,control_assignment_bytes,local_upload_bytes,leader_upload_bytes,broadcast_bytes,total_byte_proxy,leader_count,leader_max_load,leader_loads
000060,30,30,1.533333,0.898426,16,30,1920,160000,60000,2000,223920,13,7,1:5;10:5;11:4;12:7;16:2;19:2;2:1;20:2;4:7;5:2;7:4;8:3;9:2
000062,30,30,1.533333,0.899300,16,30,1920,160000,60000,2000,223920,13,7,1:5;10:5;11:4;12:6;16:2;19:2;2:1;20:2;4:7;5:2;7:5;8:3;9:2
000064,30,30,1.500000,0.892401,15,30,1920,150000,60000,2000,213920,13,7,1:5;10:5;11:4;12:6;16:1;19:2;2:1;20:2;4:7;5:2;7:5;8:3;9:2
000066,30,30,1.500000,0.898509,15,30,1920,150000,60000,2000,213920,13,7,1:5;10:5;11:4;12:6;16:1;19:2;2:1;20:2;4:7;5:2;7:5;8:3;9:2
000068,30,30,1.500000,0.897080,15,30,1920,150000,60000,2000,213920,13,7,1:5;10:5;11:4;12:6;16:1;19:2;2:1;20:2;4:7;5:2;7:5;8:3;9:2
000070,30,30,1.500000,0.897000,15,30,1920,150000,60000,2000,213920,13,6,1:5;10:6;11:4;12:6;16:2;19:2;2:1;20:4;4:5;5:2;7:3;8:3;9:2
000072,30,30,1.533333,0.900408,16,30,1920,160000,60000,2000,223920,13,6,1:5;10:6;11:4;12:6;16:2;19:2;2:1;20:4;4:5;5:2;7:4;8:3;9:2
000074,30,30,1.500000,0.919056,15,30,1920,150000,60000,2000,213920,13,6,1:5;10:6;11:4;12:6;16:4;19:2;2:1;20:2;4:5;5:2;7:3;8:3;9:2
000076,30,30,1.533333,0.920254,16,30,1920,160000,60000,2000,223920,13,5,1:5;10:5;11:4;12:4;16:4;19:2;2:1;20:2;4:5;5:2;7:5;8:3;9:4
000078,30,30,1.566667,0.925600,17,30,1920,170000,60000,2000,233920,13,5,1:5;10:5;11:4;12:5;16:2;19:2;2:3;20:2;4:5;5:2;7:5;8:3;9:4
000080,30,30,1.600000,0.921961,18,30,1920,180000,60000,2000,243920,13,5,1:5;10:5;11:4;12:5;16:2;19:2;2:3;20:3;4:5;5:2;7:5;8:3;9:4
