timestamp,total_quality_areas,selected_areas,selected_area_ratio,total_gt_count,selected_gt_count,selected_gt_ratio,mean_area_quality,mean_confidence_weighted_quality,leader_count,leader_max_load,leader_loads
000060,33,40,1.212121,48.000000,48.000000,1.000000,0.687500,0.616393,16,9,1:5;10:5;11:4;12:9;13:1;14:1;16:3;19:3;2:1;20:5;3:2;4:9;5:2;7:5;8:3;9:4
000062,32,40,1.250000,47.000000,47.000000,1.000000,0.712500,0.656318,15,10,1:5;10:5;11:4;12:10;13:1;14:1;16:3;19:3;2:1;20:4;4:9;5:2;7:5;8:5;9:4
000064,32,40,1.250000,47.000000,47.000000,1.000000,0.687500,0.629614,15,10,1:5;10:5;11:4;12:10;13:1;14:1;16:3;19:3;2:1;20:4;4:9;5:2;7:5;8:5;9:4
000066,32,40,1.250000,47.000000,47.000000,1.000000,0.700000,0.634134,15,10,1:5;10:5;11:4;12:10;13:1;14:1;16:3;19:3;2:1;20:4;4:9;5:2;7:5;8:5;9:4
000068,32,40,1.250000,47.000000,47.000000,1.000000,0.675000,0.604872,15,9,1:5;10:6;11:4;12:8;13:1;14:2;16:3;19:3;2:1;20:2;4:9;5:2;7:5;8:5;9:4
000070,33,40,1.212121,47.000000,47.000000,1.000000,0.637500,0.569862,15,10,1:5;10:6;11:4;12:10;13:1;14:2;16:4;19:3;2:1;20:4;4:8;5:2;7:3;8:3;9:4
000072,32,40,1.250000,46.000000,46.000000,1.000000,0.625000,0.576692,15,8,1:5;10:6;11:4;12:8;13:1;14:2;16:4;19:3;2:1;20:4;4:7;5:2;7:5;8:5;9:4
000074,32,40,1.250000,45.000000,45.000000,1.000000,0.666667,0.610535,15,8,1:5;10:6;11:4;12:8;13:1;14:2;16:4;19:3;2:3;20:4;4:7;5:2;7:3;8:5;9:4
000076,35,40,1.142857,46.000000,46.000000,1.000000,0.600000,0.549542,15,8,1:5;10:6;11:4;12:8;13:1;14:2;16:6;19:3;2:3;20:2;4:6;5:2;7:5;8:3;9:4
000078,35,40,1.142857,46.000000,46.000000,1.000000,0.691667,0.636925,15,7,1:5;10:5;11:4;12:7;13:1;14:2;16:6;19:3;2:5;20:4;4:7;5:2;7:5;8:3;9:4
000080,35,40,1.142857,46.000000,46.000000,1.000000,0.691667,0.616109,15,8,1:5;10:5;11:4;12:7;13:1;14:1;16:5;19:3;2:5;20:5;4:8;5:2;7:5;8:3;9:4
