timestamp,area_id,area_center_x,area_center_y,priority,group_members,group_size,leader_id,group_confidence,member_uploads,leader_uploads
000060,12_9,-15.000,17.000,4.300000,5;20,2,5,0.993232,1,1
000060,13_2,-5.000,-25.000,4.300000,11;2,2,11,0.982015,1,1
000060,13_0,-5.000,-37.000,3.200000,2,1,2,0.956185,0,1
000060,11_7,-25.000,5.000,3.200000,9;10,2,9,0.982406,1,1
000060,13_3,-5.000,-19.000,3.200000,11,1,11,0.854979,0,1
000060,14_11,5.000,29.000,3.200000,7;16,2,7,0.872718,1,1
000060,14_1,5.000,-31.000,3.100000,1,1,1,0.937491,0,1
000060,15_4,15.000,-13.000,3.100000,8,1,8,0.924505,0,1
000060,12_4,-15.000,-13.000,3.100000,10,1,10,0.853059,0,1
000060,14_3,5.000,-19.000,3.100000,1;8,2,1,0.943908,1,1
000060,17_5,35.000,-7.000,3.100000,12;4,2,12,0.698251,1,1
000060,18_7,45.000,5.000,3.100000,12,1,12,0.133370,0,1
000060,15_3,15.000,-19.000,3.000000,8;1,2,8,0.962842,1,1
000060,17_7,35.000,5.000,2.200000,12,1,12,0.814292,0,1
000060,16_7,25.000,5.000,2.100000,12,1,12,0.985045,0,1
000060,14_9,5.000,17.000,2.100000,7,1,7,0.952979,0,1
000060,12_10,-15.000,23.000,2.100000,16;20,2,16,0.993124,1,1
000060,14_10,5.000,23.000,2.100000,7,1,7,0.925101,0,1
000060,12_5,-15.000,-7.000,2.100000,10,1,10,0.918068,0,1
000060,15_6,15.000,-1.000,2.100000,4,1,4,0.901514,0,1
000060,11_5,-25.000,-7.000,2.100000,10;9,2,10,0.978816,1,1
000060,13_9,-5.000,17.000,2.100000,20;7,2,20,0.976751,1,1
000060,16_8,25.000,11.000,2.100000,12;4,2,4,0.975639,1,1
000060,15_2,15.000,-25.000,2.100000,1;8,2,1,0.970775,1,1
000060,11_8,-25.000,11.000,2.100000,9;19,2,19,0.956574,1,1
000060,11_4,-25.000,-13.000,2.100000,10,1,10,0.837188,0,1
000060,12_3,-15.000,-19.000,2.100000,11,1,11,0.829625,0,1
000060,15_8,15.000,11.000,2.100000,4;7,2,4,0.960140,1,1
000060,16_5,25.000,-7.000,2.100000,4;12,2,4,0.961737,1,1
000060,16_4,25.000,-13.000,2.100000,4;12,2,12,0.920460,1,1
000060,12_7,-15.000,5.000,2.100000,10;20;9,3,20,0.776017,2,1
000060,12_13,-15.000,41.000,2.100000,16;3,2,3,0.201729,1,1
000060,15_9,15.000,17.000,2.000000,7,1,7,0.829675,0,1
000060,6_13,-75.000,41.000,0.000000,14,1,14,0.944570,0,1
000060,10_6,-35.000,-1.000,0.000000,19,1,19,0.944274,0,1
000060,9_6,-45.000,-1.000,0.000000,13,1,13,0.909034,0,1
000060,12_11,-15.000,29.000,0.000000,16,1,16,0.905405,0,1
000060,16_6,25.000,-1.000,0.000000,12;4,2,12,0.988053,1,1
000060,15_7,15.000,5.000,0.000000,4;12,2,4,0.981905,1,1
000060,11_6,-25.000,-1.000,0.000000,9;10,2,9,0.985123,1,1
000062,12_9,-15.000,17.000,4.300000,5;20,2,5,0.993232,1,1
000062,13_2,-5.000,-25.000,4.300000,11;2,2,11,0.982724,1,1
000062,13_0,-5.000,-37.000,3.200000,2,1,2,0.958680,0,1
000062,14_1,5.000,-31.000,3.200000,1,1,1,0.937491,0,1
000062,11_7,-25.000,5.000,3.200000,9;10,2,9,0.982762,1,1
000062,13_3,-5.000,-19.000,3.200000,11,1,11,0.854979,0,1
000062,14_11,5.000,29.000,3.200000,7;20,2,7,0.871409,1,1
000062,14_3,5.000,-19.000,3.200000,1;8,2,8,0.943908,1,1
000062,18_7,45.000,5.000,3.200000,12;4,2,12,0.221179,1,1
000062,15_4,15.000,-13.000,3.100000,8,1,8,0.924505,0,1
000062,12_4,-15.000,-13.000,3.100000,10,1,10,0.848175,0,1
000062,17_5,35.000,-7.000,3.100000,12;4,2,4,0.730052,1,1
000062,15_3,15.000,-19.000,3.000000,8;1,2,1,0.962842,1,1
000062,16_7,25.000,5.000,2.100000,12,1,12,0.984728,0,1
000062,14_9,5.000,17.000,2.100000,7,1,7,0.952888,0,1
000062,12_10,-15.000,23.000,2.100000,16;20,2,16,0.992401,1,1
000062,14_10,5.000,23.000,2.100000,7,1,7,0.923954,0,1
000062,12_5,-15.000,-7.000,2.100000,10,1,10,0.915200,0,1
000062,15_6,15.000,-1.000,2.100000,4,1,4,0.903990,0,1
000062,11_5,-25.000,-7.000,2.100000,10;9,2,10,0.979025,1,1
000062,13_9,-5.000,17.000,2.100000,20;7,2,20,0.976586,1,1
000062,16_8,25.000,11.000,2.100000,12;4,2,12,0.974962,1,1
000062,15_2,15.000,-25.000,2.100000,1;8,2,1,0.970775,1,1
000062,11_8,-25.000,11.000,2.100000,9;19,2,19,0.956832,1,1
000062,11_4,-25.000,-13.000,2.100000,10,1,10,0.834784,0,1
000062,15_9,15.000,17.000,2.100000,7,1,7,0.831415,0,1
000062,12_3,-15.000,-19.000,2.100000,11,1,11,0.829625,0,1
000062,17_7,35.000,5.000,2.100000,12,1,12,0.817678,0,1
000062,16_5,25.000,-7.000,2.100000,4;12,2,4,0.962788,1,1
000062,15_8,15.000,11.000,2.100000,4;7,2,4,0.959429,1,1
000062,16_4,25.000,-13.000,2.100000,4;12,2,12,0.921921,1,1
000062,12_7,-15.000,5.000,2.100000,10;20,2,20,0.787197,1,1
000062,6_13,-75.000,41.000,0.000000,14,1,14,0.954044,0,1
000062,10_6,-35.000,-1.000,0.000000,19,1,19,0.945958,0,1
000062,12_11,-15.000,29.000,0.000000,16,1,16,0.910282,0,1
000062,9_6,-45.000,-1.000,0.000000,13,1,13,0.909034,0,1
000062,16_6,25.000,-1.000,0.000000,12;4,2,4,0.988453,1,1
000062,11_6,-25.000,-1.000,0.000000,9;10,2,9,0.985580,1,1
000062,15_7,15.000,5.000,0.000000,4;12,2,12,0.980887,1,1
000062,14_2,5.000,-25.000,0.000000,1;8,2,8,0.951940,1,1
000064,12_9,-15.000,17.000,4.300000,5;20,2,5,0.993232,1,1
000064,13_2,-5.000,-25.000,4.300000,11;2,2,11,0.983002,1,1
000064,13_0,-5.000,-37.000,3.200000,2,1,2,0.961149,0,1
000064,14_1,5.000,-31.000,3.200000,1,1,1,0.937491,0,1
000064,11_7,-25.000,5.000,3.200000,9;10,2,9,0.983101,1,1
000064,13_3,-5.000,-19.000,3.200000,11,1,11,0.854979,0,1
000064,12_4,-15.000,-13.000,3.200000,10,1,10,0.843568,0,1
000064,14_11,5.000,29.000,3.200000,7;20,2,7,0.871685,1,1
000064,15_4,15.000,-13.000,3.100000,8,1,8,0.924505,0,1
000064,14_3,5.000,-19.000,3.100000,1;8,2,1,0.943908,1,1
000064,17_5,35.000,-7.000,3.100000,12;4,2,12,0.754498,1,1
000064,18_7,45.000,5.000,3.100000,12;4,2,4,0.236480,1,1
000064,15_3,15.000,-19.000,3.000000,8;1,2,8,0.962842,1,1
000064,16_7,25.000,5.000,2.100000,12,1,12,0.982989,0,1
000064,14_9,5.000,17.000,2.100000,7,1,7,0.952645,0,1
000064,14_10,5.000,23.000,2.100000,7,1,7,0.922401,0,1
000064,12_11,-15.000,29.000,2.100000,16,1,16,0.914691,0,1
000064,12_5,-15.000,-7.000,2.100000,10,1,10,0.912312,0,1
000064,15_6,15.000,-1.000,2.100000,4,1,4,0.906174,0,1
000064,11_5,-25.000,-7.000,2.100000,10;9,2,10,0.979166,1,1
000064,16_8,25.000,11.000,2.100000,12;4,2,12,0.974245,1,1
000064,15_2,15.000,-25.000,2.100000,1;8,2,1,0.970775,1,1
000064,11_8,-25.000,11.000,2.100000,9;19,2,19,0.956930,1,1
000064,15_9,15.000,17.000,2.100000,7,1,7,0.833692,0,1
000064,11_4,-25.000,-13.000,2.100000,10,1,10,0.832349,0,1
000064,12_3,-15.000,-19.000,2.100000,11,1,11,0.829625,0,1
000064,17_7,35.000,5.000,2.100000,12,1,12,0.821586,0,1
000064,16_5,25.000,-7.000,2.100000,4;12,2,4,0.963789,1,1
000064,15_8,15.000,11.000,2.100000,4;7,2,4,0.958875,1,1
000064,12_7,-15.000,5.000,2.100000,10;20,2,20,0.809337,1,1
000064,16_4,25.000,-13.000,2.100000,4;12,2,12,0.923333,1,1
000064,13_9,-5.000,17.000,2.000000,20;7,2,20,0.976370,1,1
000064,6_13,-75.000,41.000,0.000000,14,1,14,0.960771,0,1
