timestamp,area_count,covered_area_count,avg_group_size,avg_group_confidence,local_upload_packets,leader_upload_packets,control_assignment_bytes,local_upload_bytes,leader_upload_bytes,broadcast_bytes,total_byte_proxy,leader_count,leader_max_load,leader_loads
000060,40,40,1.550000,0.885464,22,40,2560,220000,80000,2000,304560,16,9,1:5;10:5;11:4;12:9;13:1;14:1;16:3;19:3;2:1;20:5;3:2;4:9;5:2;7:5;8:3;9:4
000062,40,40,1.550000,0.907857,22,40,2560,220000,80000,2000,304560,15,10,1:5;10:5;11:4;12:10;13:1;14:1;16:3;19:3;2:1;20:4;4:9;5:2;7:5;8:5;9:4
000064,40,40,1.550000,0.909552,22,40,2560,220000,80000,2000,304560,15,10,1:5;10:5;11:4;12:10;13:1;14:1;16:3;19:3;2:1;20:4;4:9;5:2;7:5;8:5;9:4
000066,40,40,1.550000,0.910073,22,40,2560,220000,80000,2000,304560,15,10,1:5;10:5;11:4;12:10;13:1;14:1;16:3;19:3;2:1;20:4;4:9;5:2;7:5;8:5;9:4
000068,40,40,1.500000,0.908062,20,40,2560,200000,80000,2000,284560,15,9,1:5;10:6;11:4;12:8;13:1;14:2;16:3;19:3;2:1;20:2;4:9;5:2;7:5;8:5;9:4
000070,40,40,1.500000,0.907948,20,40,2560,200000,80000,2000,284560,15,10,1:5;10:6;11:4;12:10;13:1;14:2;16:4;19:3;2:1;20:4;4:8;5:2;7:3;8:3;9:4
000072,40,40,1.525000,0.911237,21,40,2560,210000,80000,2000,294560,15,8,1:5;10:6;11:4;12:8;13:1;14:2;16:4;19:3;2:1;20:4;4:7;5:2;7:5;8:5;9:4
000074,40,40,1.525000,0.928722,21,40,2560,210000,80000,2000,294560,15,8,1:5;10:6;11:4;12:8;13:1;14:2;16:4;19:3;2:3;20:4;4:7;5:2;7:3;8:5;9:4
000076,40,40,1.500000,0.903192,20,40,2560,200000,80000,2000,284560,15,8,1:5;10:6;11:4;12:8;13:1;14:2;16:6;19:3;2:3;20:2;4:6;5:2;7:5;8:3;9:4
000078,40,40,1.575000,0.908580,23,40,2560,230000,80000,2000,314560,15,7,1:5;10:5;11:4;12:7;13:1;14:2;16:6;19:3;2:5;20:4;4:7;5:2;7:5;8:3;9:4
000080,40,40,1.575000,0.907957,23,40,2560,230000,80000,2000,314560,15,8,1:5;10:5;11:4;12:7;13:1;14:1;16:5;19:3;2:5;20:5;4:8;5:2;7:5;8:3;9:4
