line_no,request_id,source_node,target_node,bytes,send_timestamp_ms,receive_timestamp_ms,delay_ms,frame_index,is_last_packet,timestamp,area_id,upload_type,plan_index,pkt_id,matched,match_method
486,52,1,21,2000,100.0,101.0,1.0,1,1,000062,,leader_to_rsu,52,52,1,frame_request_id
1467,80,12,21,2000,100.0,107.0,7.0,1,1,000062,,leader_to_rsu,80,80,1,frame_request_id
1709,90,4,21,2000,100.0,109.0,9.0,1,1,000062,,leader_to_rsu,90,90,1,frame_request_id
2671,95,2,11,2048,200.0,204.0,4.0,2,1,000064,,member_to_leader,95,95,1,frame_request_id
3204,101,11,21,2000,200.0,207.0,7.0,2,1,000064,,leader_to_rsu,101,101,1,frame_request_id
3694,144,8,21,2000,300.0,301.0,1.0,3,1,000066,,leader_to_rsu,144,144,1,frame_request_id
4572,158,8,21,2000,300.0,306.0,6.0,3,1,000066,,leader_to_rsu,158,158,1,frame_request_id
4703,160,7,21,2000,300.0,307.0,7.0,3,1,000066,,leader_to_rsu,160,160,1,frame_request_id
4852,161,7,21,2000,300.0,309.0,9.0,3,1,000066,,leader_to_rsu,161,161,1,frame_request_id
5021,131,12,21,2000,200.0,314.0,114.0,2,1,000064,,leader_to_rsu,131,131,1,frame_request_id
5495,194,4,12,224,400.0,402.0,2.0,4,1,000068,,member_to_leader,194,194,1,frame_request_id
5496,214,4,12,2704,400.0,402.0,2.0,4,1,000068,,member_to_leader,214,214,1,frame_request_id
6170,172,1,21,2000,300.0,406.0,106.0,3,1,000066,,leader_to_rsu,172,172,1,frame_request_id
6264,211,10,21,2000,400.0,406.0,6.0,4,1,000068,,leader_to_rsu,211,211,1,frame_request_id
6388,223,10,21,2000,400.0,408.0,8.0,4,1,000068,,leader_to_rsu,223,223,1,frame_request_id
6549,178,12,21,2000,300.0,414.0,114.0,3,1,000066,,leader_to_rsu,178,178,1,frame_request_id
6874,246,1,8,1520,500.0,502.0,2.0,5,1,000070,,member_to_leader,246,246,1,frame_request_id
7652,193,7,21,2000,400.0,506.0,106.0,4,1,000068,,leader_to_rsu,193,193,1,frame_request_id
7653,205,7,21,2000,400.0,506.0,106.0,4,1,000068,,leader_to_rsu,205,205,1,frame_request_id
7654,207,7,21,2000,400.0,506.0,106.0,4,1,000068,,leader_to_rsu,207,207,1,frame_request_id
7655,220,7,21,2000,400.0,506.0,106.0,4,1,000068,,leader_to_rsu,220,220,1,frame_request_id
9917,269,10,21,2000,500.0,611.0,111.0,5,1,000070,,leader_to_rsu,269,269,1,frame_request_id
9942,263,1,21,2000,500.0,611.0,111.0,5,1,000070,,leader_to_rsu,263,263,1,frame_request_id
9970,261,12,21,2000,500.0,612.0,112.0,5,1,000070,,leader_to_rsu,261,261,1,frame_request_id
10373,323,2,21,2000,700.0,702.0,2.0,7,1,000074,,leader_to_rsu,323,323,1,frame_request_id
11447,313,12,4,1952,600.0,710.0,110.0,6,1,000072,,member_to_leader,313,313,1,frame_request_id
11515,304,1,21,2000,600.0,711.0,111.0,6,1,000072,,leader_to_rsu,304,304,1,frame_request_id
11528,305,12,21,2000,600.0,712.0,112.0,6,1,000072,,leader_to_rsu,305,305,1,frame_request_id
11529,316,12,21,2000,600.0,712.0,112.0,6,1,000072,,leader_to_rsu,316,316,1,frame_request_id
11530,310,10,21,2000,600.0,712.0,112.0,6,1,000072,,leader_to_rsu,310,310,1,frame_request_id
11555,314,4,21,2000,600.0,712.0,112.0,6,1,000072,,leader_to_rsu,314,314,1,frame_request_id
13232,349,7,21,2000,700.0,810.0,110.0,7,1,000074,,leader_to_rsu,349,349,1,frame_request_id
13321,352,1,21,2000,700.0,811.0,111.0,7,1,000074,,leader_to_rsu,352,352,1,frame_request_id
13329,344,10,21,2000,700.0,812.0,112.0,7,1,000074,,leader_to_rsu,344,344,1,frame_request_id
13360,343,4,21,2000,700.0,812.0,112.0,7,1,000074,,leader_to_rsu,343,343,1,frame_request_id
13361,361,4,21,2000,700.0,812.0,112.0,7,1,000074,,leader_to_rsu,361,361,1,frame_request_id
14582,427,9,10,3056,900.0,905.0,5.0,9,1,000078,,member_to_leader,427,427,1,frame_request_id
14824,372,11,21,2000,800.0,907.0,107.0,8,1,000076,,leader_to_rsu,372,372,1,frame_request_id
15179,381,1,21,2000,800.0,911.0,111.0,8,1,000076,,leader_to_rsu,381,381,1,frame_request_id
15219,356,10,21,2000,700.0,912.0,212.0,7,1,000074,,leader_to_rsu,356,356,1,frame_request_id
15220,359,10,21,2000,700.0,912.0,212.0,7,1,000074,,leader_to_rsu,359,359,1,frame_request_id
15221,398,10,21,2000,800.0,912.0,112.0,8,1,000076,,leader_to_rsu,398,398,1,frame_request_id
15222,391,7,21,2000,800.0,912.0,112.0,8,1,000076,,leader_to_rsu,391,391,1,frame_request_id
15254,392,12,21,2000,800.0,913.0,113.0,8,1,000076,,leader_to_rsu,392,392,1,frame_request_id
15852,435,4,21,2000,900.0,1002.0,102.0,9,1,000078,,leader_to_rsu,435,435,1,frame_request_id
16766,436,10,9,9504,900.0,1008.0,108.0,9,1,000078,,member_to_leader,436,436,1,frame_request_id
17067,454,7,21,2000,900.0,1012.0,112.0,9,1,000078,,leader_to_rsu,454,454,1,frame_request_id
17068,450,11,21,2000,900.0,1012.0,112.0,9,1,000078,,leader_to_rsu,450,450,1,frame_request_id
17093,452,10,21,2000,900.0,1012.0,112.0,9,1,000078,,leader_to_rsu,452,452,1,frame_request_id
17197,455,12,4,1616,900.0,1022.0,122.0,9,1,000078,,member_to_leader,455,455,1,frame_request_id
17226,501,4,21,2000,1000.0,1103.0,103.0,10,1,000080,,leader_to_rsu,501,501,1,frame_request_id
17239,467,1,21,2000,1000.0,1104.0,104.0,10,1,000080,,leader_to_rsu,467,467,1,frame_request_id
17240,477,1,21,2000,1000.0,1104.0,104.0,10,1,000080,,leader_to_rsu,477,477,1,frame_request_id
17241,492,1,21,2000,1000.0,1104.0,104.0,10,1,000080,,leader_to_rsu,492,492,1,frame_request_id
17246,499,10,21,2000,1000.0,1113.0,113.0,10,1,000080,,leader_to_rsu,499,499,1,frame_request_id
