frame_index,timestamp,planned_requests,observed_cam_received,bridge_observed_delivery_ratio,planned_bytes,observed_bytes,avg_delay_ms,p95_delay_ms,max_delay_ms
0,000060,46,0,0.0,125888,0,0.0,0.0,0.0
1,000062,46,3,0.06521739130434782,121456,6000,5.666666666666667,9.0,9.0
2,000064,45,3,0.06666666666666667,105056,6048,41.666666666666664,114.0,114.0
3,000066,45,6,0.13333333333333333,105568,12000,40.5,114.0,114.0
4,000068,45,8,0.17777777777777778,105536,14928,55.25,106.0,106.0
5,000070,45,4,0.08888888888888889,117280,7520,84.0,112.0,112.0
6,000072,46,6,0.13043478260869565,127648,11952,111.5,112.0,112.0
7,000074,45,8,0.17777777777777778,112512,16000,122.875,212.0,212.0
8,000076,46,5,0.10869565217391304,126672,10000,111.0,113.0,113.0
9,000078,47,7,0.14893617021276595,132272,22176,96.14285714285714,122.0,122.0
10,000080,48,5,0.10416666666666667,133680,10000,105.6,113.0,113.0
