line_no,channel,status,tx_rnti,dst_l2_id,harq_id,tb_size,tbler,sinr_avg,sinr_min,reason,frame,subframe,slot
308,PSCCH,OK,2,1,,,0,15.9428,15.7145,,10,1,0
311,PSCCH,OK,2,1,,,0,14.4732,14.1697,,10,1,0
315,PSCCH,FAIL,2,1,,,1,0.0119078,0.0108439,decoded_overlap,10,1,0
318,PSCCH,FAIL,2,1,,,1,0.0463154,0.0457663,decoded_overlap,10,1,0
320,PSCCH,OK,2,1,,,0,10.7099,10.0699,,10,1,0
323,PSCCH,OK,2,1,,,0,14.0304,13.4719,,10,1,0
326,PSCCH,OK,2,1,,,0,6.83645,6.46717,,10,1,0
330,PSCCH,FAIL,2,1,,,1,0.0812478,0.0794439,decoded_overlap,10,1,0
333,PSCCH,FAIL,2,1,,,1,0.100189,0.0790181,decoded_overlap,10,1,0
336,PSCCH,FAIL,2,1,,,1,0.535742,0.488185,decoded_overlap,10,1,0
338,PSCCH,OK,2,1,,,0,2.10814,1.98529,,10,1,0
341,PSCCH,OK,2,1,,,0,16.8861,15.7308,,10,1,0
345,PSCCH,FAIL,2,1,,,1,0.111918,0.105631,decoded_overlap,10,1,0
348,PSCCH,FAIL,2,1,,,1,0.219423,0.1019,decoded_overlap,10,1,0
351,PSCCH,FAIL,2,1,,,0.687838,0.787531,0.767036,decoded_overlap,10,1,0
353,PSCCH,OK,2,1,,,0.0015,1.12878,1.07716,,10,1,0
357,PSCCH,FAIL,2,1,,,1,0.0137113,0.0135989,decoded_overlap,10,1,0
360,PSCCH,FAIL,2,1,,,1,0.0876858,0.0765162,decoded_overlap,10,1,0
362,PSCCH,OK,2,1,,,0,1.56346,1.2648,,10,1,0
365,PSSCH,OK,2,1,1,4069,0,4382.79,25.2931,,,,
367,PSSCH,FAIL,16,5,0,3494,1,11.623,6.76225,decode_fail,,,
373,PSCCH,OK,14,9,,,0.125375,0.98929,0.866631,,10,1,1
375,PSCCH,FAIL,5,16,,,0.967105,0.695922,0.538794,decoded_overlap,10,1,1
377,PSCCH,FAIL,4,1,,,1,0.105627,0.0809339,decoded_overlap,10,1,1
379,PSCCH,OK,5,16,,,0,5.88728,5.69803,,10,1,1
381,PSCCH,FAIL,14,9,,,1,0.13412,0.13152,decoded_overlap,10,1,1
383,PSCCH,FAIL,4,1,,,1,0.0277285,0.0252915,decoded_overlap,10,1,1
385,PSCCH,OK,4,1,,,0.0015,1.30336,1.23376,,10,1,1
387,PSCCH,FAIL,14,9,,,1,0.49248,0.477125,decoded_overlap,10,1,1
389,PSCCH,FAIL,5,16,,,1,0.116762,0.0923785,decoded_overlap,10,1,1
391,PSCCH,OK,14,9,,,0,6.65338,6.50961,,10,1,1
393,PSCCH,FAIL,4,1,,,1,0.143739,0.139762,decoded_overlap,10,1,1
395,PSCCH,FAIL,5,16,,,1,0.00502961,0.00419223,decoded_overlap,10,1,1
397,PSCCH,OK,4,1,,,0,25.1611,21.6814,,10,1,1
399,PSCCH,FAIL,14,9,,,1,0.0247566,0.0197167,decoded_overlap,10,1,1
401,PSCCH,FAIL,5,16,,,1,0.01454,0.0143487,decoded_overlap,10,1,1
403,PSCCH,OK,5,16,,,0,1.49509,1.3069,,10,1,1
405,PSCCH,FAIL,4,1,,,1,0.403536,0.3213,decoded_overlap,10,1,1
407,PSCCH,FAIL,14,9,,,1,0.130456,0.117392,decoded_overlap,10,1,1
409,PSCCH,OK,14,9,,,0,19.0271,15.6349,,10,1,1
411,PSCCH,FAIL,4,1,,,1,0.0265254,0.0211904,decoded_overlap,10,1,1
