timestamp,requests,member_requests,leader_requests,bytes_total,member_bytes,leader_bytes,original_bytes_total
000060,46,16,30,125888,65888,60000,220000
000062,46,16,30,121456,61456,60000,220000
000064,45,15,30,105056,45056,60000,210000
000066,45,15,30,105568,45568,60000,210000
000068,45,15,30,105536,45536,60000,210000
000070,45,15,30,117280,57280,60000,210000
000072,46,16,30,127648,67648,60000,220000
000074,45,15,30,112512,52512,60000,210000
000076,46,16,30,126672,66672,60000,220000
000078,47,17,30,132272,72272,60000,230000
000080,48,18,30,133680,73680,60000,240000
