timestamp,area_id,leader_id,group_size,area_slice_points,member_upload_points,leader_self_points,member_upload_bytes,leader_self_bytes
000060,12_9,5,2,4072,824,3248,13184,51968
000060,13_2,11,2,1044,119,925,1904,14800
000060,13_0,2,1,990,0,990,0,15840
000060,11_7,9,2,1073,133,940,2128,15040
000060,13_3,11,1,423,0,423,0,6768
000060,14_11,7,2,223,49,174,784,2784
000060,14_1,1,1,1267,0,1267,0,20272
000060,15_4,8,1,3182,0,3182,0,50912
000060,12_4,10,1,443,0,443,0,7088
000060,14_3,1,2,275,101,174,1616,2784
000060,17_5,12,2,147,59,88,944,1408
000060,18_7,12,1,24,0,24,0,384
000060,15_3,8,2,352,95,257,1520,4112
000060,17_7,12,1,193,0,193,0,3088
000060,16_7,12,1,1079,0,1079,0,17264
000060,14_9,7,1,1087,0,1087,0,17392
000060,12_10,16,2,1658,762,896,12192,14336
000060,14_10,7,1,782,0,782,0,12512
000060,12_5,10,1,839,0,839,0,13424
000060,15_6,4,1,753,0,753,0,12048
000060,11_5,10,2,1010,192,818,3072,13088
000060,13_9,20,2,815,146,669,2336,10704
000060,16_8,4,2,831,621,210,9936,3360
000062,12_9,5,2,4072,824,3248,13184,51968
000062,13_2,11,2,1045,120,925,1920,14800
000062,13_0,2,1,1009,0,1009,0,16144
000062,14_1,1,1,1265,0,1265,0,20240
000062,11_7,9,2,1079,139,940,2224,15040
000062,13_3,11,1,423,0,423,0,6768
000062,14_11,7,2,213,49,164,784,2624
000062,14_3,8,2,277,176,101,2816,1616
000062,18_7,12,2,44,13,31,208,496
000062,15_4,8,1,3182,0,3182,0,50912
000062,12_4,10,1,412,0,412,0,6592
000062,17_5,4,2,154,96,58,1536,928
000062,15_3,1,2,352,257,95,4112,1520
000062,16_7,12,1,1080,0,1080,0,17280
000062,14_9,7,1,1082,0,1082,0,17312
000062,12_10,16,2,1625,757,868,12112,13888
000062,14_10,7,1,785,0,785,0,12560
000062,12_5,10,1,809,0,809,0,12944
000062,15_6,4,1,756,0,756,0,12096
000062,11_5,10,2,1031,192,839,3072,13424
000062,13_9,20,2,814,145,669,2320,10704
000062,16_8,12,2,807,195,612,3120,9792
000062,15_2,1,2,651,187,464,2992,7424
000064,12_9,5,2,4072,824,3248,13184,51968
000064,13_2,11,2,1053,128,925,2048,14800
000064,13_0,2,1,1014,0,1014,0,16224
000064,14_1,1,1,1199,0,1199,0,19184
000064,11_7,9,2,1089,149,940,2384,15040
000064,13_3,11,1,423,0,423,0,6768
000064,12_4,10,1,381,0,381,0,6096
000064,14_11,7,2,206,50,156,800,2496
000064,15_4,8,1,3182,0,3182,0,50912
000064,14_3,1,2,277,101,176,1616,2816
000064,17_5,12,2,159,57,102,912,1632
000064,18_7,4,2,46,32,14,512,224
000064,15_3,8,2,352,95,257,1520,4112
000064,16_7,12,1,1070,0,1070,0,17120
000064,14_9,7,1,1077,0,1077,0,17232
000064,14_10,7,1,788,0,788,0,12608
000064,12_11,16,1,740,0,740,0,11840
000064,12_5,10,1,778,0,778,0,12448
000064,15_6,4,1,753,0,753,0,12048
000064,11_5,10,2,1040,192,848,3072,13568
000064,16_8,12,2,766,183,583,2928,9328
000064,15_2,1,2,651,187,464,2992,7424
000064,11_8,19,2,523,395,128,6320,2048
000066,12_9,5,2,4072,824,3248,13184,51968
000066,13_2,11,2,1065,140,925,2240,14800
000066,13_0,2,1,1030,0,1030,0,16480
000066,14_1,1,1,1136,0,1136,0,18176
000066,15_4,8,1,3182,0,3182,0,50912
000066,11_7,9,2,1095,155,940,2480,15040
000066,13_3,11,1,423,0,423,0,6768
000066,12_4,10,1,347,0,347,0,5552
000066,14_11,7,2,196,48,148,768,2368
000066,14_3,1,2,277,101,176,1616,2816
000066,17_5,12,2,159,59,100,944,1600
000066,18_7,4,2,50,34,16,544,256
000066,15_3,8,2,352,95,257,1520,4112
000066,16_7,12,1,1034,0,1034,0,16544
000066,14_9,7,1,1079,0,1079,0,17264
000066,14_10,7,1,778,0,778,0,12448
000066,12_11,16,1,745,0,745,0,11920
000066,12_5,10,1,758,0,758,0,12128
000066,15_6,4,1,815,0,815,0,13040
000066,11_5,10,2,1042,190,852,3040,13632
000066,13_9,20,2,797,128,669,2048,10704
000066,16_8,12,2,754,176,578,2816,9248
000066,15_2,1,2,651,187,464,2992,7424
000068,12_9,5,2,4072,824,3248,13184,51968
000068,13_2,11,2,1070,145,925,2320,14800
000068,13_0,2,1,1031,0,1031,0,16496
000068,14_1,1,1,1118,0,1118,0,17888
000068,11_7,9,2,1103,163,940,2608,15040
000068,13_3,11,1,423,0,423,0,6768
000068,14_11,7,2,194,51,143,816,2288
000068,18_7,12,2,44,14,30,224,480
000068,15_4,8,1,3182,0,3182,0,50912
000068,12_4,10,1,318,0,318,0,5088
000068,14_3,1,2,277,101,176,1616,2816
000068,17_5,4,2,172,112,60,1792,960
000068,15_3,8,2,352,95,257,1520,4112
000068,16_7,12,1,993,0,993,0,15888
000068,14_9,7,1,1064,0,1064,0,17024
000068,12_11,16,1,747,0,747,0,11952
000068,14_10,7,1,773,0,773,0,12368
000068,15_6,4,1,874,0,874,0,13984
000068,12_5,10,1,721,0,721,0,11536
000068,11_5,10,2,1027,190,837,3040,13392
000068,13_9,20,2,794,125,669,2000,10704
000068,16_8,12,2,732,169,563,2704,9008
000068,15_2,1,2,651,187,464,2992,7424
000070,12_9,5,2,4072,824,3248,13184,51968
000070,13_2,11,2,1069,144,925,2304,14800
000070,13_0,2,1,1031,0,1031,0,16496
000070,11_7,9,2,1114,174,940,2784,15040
000070,13_3,11,1,423,0,423,0,6768
000070,18_7,12,2,49,16,33,256,528
000070,14_1,1,1,1104,0,1104,0,17664
