timestamp,areas,slice_rows,slice_points_total,member_upload_points,leader_self_points,member_upload_bytes,leader_self_bytes
000060,23,34,22562,3101,19461,49616,311376
000062,23,36,22967,3150,19817,50400,317072
000064,23,35,21639,2393,19246,38288,307936
000066,23,35,21837,2137,19700,34192,315200
000068,23,35,21732,2176,19556,34816,312896
000070,23,36,21717,3026,18691,48416,299056
000072,23,35,21673,3834,17839,61344,285424
000074,23,34,21763,2510,19253,40160,308048
000076,23,34,21420,3130,18290,50080,292640
000078,23,36,22730,3709,19021,59344,304336
000080,23,36,22563,3824,18739,61184,299824
