scenario_id,timestamp,planned_areas,unique_group_inference_calls,leader_local_pred_boxes,leader_local_gt_boxes,rsu_fused_pred_boxes,rsu_fused_gt_boxes
2026_07_15_02_33_21,000060,30,23,38,35,35,35
2026_07_15_02_33_21,000062,30,23,38,35,36,35
2026_07_15_02_33_21,000064,30,22,36,37,36,37
2026_07_15_02_33_21,000066,30,22,36,37,36,37
2026_07_15_02_33_21,000068,30,22,36,38,35,38
2026_07_15_02_33_21,000070,30,21,36,37,36,37
2026_07_15_02_33_21,000072,30,23,36,37,34,37
2026_07_15_02_33_21,000074,30,22,36,38,34,38
2026_07_15_02_33_21,000076,30,23,33,38,32,38
2026_07_15_02_33_21,000078,30,22,36,38,34,38
2026_07_15_02_33_21,000080,30,22,37,38,36,38
