timestamp,area_id,area_center_x,area_center_y,priority,group_members,group_size,leader_id,group_confidence,member_uploads,leader_uploads
000060,12_9,-15.000,17.000,4.300000,5;20,2,5,0.993232,1,1
000060,13_2,-5.000,-25.000,4.300000,11;2,2,11,0.982015,1,1
000060,13_0,-5.000,-37.000,3.200000,2,1,2,0.956185,0,1
000060,11_7,-25.000,5.000,3.200000,9;10,2,9,0.982406,1,1
000060,13_3,-5.000,-19.000,3.200000,11,1,11,0.854979,0,1
000060,14_11,5.000,29.000,3.200000,7;16,2,7,0.872718,1,1
000060,14_1,5.000,-31.000,3.100000,1,1,1,0.937491,0,1
000060,15_4,15.000,-13.000,3.100000,8,1,8,0.924505,0,1
000060,12_4,-15.000,-13.000,3.100000,10,1,10,0.853059,0,1
000060,14_3,5.000,-19.000,3.100000,1;8,2,1,0.943908,1,1
000060,17_5,35.000,-7.000,3.100000,12;4,2,12,0.698251,1,1
000060,18_7,45.000,5.000,3.100000,12,1,12,0.133370,0,1
000060,15_3,15.000,-19.000,3.000000,8;1,2,8,0.962842,1,1
000060,17_7,35.000,5.000,2.200000,12,1,12,0.814292,0,1
000060,16_7,25.000,5.000,2.100000,12,1,12,0.985045,0,1
000060,14_9,5.000,17.000,2.100000,7,1,7,0.952979,0,1
000060,12_10,-15.000,23.000,2.100000,16;20,2,16,0.993124,1,1
000060,14_10,5.000,23.000,2.100000,7,1,7,0.925101,0,1
000060,12_5,-15.000,-7.000,2.100000,10,1,10,0.918068,0,1
000060,15_6,15.000,-1.000,2.100000,4,1,4,0.901514,0,1
000060,11_5,-25.000,-7.000,2.100000,10;9,2,10,0.978816,1,1
000060,13_9,-5.000,17.000,2.100000,20;7,2,20,0.976751,1,1
000060,16_8,25.000,11.000,2.100000,12;4,2,4,0.975639,1,1
000062,12_9,-15.000,17.000,4.300000,5;20,2,5,0.993232,1,1
000062,13_2,-5.000,-25.000,4.300000,11;2,2,11,0.982724,1,1
000062,13_0,-5.000,-37.000,3.200000,2,1,2,0.958680,0,1
000062,14_1,5.000,-31.000,3.200000,1,1,1,0.937491,0,1
000062,11_7,-25.000,5.000,3.200000,9;10,2,9,0.982762,1,1
000062,13_3,-5.000,-19.000,3.200000,11,1,11,0.854979,0,1
000062,14_11,5.000,29.000,3.200000,7;20,2,7,0.871409,1,1
000062,14_3,5.000,-19.000,3.200000,1;8,2,8,0.943908,1,1
000062,18_7,45.000,5.000,3.200000,12;4,2,12,0.221179,1,1
000062,15_4,15.000,-13.000,3.100000,8,1,8,0.924505,0,1
000062,12_4,-15.000,-13.000,3.100000,10,1,10,0.848175,0,1
000062,17_5,35.000,-7.000,3.100000,12;4,2,4,0.730052,1,1
000062,15_3,15.000,-19.000,3.000000,8;1,2,1,0.962842,1,1
000062,16_7,25.000,5.000,2.100000,12,1,12,0.984728,0,1
000062,14_9,5.000,17.000,2.100000,7,1,7,0.952888,0,1
000062,12_10,-15.000,23.000,2.100000,16;20,2,16,0.992401,1,1
000062,14_10,5.000,23.000,2.100000,7,1,7,0.923954,0,1
000062,12_5,-15.000,-7.000,2.100000,10,1,10,0.915200,0,1
000062,15_6,15.000,-1.000,2.100000,4,1,4,0.903990,0,1
000062,11_5,-25.000,-7.000,2.100000,10;9,2,10,0.979025,1,1
000062,13_9,-5.000,17.000,2.100000,20;7,2,20,0.976586,1,1
000062,16_8,25.000,11.000,2.100000,12;4,2,12,0.974962,1,1
000062,15_2,15.000,-25.000,2.100000,1;8,2,1,0.970775,1,1
000064,12_9,-15.000,17.000,4.300000,5;20,2,5,0.993232,1,1
000064,13_2,-5.000,-25.000,4.300000,11;2,2,11,0.983002,1,1
000064,13_0,-5.000,-37.000,3.200000,2,1,2,0.961149,0,1
000064,14_1,5.000,-31.000,3.200000,1,1,1,0.937491,0,1
000064,11_7,-25.000,5.000,3.200000,9;10,2,9,0.983101,1,1
000064,13_3,-5.000,-19.000,3.200000,11,1,11,0.854979,0,1
000064,12_4,-15.000,-13.000,3.200000,10,1,10,0.843568,0,1
000064,14_11,5.000,29.000,3.200000,7;20,2,7,0.871685,1,1
000064,15_4,15.000,-13.000,3.100000,8,1,8,0.924505,0,1
000064,14_3,5.000,-19.000,3.100000,1;8,2,1,0.943908,1,1
000064,17_5,35.000,-7.000,3.100000,12;4,2,12,0.754498,1,1
000064,18_7,45.000,5.000,3.100000,12;4,2,4,0.236480,1,1
000064,15_3,15.000,-19.000,3.000000,8;1,2,8,0.962842,1,1
000064,16_7,25.000,5.000,2.100000,12,1,12,0.982989,0,1
000064,14_9,5.000,17.000,2.100000,7,1,7,0.952645,0,1
000064,14_10,5.000,23.000,2.100000,7,1,7,0.922401,0,1
000064,12_11,-15.000,29.000,2.100000,16,1,16,0.914691,0,1
000064,12_5,-15.000,-7.000,2.100000,10,1,10,0.912312,0,1
000064,15_6,15.000,-1.000,2.100000,4,1,4,0.906174,0,1
000064,11_5,-25.000,-7.000,2.100000,10;9,2,10,0.979166,1,1
000064,16_8,25.000,11.000,2.100000,12;4,2,12,0.974245,1,1
000064,15_2,15.000,-25.000,2.100000,1;8,2,1,0.970775,1,1
000064,11_8,-25.000,11.000,2.100000,9;19,2,19,0.956930,1,1
000066,12_9,-15.000,17.000,4.300000,5;20,2,5,0.993232,1,1
000066,13_2,-5.000,-25.000,4.300000,11;2,2,11,0.983314,1,1
000066,13_0,-5.000,-37.000,3.200000,2,1,2,0.963340,0,1
000066,14_1,5.000,-31.000,3.200000,1,1,1,0.937491,0,1
000066,15_4,15.000,-13.000,3.200000,8,1,8,0.924505,0,1
000066,11_7,-25.000,5.000,3.200000,9;10,2,9,0.983428,1,1
000066,13_3,-5.000,-19.000,3.200000,11,1,11,0.854979,0,1
000066,12_4,-15.000,-13.000,3.200000,10,1,10,0.839165,0,1
000066,14_11,5.000,29.000,3.200000,7;16,2,7,0.870033,1,1
000066,14_3,5.000,-19.000,3.100000,1;8,2,1,0.943908,1,1
000066,17_5,35.000,-7.000,3.100000,12;4,2,12,0.752944,1,1
000066,18_7,45.000,5.000,3.100000,12;4,2,4,0.255875,1,1
000066,15_3,15.000,-19.000,3.000000,8;1,2,8,0.962842,1,1
000066,16_7,25.000,5.000,2.100000,12,1,12,0.979800,0,1
000066,14_9,5.000,17.000,2.100000,7,1,7,0.952164,0,1
000066,14_10,5.000,23.000,2.100000,7,1,7,0.920432,0,1
000066,12_11,-15.000,29.000,2.100000,16,1,16,0.918601,0,1
000066,12_5,-15.000,-7.000,2.100000,10,1,10,0.909398,0,1
000066,15_6,15.000,-1.000,2.100000,4,1,4,0.908097,0,1
000066,11_5,-25.000,-7.000,2.100000,10;9,2,10,0.979248,1,1
000066,13_9,-5.000,17.000,2.100000,20;7,2,20,0.976108,1,1
000066,16_8,25.000,11.000,2.100000,12;4,2,12,0.973483,1,1
000066,15_2,15.000,-25.000,2.100000,1;8,2,1,0.970775,1,1
000068,12_9,-15.000,17.000,4.300000,5;20,2,5,0.993232,1,1
000068,13_2,-5.000,-25.000,4.300000,11;2,2,11,0.983658,1,1
000068,13_0,-5.000,-37.000,3.200000,2,1,2,0.964914,0,1
000068,14_1,5.000,-31.000,3.200000,1,1,1,0.937491,0,1
000068,11_7,-25.000,5.000,3.200000,9;10,2,9,0.983747,1,1
000068,13_3,-5.000,-19.000,3.200000,11,1,11,0.854979,0,1
000068,14_11,5.000,29.000,3.200000,7;16,2,7,0.872330,1,1
000068,18_7,45.000,5.000,3.200000,12;4,2,12,0.227782,1,1
000068,15_4,15.000,-13.000,3.100000,8,1,8,0.924505,0,1
000068,12_4,-15.000,-13.000,3.100000,10,1,10,0.834918,0,1
000068,14_3,5.000,-19.000,3.100000,1;8,2,1,0.943908,1,1
000068,17_5,35.000,-7.000,3.100000,12;4,2,4,0.806034,1,1
000068,15_3,15.000,-19.000,3.000000,8;1,2,8,0.962842,1,1
000068,16_7,25.000,5.000,2.100000,12,1,12,0.975384,0,1
000068,14_9,5.000,17.000,2.100000,7,1,7,0.951349,0,1
000068,12_11,-15.000,29.000,2.100000,16,1,16,0.921921,0,1
000068,14_10,5.000,23.000,2.100000,7,1,7,0.918024,0,1
000068,15_6,15.000,-1.000,2.100000,4,1,4,0.909782,0,1
000068,12_5,-15.000,-7.000,2.100000,10,1,10,0.906464,0,1
000068,11_5,-25.000,-7.000,2.100000,10;9,2,10,0.979275,1,1
000068,13_9,-5.000,17.000,2.100000,20;7,2,20,0.975800,1,1
