timestamp,area_count,covered_area_count,avg_group_size,avg_group_confidence,local_upload_packets,leader_upload_packets,control_assignment_bytes,local_upload_bytes,leader_upload_bytes,broadcast_bytes,total_byte_proxy,leader_count,leader_max_load,leader_loads
000060,23,23,1.478261,0.892013,11,23,1472,110000,46000,2000,159472,12,5,1:3;10:4;11:3;12:5;16:2;2:1;20:2;4:3;5:2;7:4;8:3;9:2
000062,23,23,1.565217,0.903759,13,23,1472,130000,46000,2000,179472,12,5,1:5;10:4;11:3;12:5;16:2;2:1;20:2;4:3;5:2;7:4;8:3;9:2
000064,23,23,1.521739,0.900990,12,23,1472,120000,46000,2000,169472,12,5,1:5;10:4;11:3;12:5;16:1;19:2;2:1;20:0;4:3;5:2;7:4;8:3;9:2
000066,23,23,1.521739,0.902311,12,23,1472,120000,46000,2000,169472,12,5,1:5;10:4;11:3;12:5;16:1;2:1;20:2;4:3;5:2;7:4;8:3;9:2
000068,23,23,1.521739,0.903121,12,23,1472,120000,46000,2000,169472,12,5,1:5;10:4;11:3;12:5;16:1;2:1;20:2;4:3;5:2;7:4;8:3;9:2
000070,23,23,1.565217,0.906894,13,23,1472,130000,46000,2000,179472,12,5,1:5;10:4;11:3;12:5;16:2;2:1;20:4;4:3;5:2;7:2;8:3;9:2
000072,23,23,1.521739,0.932142,12,23,1472,120000,46000,2000,169472,13,5,1:5;10:4;11:3;12:4;16:2;19:2;2:1;20:2;4:3;5:2;7:2;8:3;9:2
000074,23,23,1.478261,0.930654,11,23,1472,110000,46000,2000,159472,12,5,1:5;10:4;11:3;12:4;16:2;2:1;20:2;4:3;5:2;7:3;8:3;9:2
000076,23,23,1.478261,0.927519,11,23,1472,110000,46000,2000,159472,12,5,1:5;10:3;11:4;12:4;16:2;19:2;2:1;20:0;4:3;5:2;7:3;8:3;9:2
000078,23,23,1.565217,0.935665,13,23,1472,130000,46000,2000,179472,12,5,1:3;10:3;11:3;12:5;16:2;2:3;20:2;4:3;5:2;7:3;8:3;9:4
000080,23,23,1.565217,0.936406,13,23,1472,130000,46000,2000,179472,11,5,1:5;10:3;11:3;12:5;16:2;2:3;20:0;4:3;5:2;7:3;8:3;9:4
