line_no,channel,status,tx_rnti,dst_l2_id,harq_id,tb_size,tbler,sinr_avg,sinr_min,reason,frame,subframe,slot
419,PSSCH,OK,14,9,0,400,0,-nan,100000000000.0,,,,
421,PSSCH,OK,21,12,0,400,0,-nan,100000000000.0,,,,
586,PSSCH,OK,13,,,,,,,,,,
589,PSSCH,OK,12,1,0,400,0,-nan,100000000000.0,,,,
591,PSSCH,OK,17,1,0,400,0,-nan,100000000000.0,,,,
593,PSSCH,OK,4,1,0,400,0,-nan,100000000000.0,,,,
595,PSSCH,OK,3,1,1,400,0,-nan,100000000000.0,,,,
758,PSSCH,OK,12,1,1,400,0,-nan,100000000000.0,,,,
760,PSSCH,OK,17,1,1,400,0,-nan,100000000000.0,,,,
762,PSSCH,OK,4,1,1,400,0,-nan,100000000000.0,,,,
925,PSSCH,OK,13,,,,,,,,,,
928,PSSCH,OK,9,1,2,400,0,-nan,100000000000.0,,,,
930,PSSCH,OK,4,1,2,400,0,-nan,100000000000.0,,,,
932,PSSCH,OK,3,1,3,400,0,-nan,100000000000.0,,,,
1094,PSSCH,OK,12,1,3,400,0,-nan,100000000000.0,,,,
1096,PSSCH,OK,4,1,3,400,0,-nan,100000000000.0,,,,
1252,PSSCH,OK,13,,,,,,,,,,
1255,PSSCH,OK,12,1,4,400,0,-nan,100000000000.0,,,,
1257,PSSCH,OK,9,1,4,400,0,-nan,100000000000.0,,,,
1259,PSSCH,OK,3,1,5,400,0,-nan,100000000000.0,,,,
1261,PSSCH,OK,20,2,5,400,0,-nan,100000000000.0,,,,
1398,PSSCH,OK,17,1,5,83,0.0001,-nan,100000000000.0,,,,
1400,PSSCH,OK,9,1,5,83,0.0001,-nan,100000000000.0,,,,
1402,PSSCH,OK,20,2,6,400,0,-nan,100000000000.0,,,,
1404,PSSCH,OK,5,16,6,400,0,-nan,100000000000.0,,,,
1506,PSSCH,OK,3,1,7,400,0,-nan,100000000000.0,,,,
1508,PSSCH,OK,20,2,7,275,0,-nan,100000000000.0,,,,
1510,PSSCH,OK,5,16,7,400,0,-nan,100000000000.0,,,,
1601,PSSCH,OK,14,9,8,400,0,-nan,100000000000.0,,,,
1603,PSSCH,OK,5,16,8,400,0,-nan,100000000000.0,,,,
1688,PSSCH,OK,3,1,9,400,0,-nan,100000000000.0,,,,
1690,PSSCH,OK,21,12,9,400,0,-nan,100000000000.0,,,,
1692,PSSCH,OK,5,16,9,400,0,-nan,100000000000.0,,,,
1781,PSSCH,OK,14,9,10,400,0,-nan,100000000000.0,,,,
1783,PSSCH,OK,5,16,10,400,0,-nan,100000000000.0,,,,
1871,PSSCH,OK,3,1,11,400,0,-nan,100000000000.0,,,,
1873,PSSCH,OK,5,16,11,400,0,-nan,100000000000.0,,,,
1966,PSSCH,OK,3,1,12,400,0,-nan,100000000000.0,,,,
1968,PSSCH,OK,21,12,12,400,0,-nan,100000000000.0,,,,
1970,PSSCH,OK,5,16,12,400,0,-nan,100000000000.0,,,,
2059,PSSCH,OK,3,1,13,400,0,-nan,100000000000.0,,,,
2061,PSSCH,OK,5,16,13,400,0,-nan,100000000000.0,,,,
2063,PSSCH,OK,14,17,13,400,0,-nan,100000000000.0,,,,
2152,PSSCH,OK,3,1,14,400,0,-nan,100000000000.0,,,,
2154,PSSCH,OK,5,16,14,400,0,-nan,100000000000.0,,,,
2244,PSSCH,OK,3,1,15,400,0,-nan,100000000000.0,,,,
2246,PSSCH,OK,21,12,15,400,0,-nan,100000000000.0,,,,
2248,PSSCH,OK,5,16,15,400,0,-nan,100000000000.0,,,,
2250,PSSCH,OK,14,17,15,400,0,-nan,100000000000.0,,,,
2337,PSSCH,OK,3,1,0,400,0,-nan,100000000000.0,,,,
2339,PSSCH,OK,5,16,0,400,0,-nan,100000000000.0,,,,
2432,PSSCH,OK,3,1,1,400,0,-nan,100000000000.0,,,,
2434,PSSCH,OK,5,16,1,400,0,-nan,100000000000.0,,,,
2436,PSSCH,OK,14,17,1,400,0,-nan,100000000000.0,,,,
2525,PSSCH,OK,3,1,2,400,0,-nan,100000000000.0,,,,
2527,PSSCH,OK,14,9,2,400,0,-nan,100000000000.0,,,,
2529,PSSCH,OK,21,12,2,400,0,-nan,100000000000.0,,,,
2531,PSSCH,OK,5,16,2,400,0,-nan,100000000000.0,,,,
2674,PSSCH,OK,3,1,3,400,0,-nan,100000000000.0,,,,
2676,PSSCH,OK,5,16,3,400,0,-nan,100000000000.0,,,,
2678,PSSCH,OK,14,17,3,400,0,-nan,100000000000.0,,,,
2785,PSSCH,OK,3,1,4,400,0,-nan,100000000000.0,,,,
2787,PSSCH,OK,14,9,4,400,0,-nan,100000000000.0,,,,
2789,PSSCH,OK,21,12,4,400,0,-nan,100000000000.0,,,,
2791,PSSCH,OK,5,16,4,400,0,-nan,100000000000.0,,,,
2935,PSSCH,OK,2,1,0,400,0,-nan,100000000000.0,,,,
