line_no,frame_index,event,rnti,lcid,source_node,target_node,request_id,sn,fi,size,harq_id,bwp_id,layer,vr_ur,vr_uh,timestamp,area_id,upload_type,plan_index,pkt_id,matched
176,1,TX,3,5,3,21,10,0,1,400,0,0,0,,,000062,13_9,member_to_leader,56,56,1
180,1,TX,5,5,5,16,3,0,1,400,0,0,0,,,000062,11_8,member_to_leader,49,49,1
187,1,TX,14,5,14,9,2,0,1,400,0,0,0,,,000062,12_10,member_to_leader,48,48,1
188,1,TX,14,5,14,17,1,0,1,400,1,0,0,,,000062,12_9,member_to_leader,47,47,1
192,1,TX,16,5,16,5,9,0,1,400,0,0,0,,,000062,16_5,member_to_leader,55,55,1
196,1,TX,19,5,19,14,8,0,1,400,0,0,0,,,000062,14_3,member_to_leader,54,54,1
211,2,TX,20,5,20[INFO],,21,,,,,,,,,000064,12_3,leader_to_rsu,113,113,1
231,2,TX,21,5,21,3,5,0,1,400,1,0,0,,,000064,16_8,member_to_leader,97,97,1
237,2,TX,21,5,21,12,4,0,1,400,0,0,0,,,000064,15_2,member_to_leader,96,96,1
266,2,TX,3,5,3,1,17,0,1,400,1,0,0,,,000064,11_5,leader_to_rsu,109,109,1
267,2,TX,3,5,3,21,10,1,3,400,2,0,0,,,000064,12_7,member_to_leader,102,102,1
271,2,TX,4,5,4,1,22,0,1,400,0,0,0,,,000064,12_4,leader_to_rsu,114,114,1
275,2,TX,5,5,5,16,3,1,3,400,1,0,0,,,000064,11_5,member_to_leader,95,95,1
279,2,TX,9,5,9,1,21,0,1,400,0,0,0,,,000064,12_3,leader_to_rsu,113,113,1
283,2,TX,12,5,12,1,20,0,1,400,0,0,0,,,000064,12_11,leader_to_rsu,112,112,1
287,2,TX,13,5,13,1,26,0,1,400,0,0,0,,,000064,13_0,leader_to_rsu,118,118,1
294,2,TX,14,5,14,9,2,1,3,400,2,0,0,,,000064,11_8,member_to_leader,94,94,1
298,2,TX,16,5,16,5,9,1,3,400,1,0,0,,,000064,13_2,member_to_leader,101,101,1
302,2,TX,17,5,17,1,25,0,1,400,0,0,0,,,000064,12_9,leader_to_rsu,117,117,1
306,2,TX,19,5,19,14,8,1,3,400,1,0,0,,,000064,15_8,member_to_leader,100,100,1
310,2,TX,20,5,20,2,6,1,3,400,1,0,0,,,000064,16_5,member_to_leader,98,98,1
320,2,TX,21,5,21,1,19,0,1,400,2,0,0,,,000064,11_8,leader_to_rsu,111,111,1
429,2,TX,3,5,3,1,17,1,3,400,3,0,0,,,000064,11_5,leader_to_rsu,109,109,1
433,2,TX,5,5,5,16,3,2,3,400,2,0,0,,,000064,11_5,member_to_leader,95,95,1
437,2,TX,14,5,14,17,1,1,3,400,3,0,0,,,000064,12_9,member_to_leader,93,93,1
443,2,TX,16,5,16,5,9,2,3,400,2,0,0,,,000064,13_2,member_to_leader,101,101,1
447,2,TX,19,5,19,14,8,2,3,400,2,0,0,,,000064,15_8,member_to_leader,100,100,1
451,2,TX,20,5,20,2,6,2,3,400,2,0,0,,,000064,16_5,member_to_leader,98,98,1
455,2,TX,21,5,21,12,4,1,3,400,3,0,0,,,000064,15_2,member_to_leader,96,96,1
459,2,TX,4,5,4,1,22,1,3,400,1,0,0,,,000064,12_4,leader_to_rsu,114,114,1
463,2,TX,9,5,9,1,21,1,3,400,1,0,0,,,000064,12_3,leader_to_rsu,113,113,1
467,2,TX,12,5,12,1,20,1,3,400,1,0,0,,,000064,12_11,leader_to_rsu,112,112,1
471,2,TX,13,5,13,1,26,1,3,400,1,0,0,,,000064,13_0,leader_to_rsu,118,118,1
475,2,TX,17,5,17,1,25,1,3,400,1,0,0,,,000064,12_9,leader_to_rsu,117,117,1
584,2,RX,9,5,14,9,2,0,1,400,,,,,,000064,11_8,member_to_leader,94,94,1
585,2,RX,12,5,21,12,4,0,1,400,,,,,,000064,15_2,member_to_leader,96,96,1
600,2,TX,3,5,3,21,10,2,3,400,4,0,0,,,000064,12_7,member_to_leader,102,102,1
604,2,TX,5,5,5,16,3,3,3,400,3,0,0,,,000064,11_5,member_to_leader,95,95,1
608,2,TX,14,5,14,9,2,2,3,400,4,0,0,,,000064,11_8,member_to_leader,94,94,1
612,2,TX,16,5,16,5,9,3,3,400,3,0,0,,,000064,13_2,member_to_leader,101,101,1
616,2,TX,19,5,19,14,8,3,3,400,3,0,0,,,000064,15_8,member_to_leader,100,100,1
620,2,TX,20,5,20,2,6,3,3,400,3,0,0,,,000064,16_5,member_to_leader,98,98,1
624,2,TX,21,5,21,3,5,1,3,400,4,0,0,,,000064,16_8,member_to_leader,97,97,1
628,2,TX,4,5,4,1,22,2,3,400,2,0,0,,,000064,12_4,leader_to_rsu,114,114,1
632,2,TX,9,5,9,1,21,2,3,400,2,0,0,,,000064,12_3,leader_to_rsu,113,113,1
636,2,TX,12,5,12,1,20,2,3,400,2,0,0,,,000064,12_11,leader_to_rsu,112,112,1
640,2,TX,13,5,13,1,26,2,3,400,2,0,0,,,000064,13_0,leader_to_rsu,118,118,1
644,2,TX,17,5,17,1,25,2,3,400,2,0,0,,,000064,12_9,leader_to_rsu,117,117,1
753,2,RX,1,5,13,1,26,0,1,400,,,,,,000064,13_0,leader_to_rsu,118,118,1
754,2,RX,1,5,12,1,20,0,1,400,,,,,,000064,12_11,leader_to_rsu,112,112,1
755,2,RX,1,5,17,1,25,0,1,400,,,,,,000064,12_9,leader_to_rsu,117,117,1
756,2,RX,1,5,4,1,22,0,1,400,,,,,,000064,12_4,leader_to_rsu,114,114,1
757,2,RX,1,5,3,1,17,0,1,400,,,,,,000064,11_5,leader_to_rsu,109,109,1
767,2,TX,3,5,3,1,17,2,3,400,5,0,0,,,000064,11_5,leader_to_rsu,109,109,1
771,2,TX,5,5,5,16,3,4,3,400,4,0,0,,,000064,11_5,member_to_leader,95,95,1
775,2,TX,14,5,14,17,1,2,3,400,5,0,0,,,000064,12_9,member_to_leader,93,93,1
779,2,TX,16,5,16,5,9,4,3,400,4,0,0,,,000064,13_2,member_to_leader,101,101,1
783,2,TX,19,5,19,14,8,4,3,400,4,0,0,,,000064,15_8,member_to_leader,100,100,1
789,2,TX,20,5,20,2,6,4,3,400,4,0,0,,,000064,16_5,member_to_leader,98,98,1
793,2,TX,21,5,21,1,19,1,3,400,5,0,0,,,000064,11_8,leader_to_rsu,111,111,1
797,2,TX,4,5,4,1,22,3,3,400,3,0,0,,,000064,12_4,leader_to_rsu,114,114,1
801,2,TX,9,5,9,1,21,3,3,400,3,0,0,,,000064,12_3,leader_to_rsu,113,113,1
805,2,TX,12,5,12,1,20,3,3,400,3,0,0,,,000064,12_11,leader_to_rsu,112,112,1
809,2,TX,13,5,13,1,26,3,3,400,3,0,0,,,000064,13_0,leader_to_rsu,118,118,1
813,2,TX,17,5,17,1,25,3,3,400,3,0,0,,,000064,12_9,leader_to_rsu,117,117,1
922,2,RX,1,5,12,1,20,1,3,400,,,,,,000064,12_11,leader_to_rsu,112,112,1
