line_no,request_id,source_node,target_node,bytes,send_timestamp_ms,receive_timestamp_ms,delay_ms,frame_index,is_last_packet,timestamp,area_id,upload_type,plan_index,pkt_id,matched,match_method
1965,17,10,21,2000,20.0,26.0,6.0,0,1,000060,11_4,leader_to_rsu,17,17,1,frame_request_id
2431,18,10,21,2000,20.0,29.0,9.0,0,1,000060,11_5,leader_to_rsu,18,18,1,frame_request_id
3093,23,10,21,2000,20.0,31.0,11.0,0,1,000060,12_4,leader_to_rsu,23,23,1,frame_request_id
4562,32,7,21,2000,30.0,37.0,7.0,0,1,000060,14_11,leader_to_rsu,32,32,1,frame_request_id
5213,36,8,21,2000,30.0,41.0,11.0,0,1,000060,15_3,leader_to_rsu,36,36,1,frame_request_id
5609,24,10,21,2000,20.0,43.0,23.0,0,1,000060,12_5,leader_to_rsu,24,24,1,frame_request_id
5689,40,12,21,2000,40.0,44.0,4.0,0,1,000060,16_4,leader_to_rsu,40,40,1,frame_request_id
6121,42,12,21,2000,40.0,46.0,6.0,0,1,000060,16_7,leader_to_rsu,42,42,1,frame_request_id
6619,44,12,21,2000,40.0,49.0,9.0,0,1,000060,17_5,leader_to_rsu,44,44,1,frame_request_id
6964,45,12,21,2000,40.0,52.0,12.0,0,1,000060,17_7,leader_to_rsu,45,45,1,frame_request_id
7400,46,12,21,2000,40.0,64.0,24.0,0,1,000060,18_7,leader_to_rsu,46,46,1,frame_request_id
13421,65,9,21,2000,120.0,134.0,14.0,1,1,000062,11_7,leader_to_rsu,65,65,1,frame_request_id
13422,71,5,21,2000,120.0,134.0,14.0,1,1,000062,12_9,leader_to_rsu,71,71,1,frame_request_id
14035,76,1,21,2000,130.0,137.0,7.0,1,1,000062,14_1,leader_to_rsu,76,76,1,frame_request_id
14036,81,1,21,2000,130.0,137.0,7.0,1,1,000062,15_2,leader_to_rsu,81,81,1,frame_request_id
14884,88,12,21,2000,140.0,144.0,4.0,1,1,000062,16_7,leader_to_rsu,88,88,1,frame_request_id
15182,89,12,21,2000,140.0,146.0,6.0,1,1,000062,16_8,leader_to_rsu,89,89,1,frame_request_id
15519,82,1,21,2000,130.0,149.0,19.0,1,1,000062,15_3,leader_to_rsu,82,82,1,frame_request_id
15520,91,12,21,2000,140.0,149.0,9.0,1,1,000062,17_7,leader_to_rsu,91,91,1,frame_request_id
15850,92,12,21,2000,140.0,161.0,21.0,1,1,000062,18_7,leader_to_rsu,92,92,1,frame_request_id
17192,53,8,1,2992,100.0,205.0,105.0,1,1,000062,15_2,member_to_leader,53,53,1,frame_request_id
19437,72,2,21,2000,120.0,222.0,102.0,1,1,000062,13_0,leader_to_rsu,72,72,1,frame_request_id
20497,77,7,21,2000,130.0,231.0,101.0,1,1,000062,14_10,leader_to_rsu,77,77,1,frame_request_id
20498,78,7,21,2000,130.0,231.0,101.0,1,1,000062,14_11,leader_to_rsu,78,78,1,frame_request_id
20499,80,7,21,2000,130.0,231.0,101.0,1,1,000062,14_9,leader_to_rsu,80,80,1,frame_request_id
20500,86,7,21,2000,140.0,231.0,91.0,1,1,000062,15_9,leader_to_rsu,86,86,1,frame_request_id
21109,110,9,21,2000,220.0,234.0,14.0,2,1,000064,11_7,leader_to_rsu,110,110,1,frame_request_id
21110,122,7,21,2000,230.0,234.0,4.0,2,1,000064,14_10,leader_to_rsu,122,122,1,frame_request_id
21346,93,20,5,13184,200.0,235.0,35.0,2,1,000064,12_9,member_to_leader,93,93,1,frame_request_id
21477,123,7,21,2000,230.0,236.0,6.0,2,1,000064,14_11,leader_to_rsu,123,123,1,frame_request_id
21961,125,7,21,2000,230.0,241.0,11.0,2,1,000064,14_9,leader_to_rsu,125,125,1,frame_request_id
22150,41,4,21,2000,40.0,242.0,202.0,0,1,000060,16_5,leader_to_rsu,41,41,1,frame_request_id
22151,43,4,21,2000,40.0,242.0,202.0,0,1,000060,16_8,leader_to_rsu,43,43,1,frame_request_id
22263,83,8,21,2000,140.0,243.0,103.0,1,1,000062,15_4,leader_to_rsu,83,83,1,frame_request_id
22264,127,8,21,2000,230.0,243.0,13.0,2,1,000064,15_3,leader_to_rsu,127,127,1,frame_request_id
