timestamp,input_requests,scheduled_requests,capacity_gated_requests,scheduled_member_requests,scheduled_leader_requests,member_slots,leader_slots,other_slots,total_slots,input_bytes,scheduled_bytes,capacity_gated_bytes,frame_latency_ms
000060,46,46,0,16,30,2,3,0,5,125888,125888,0,50.000000
000062,46,46,0,16,30,2,3,0,5,121456,121456,0,50.000000
000064,45,45,0,15,30,2,3,0,5,105056,105056,0,50.000000
000066,45,45,0,15,30,2,3,0,5,105568,105568,0,50.000000
000068,45,45,0,15,30,2,3,0,5,105536,105536,0,50.000000
000070,45,45,0,15,30,2,3,0,5,117280,117280,0,50.000000
000072,46,46,0,16,30,2,3,0,5,127648,127648,0,50.000000
000074,45,45,0,15,30,2,3,0,5,112512,112512,0,50.000000
000076,46,46,0,16,30,2,3,0,5,126672,126672,0,50.000000
000078,47,47,0,17,30,2,3,0,5,132272,132272,0,50.000000
000080,48,48,0,18,30,2,3,0,5,133680,133680,0,50.000000
