line_no,request_id,source_node,target_node,bytes,send_timestamp_ms,receive_timestamp_ms,delay_ms,frame_index,is_last_packet,timestamp,area_id,upload_type,plan_index,pkt_id,matched,match_method
3196,25,1,21,2000,20.0,31.0,11.0,0,1,000060,14_1,leader_to_rsu,25,25,1,frame_request_id
4874,31,8,21,2000,30.0,41.0,11.0,0,1,000060,15_3,leader_to_rsu,31,31,1,frame_request_id
4875,30,1,21,2000,30.0,41.0,11.0,0,1,000060,14_3,leader_to_rsu,30,30,1,frame_request_id
4876,32,4,21,2000,30.0,41.0,11.0,0,1,000060,15_6,leader_to_rsu,32,32,1,frame_request_id
4877,33,12,21,2000,30.0,41.0,11.0,0,1,000060,16_4,leader_to_rsu,33,33,1,frame_request_id
5707,39,4,21,2000,40.0,51.0,11.0,0,1,000060,15_8,leader_to_rsu,39,39,1,frame_request_id
5708,40,12,21,2000,40.0,51.0,11.0,0,1,000060,16_7,leader_to_rsu,40,40,1,frame_request_id
6080,38,8,21,2000,40.0,54.0,14.0,0,1,000060,15_4,leader_to_rsu,38,38,1,frame_request_id
6081,37,1,21,2000,40.0,54.0,14.0,0,1,000060,15_2,leader_to_rsu,37,37,1,frame_request_id
6221,42,4,21,2000,50.0,61.0,11.0,0,1,000060,16_5,leader_to_rsu,42,42,1,frame_request_id
6222,43,12,21,2000,50.0,61.0,11.0,0,1,000060,17_5,leader_to_rsu,43,43,1,frame_request_id
6527,45,12,21,2000,60.0,71.0,11.0,1,1,000062,17_5,leader_to_rsu,91,91,1,frame_request_id
6701,46,12,21,2000,70.0,84.0,14.0,1,1,000062,18_7,leader_to_rsu,92,92,1,frame_request_id
10210,55,2,11,1920,100.0,125.0,25.0,1,1,000062,13_2,member_to_leader,55,55,1,frame_request_id
12249,34,10,21,2000,40.0,141.0,101.0,0,1,000060,12_4,leader_to_rsu,34,34,1,frame_request_id
12250,71,1,21,2000,130.0,141.0,11.0,1,1,000062,14_1,leader_to_rsu,71,71,1,frame_request_id
12905,70,20,21,2000,130.0,147.0,17.0,1,1,000062,13_9,leader_to_rsu,70,70,1,frame_request_id
13293,77,1,21,2000,140.0,151.0,11.0,1,1,000062,15_2,leader_to_rsu,77,77,1,frame_request_id
17495,100,2,11,2048,200.0,214.0,14.0,2,1,000064,13_2,member_to_leader,100,100,1,frame_request_id
17813,94,9,19,6320,200.0,219.0,19.0,2,1,000064,11_8,member_to_leader,94,94,1,frame_request_id
19038,47,20,5,13184,100.0,227.0,127.0,1,1,000062,12_9,member_to_leader,47,47,1,frame_request_id
19072,93,20,5,13184,200.0,229.0,29.0,2,1,000064,12_9,member_to_leader,93,93,1,frame_request_id
19720,72,7,21,2000,130.0,232.0,102.0,1,1,000062,14_10,leader_to_rsu,72,72,1,frame_request_id
19721,75,7,21,2000,140.0,232.0,92.0,1,1,000062,14_11,leader_to_rsu,75,75,1,frame_request_id
19722,82,7,21,2000,150.0,232.0,82.0,2,1,000064,14_10,leader_to_rsu,117,117,1,frame_endpoint_bytes
20420,73,10,21,2000,140.0,241.0,101.0,1,1,000062,11_5,leader_to_rsu,73,73,1,frame_request_id
20421,80,10,21,2000,150.0,241.0,91.0,2,1,000064,11_4,leader_to_rsu,108,108,1,frame_endpoint_bytes
20601,86,12,21,2000,150.0,242.0,92.0,2,1,000064,16_7,leader_to_rsu,124,124,1,frame_endpoint_bytes
20602,90,12,21,2000,160.0,242.0,82.0,2,1,000064,16_8,leader_to_rsu,131,131,1,frame_endpoint_bytes
20603,92,12,21,2000,170.0,242.0,72.0,2,1,000064,17_5,leader_to_rsu,135,135,1,frame_endpoint_bytes
20604,124,12,21,2000,230.0,242.0,12.0,2,1,000064,16_7,leader_to_rsu,124,124,1,frame_request_id
20605,84,8,21,2000,150.0,242.0,92.0,2,1,000064,15_3,leader_to_rsu,122,122,1,frame_endpoint_bytes
20606,85,4,21,2000,150.0,242.0,92.0,2,1,000064,15_6,leader_to_rsu,123,123,1,frame_endpoint_bytes
20607,89,4,21,2000,160.0,242.0,82.0,2,1,000064,15_8,leader_to_rsu,130,130,1,frame_endpoint_bytes
20608,91,4,21,2000,170.0,242.0,72.0,2,1,000064,16_5,leader_to_rsu,134,134,1,frame_endpoint_bytes
21280,131,12,21,2000,240.0,251.0,11.0,2,1,000064,16_8,leader_to_rsu,131,131,1,frame_request_id
21841,135,12,21,2000,250.0,261.0,11.0,2,1,000064,17_5,leader_to_rsu,135,135,1,frame_request_id
22151,136,12,21,2000,260.0,274.0,14.0,3,1,,,unmatched,,,0,
22160,116,1,21,2000,220.0,321.0,101.0,2,1,000064,14_1,leader_to_rsu,116,116,1,frame_request_id
22161,121,1,21,2000,230.0,321.0,91.0,2,1,000064,14_3,leader_to_rsu,121,121,1,frame_request_id
22166,115,2,21,2000,220.0,331.0,111.0,2,1,000064,13_0,leader_to_rsu,115,115,1,frame_request_id
22175,74,11,21,2000,140.0,332.0,192.0,1,1,000062,13_2,leader_to_rsu,74,74,1,frame_request_id
22176,119,11,21,2000,230.0,332.0,102.0,2,1,000064,13_2,leader_to_rsu,119,119,1,frame_request_id
22185,120,7,21,2000,230.0,332.0,102.0,2,1,000064,14_11,leader_to_rsu,120,120,1,frame_request_id
22186,127,7,21,2000,240.0,332.0,92.0,2,1,000064,14_9,leader_to_rsu,127,127,1,frame_request_id
22199,108,10,21,2000,220.0,341.0,121.0,2,1,000064,11_4,leader_to_rsu,108,108,1,frame_request_id
22200,118,10,21,2000,230.0,341.0,111.0,2,1,000064,11_5,leader_to_rsu,118,118,1,frame_request_id
22201,125,10,21,2000,240.0,341.0,101.0,2,1,000064,12_4,leader_to_rsu,125,125,1,frame_request_id
22218,129,8,21,2000,240.0,342.0,102.0,2,1,000064,15_4,leader_to_rsu,129,129,1,frame_request_id
22219,130,4,21,2000,240.0,342.0,102.0,2,1,000064,15_8,leader_to_rsu,130,130,1,frame_request_id
22220,134,4,21,2000,250.0,342.0,92.0,2,1,000064,16_5,leader_to_rsu,134,134,1,frame_request_id
22221,137,4,21,2000,260.0,342.0,82.0,3,1,,,unmatched,,,0,
