line_no,channel,status,tx_rnti,dst_l2_id,harq_id,tb_size,tbler,sinr_avg,sinr_min,reason,frame,subframe,slot
454,PSSCH,OK,13,,,,,,,,,,
457,PSSCH,OK,14,17,0,400,0,-nan,100000000000.0,,,,
640,PSSCH,OK,21,1,1,400,0,-nan,100000000000.0,,,,
642,PSSCH,OK,14,1,1,400,0,-nan,100000000000.0,,,,
644,PSSCH,OK,13,,,,,,,,,,
647,PSSCH,OK,9,1,1,400,0,-nan,100000000000.0,,,,
649,PSSCH,OK,3,1,1,400,0,-nan,100000000000.0,,,,
809,PSSCH,OK,2,1,2,400,0,-nan,100000000000.0,,,,
970,PSSCH,OK,13,,,,,,,,,,
973,PSSCH,OK,3,1,3,400,0,-nan,100000000000.0,,,,
975,PSSCH,OK,2,1,3,400,0,-nan,100000000000.0,,,,
1136,PSSCH,OK,21,1,4,400,0,-nan,100000000000.0,,,,
1138,PSSCH,OK,19,1,4,400,0,-nan,100000000000.0,,,,
1140,PSSCH,OK,9,1,4,400,0,-nan,100000000000.0,,,,
1297,PSSCH,OK,13,,,,,,,,,,
1300,PSSCH,OK,9,1,5,400,0,-nan,100000000000.0,,,,
1302,PSSCH,OK,3,1,5,400,0,-nan,100000000000.0,,,,
1304,PSSCH,OK,2,1,5,400,0,-nan,100000000000.0,,,,
1456,PSSCH,OK,17,1,5,83,0.0001,-nan,100000000000.0,,,,
1458,PSSCH,OK,4,1,5,83,0.0001,-nan,100000000000.0,,,,
1460,PSSCH,OK,21,1,6,400,0,-nan,100000000000.0,,,,
1462,PSSCH,OK,19,1,6,400,0,-nan,100000000000.0,,,,
1464,PSSCH,OK,9,1,6,400,0,-nan,100000000000.0,,,,
1466,PSSCH,OK,5,16,6,400,0,-nan,100000000000.0,,,,
1604,PSSCH,OK,13,,,,,,,,,,
1607,PSSCH,OK,9,1,7,400,0,-nan,100000000000.0,,,,
1609,PSSCH,OK,3,1,7,400,0,-nan,100000000000.0,,,,
1611,PSSCH,OK,2,1,7,400,0,-nan,100000000000.0,,,,
1613,PSSCH,OK,5,16,7,400,0,-nan,100000000000.0,,,,
1752,PSSCH,OK,19,1,8,400,0,-nan,100000000000.0,,,,
1754,PSSCH,OK,9,1,8,83,0.0001,-nan,100000000000.0,,,,
1756,PSSCH,OK,13,,,,,,,,,,
1759,PSSCH,OK,5,16,8,400,0,-nan,100000000000.0,,,,
1761,PSSCH,OK,2,20,8,3,0,-nan,100000000000.0,,,,
1883,PSSCH,OK,13,,,,,,,,,,
1886,PSSCH,OK,3,1,9,400,0,-nan,100000000000.0,,,,
1888,PSSCH,OK,2,1,9,400,0,-nan,100000000000.0,,,,
1890,PSSCH,OK,21,12,9,400,0,-nan,100000000000.0,,,,
1892,PSSCH,OK,5,16,9,400,0,-nan,100000000000.0,,,,
2010,PSSCH,OK,19,1,10,400,0,-nan,100000000000.0,,,,
2012,PSSCH,OK,14,1,10,400,0,-nan,100000000000.0,,,,
2014,PSSCH,OK,2,1,10,83,0.0001,-nan,100000000000.0,,,,
2016,PSSCH,OK,5,16,10,400,0,-nan,100000000000.0,,,,
2108,PSSCH,OK,3,1,11,83,0.0001,-nan,100000000000.0,,,,
2110,PSSCH,OK,21,12,11,400,0,-nan,100000000000.0,,,,
2112,PSSCH,OK,5,16,11,400,0,-nan,100000000000.0,,,,
2197,PSSCH,OK,19,1,12,83,0.0001,-nan,100000000000.0,,,,
2199,PSSCH,OK,14,1,12,83,0.0001,-nan,100000000000.0,,,,
2201,PSSCH,OK,5,16,12,400,0,-nan,100000000000.0,,,,
2272,PSSCH,OK,21,12,13,400,0,-nan,100000000000.0,,,,
2274,PSSCH,OK,5,16,13,400,0,-nan,100000000000.0,,,,
2276,PSSCH,OK,14,17,13,400,0,-nan,100000000000.0,,,,
2347,PSSCH,OK,21,12,14,400,0,-nan,100000000000.0,,,,
2349,PSSCH,OK,5,16,14,400,0,-nan,100000000000.0,,,,
2351,PSSCH,OK,14,17,14,400,0,-nan,100000000000.0,,,,
2422,PSSCH,OK,21,12,15,400,0,-nan,100000000000.0,,,,
2424,PSSCH,OK,5,16,15,400,0,-nan,100000000000.0,,,,
2426,PSSCH,OK,14,17,15,400,0,-nan,100000000000.0,,,,
2497,PSSCH,OK,21,12,0,400,0,-nan,100000000000.0,,,,
2499,PSSCH,OK,5,16,0,400,0,-nan,100000000000.0,,,,
2501,PSSCH,OK,14,17,0,400,0,-nan,100000000000.0,,,,
2572,PSSCH,OK,21,12,1,400,0,-nan,100000000000.0,,,,
2574,PSSCH,OK,5,16,1,400,0,-nan,100000000000.0,,,,
2576,PSSCH,OK,14,17,1,400,0,-nan,100000000000.0,,,,
2647,PSSCH,OK,21,12,2,400,0,-nan,100000000000.0,,,,
2649,PSSCH,OK,5,16,2,400,0,-nan,100000000000.0,,,,
2651,PSSCH,OK,14,17,2,400,0,-nan,100000000000.0,,,,
2763,PSSCH,OK,21,12,3,400,0,-nan,100000000000.0,,,,
2765,PSSCH,OK,5,16,3,400,0,-nan,100000000000.0,,,,
2767,PSSCH,OK,14,17,3,400,0,-nan,100000000000.0,,,,
2874,PSSCH,OK,21,12,4,400,0,-nan,100000000000.0,,,,
