line_no,frame_index,trace_layer,event,request_id,source_node,target_node,tb_size,subchannel_start,subchannel_num,slot,harq_id,sinr,tbler,reason,raw_event,timestamp,area_id,upload_type,plan_index,pkt_id,matched
456,2,PHY,PSSCH_DECODE_OK,8,13,4,400,,,,0,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=8 txRnti=13 sender_l2_id=13 receiver_l2_id=4 harq_id=0 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,13_2,member_to_leader,100,100,1
458,2,PHY,PSSCH_DECODE_OK,1,14,17,400,,,,0,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=1 txRnti=14 sender_l2_id=14 receiver_l2_id=17 harq_id=0 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,12_9,member_to_leader,93,93,1
641,2,PHY,PSSCH_DECODE_OK,18,21,1,400,,,,1,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=18 txRnti=21 sender_l2_id=21 receiver_l2_id=1 harq_id=1 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,11_8,leader_to_rsu,110,110,1
643,2,PHY,PSSCH_DECODE_OK,24,14,1,400,,,,1,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=24 txRnti=14 sender_l2_id=14 receiver_l2_id=1 harq_id=1 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,14_1,leader_to_rsu,116,116,1
646,2,PHY,PSSCH_DECODE_OK,23,13,1,400,,,,1,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=23 txRnti=13 sender_l2_id=13 receiver_l2_id=1 harq_id=1 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,13_0,leader_to_rsu,115,115,1
648,2,PHY,PSSCH_DECODE_OK,20,9,1,400,,,,1,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=20 txRnti=9 sender_l2_id=9 receiver_l2_id=1 harq_id=1 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,12_3,leader_to_rsu,112,112,1
650,2,PHY,PSSCH_DECODE_OK,17,3,1,400,,,,1,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=17 txRnti=3 sender_l2_id=3 receiver_l2_id=1 harq_id=1 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,11_7,leader_to_rsu,109,109,1
810,2,PHY,PSSCH_DECODE_OK,25,2,1,400,,,,2,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=25 txRnti=2 sender_l2_id=2 receiver_l2_id=1 harq_id=2 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,14_10,leader_to_rsu,117,117,1
972,2,PHY,PSSCH_DECODE_OK,23,13,1,400,,,,3,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=23 txRnti=13 sender_l2_id=13 receiver_l2_id=1 harq_id=3 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,13_0,leader_to_rsu,115,115,1
974,2,PHY,PSSCH_DECODE_OK,17,3,1,400,,,,3,-nan,0,,[NRSL_PHY_EVENT] event=PSSCH_DECODE_OK request_ids=17 txRnti=3 sender_l2_id=3 receiver_l2_id=1 harq_id=3 tb_size=400 tbler=0 sinr=-nan sinrMin=1e+11 reason=,000064,11_7,leader_to_rsu,109,109,1
