line_no,frame_index,event,rnti,lcid,source_node,target_node,request_id,sn,fi,size,harq_id,bwp_id,layer,vr_ur,vr_uh,timestamp,area_id,upload_type,plan_index,pkt_id,matched
176,1,TX,2,5,2,20,9,0,1,400,0,0,0,,,000062,13_2,member_to_leader,55,55,1
180,1,TX,3,5,3,21,7,0,1,400,0,0,0,,,000062,13_9,member_to_leader,53,53,1
184,1,TX,5,5,5,16,2,0,1,400,0,0,0,,,000062,11_8,member_to_leader,48,48,1
188,1,TX,9,5,9,19,10,0,1,400,0,0,0,,,000062,12_10,member_to_leader,56,56,1
192,1,TX,13,5,13,4,8,0,1,400,0,0,0,,,000062,11_7,member_to_leader,54,54,1
196,1,TX,14,5,14,17,1,0,1,400,0,0,0,,,000062,12_9,member_to_leader,47,47,1
200,1,TX,16,5,16,5,6,0,1,400,0,0,0,,,000062,16_5,member_to_leader,52,52,1
204,1,TX,19,5,19,14,5,0,1,400,0,0,0,,,000062,14_3,member_to_leader,51,51,1
208,1,TX,20,5,20,2,4,0,1,400,0,0,0,,,000062,16_8,member_to_leader,50,50,1
212,1,TX,21,5,21,12,3,0,1,400,0,0,0,,,000062,15_3,member_to_leader,49,49,1
270,2,TX,2,5,2,1,25,0,1,400,2,0,0,,,000064,14_10,leader_to_rsu,117,117,1
271,2,TX,2,5,2,20,9,1,3,400,1,0,0,,,000064,15_3,member_to_leader,101,101,1
278,2,TX,3,5,3,1,17,0,1,400,1,0,0,,,000064,11_7,leader_to_rsu,109,109,1
279,2,TX,3,5,3,21,7,1,3,400,2,0,0,,,000064,15_8,member_to_leader,99,99,1
283,2,TX,4,5,4,1,21,0,1,400,0,0,0,,,000064,12_7,leader_to_rsu,113,113,1
287,2,TX,5,5,5,16,2,1,3,400,1,0,0,,,000064,11_8,member_to_leader,94,94,1
294,2,TX,9,5,9,1,20,0,1,400,1,0,0,,,000064,12_3,leader_to_rsu,112,112,1
295,2,TX,9,5,9,19,10,1,3,400,2,0,0,,,000064,11_5,member_to_leader,102,102,1
299,2,TX,12,5,12,1,19,0,1,400,0,0,0,,,000064,12_11,leader_to_rsu,111,111,1
306,2,TX,13,5,13,1,23,0,1,400,1,0,0,,,000064,13_0,leader_to_rsu,115,115,1
307,2,TX,13,5,13,4,8,1,3,400,2,0,0,,,000064,13_2,member_to_leader,100,100,1
314,2,TX,14,5,14,1,24,0,1,400,1,0,0,,,000064,14_1,leader_to_rsu,116,116,1
315,2,TX,14,5,14,17,1,1,3,400,2,0,0,,,000064,12_9,member_to_leader,93,93,1
319,2,TX,16,5,16,5,6,1,3,400,1,0,0,,,000064,11_7,member_to_leader,98,98,1
323,2,TX,17,5,17,1,22,0,1,400,0,0,0,,,000064,12_9,leader_to_rsu,114,114,1
330,2,TX,19,5,19,1,26,0,1,400,2,0,0,,,000064,11_5,leader_to_rsu,118,118,1
331,2,TX,19,5,19,14,5,1,3,400,1,0,0,,,000064,16_5,member_to_leader,97,97,1
335,2,TX,20,5,20,2,4,1,3,400,1,0,0,,,000064,16_8,member_to_leader,96,96,1
342,2,TX,21,5,21,1,18,0,1,400,1,0,0,,,000064,11_8,leader_to_rsu,110,110,1
343,2,TX,21,5,21,12,3,1,3,400,2,0,0,,,000064,15_2,member_to_leader,95,95,1
465,2,TX,2,5,2,1,25,1,3,400,3,0,0,,,000064,14_10,leader_to_rsu,117,117,1
472,2,TX,3,5,3,1,17,1,3,400,3,0,0,,,000064,11_7,leader_to_rsu,109,109,1
476,2,TX,5,5,5,16,2,2,3,400,2,0,0,,,000064,11_8,member_to_leader,94,94,1
483,2,TX,9,5,9,19,10,2,3,67,3,0,0,,,000064,11_5,member_to_leader,102,102,1
490,2,TX,13,5,13,1,23,1,3,400,3,0,0,,,000064,13_0,leader_to_rsu,115,115,1
497,2,TX,14,5,14,17,1,2,3,400,3,0,0,,,000064,12_9,member_to_leader,93,93,1
503,2,TX,16,5,16,5,6,2,3,400,2,0,0,,,000064,11_7,member_to_leader,98,98,1
510,2,TX,19,5,19,14,5,2,3,400,3,0,0,,,000064,16_5,member_to_leader,97,97,1
514,2,TX,20,5,20,2,4,2,3,400,2,0,0,,,000064,16_8,member_to_leader,96,96,1
521,2,TX,21,5,21,12,3,2,3,400,3,0,0,,,000064,15_2,member_to_leader,95,95,1
525,2,TX,4,5,4,1,21,1,3,400,1,0,0,,,000064,12_7,leader_to_rsu,113,113,1
529,2,TX,12,5,12,1,19,1,3,400,1,0,0,,,000064,12_11,leader_to_rsu,111,111,1
533,2,TX,17,5,17,1,22,1,3,400,1,0,0,,,000064,12_9,leader_to_rsu,114,114,1
638,2,RX,4,5,13,4,8,0,1,400,,,,,,000064,13_2,member_to_leader,100,100,1
639,2,RX,17,5,14,17,1,0,1,400,,,,,,000064,12_9,member_to_leader,93,93,1
654,2,TX,2,5,2,20,9,2,3,400,4,0,0,,,000064,15_3,member_to_leader,101,101,1
658,2,TX,3,5,3,21,7,2,3,400,4,0,0,,,000064,15_8,member_to_leader,99,99,1
662,2,TX,5,5,5,16,2,3,3,400,3,0,0,,,000064,11_8,member_to_leader,94,94,1
663,2,TX,9,5,9,1,20,1,3,400,4,0,0,,,000064,12_3,leader_to_rsu,112,112,1
667,2,TX,13,5,13,4,8,2,3,400,4,0,0,,,000064,13_2,member_to_leader,100,100,1
671,2,TX,14,5,14,1,24,1,3,400,4,0,0,,,000064,14_1,leader_to_rsu,116,116,1
675,2,TX,16,5,16,5,6,3,3,400,3,0,0,,,000064,11_7,member_to_leader,98,98,1
679,2,TX,19,5,19,1,26,1,3,400,4,0,0,,,000064,11_5,leader_to_rsu,118,118,1
683,2,TX,20,5,20,2,4,3,3,400,3,0,0,,,000064,16_8,member_to_leader,96,96,1
687,2,TX,21,5,21,1,18,1,3,400,4,0,0,,,000064,11_8,leader_to_rsu,110,110,1
691,2,TX,4,5,4,1,21,2,3,400,2,0,0,,,000064,12_7,leader_to_rsu,113,113,1
695,2,TX,12,5,12,1,19,2,3,400,2,0,0,,,000064,12_11,leader_to_rsu,111,111,1
699,2,TX,17,5,17,1,22,2,3,400,2,0,0,,,000064,12_9,leader_to_rsu,114,114,1
804,2,RX,1,5,21,1,18,0,1,400,,,,,,000064,11_8,leader_to_rsu,110,110,1
805,2,RX,1,5,14,1,24,0,1,400,,,,,,000064,14_1,leader_to_rsu,116,116,1
806,2,RX,1,5,13,1,23,0,1,400,,,,,,000064,13_0,leader_to_rsu,115,115,1
807,2,RX,1,5,9,1,20,0,1,400,,,,,,000064,12_3,leader_to_rsu,112,112,1
808,2,RX,1,5,3,1,17,0,1,400,,,,,,000064,11_7,leader_to_rsu,109,109,1
814,2,TX,2,5,2,1,25,2,3,400,5,0,0,,,000064,14_10,leader_to_rsu,117,117,1
818,2,TX,3,5,3,1,17,2,3,400,5,0,0,,,000064,11_7,leader_to_rsu,109,109,1
822,2,TX,5,5,5,16,2,4,3,400,4,0,0,,,000064,11_8,member_to_leader,94,94,1
826,2,TX,9,5,9,1,20,2,3,400,5,0,0,,,000064,12_3,leader_to_rsu,112,112,1
830,2,TX,13,5,13,1,23,2,3,400,5,0,0,,,000064,13_0,leader_to_rsu,115,115,1
834,2,TX,14,5,14,17,1,3,3,400,5,0,0,,,000064,12_9,member_to_leader,93,93,1
838,2,TX,16,5,16,5,6,4,3,400,4,0,0,,,000064,11_7,member_to_leader,98,98,1
842,2,TX,19,5,19,14,5,3,3,400,5,0,0,,,000064,16_5,member_to_leader,97,97,1
848,2,TX,20,5,20,2,4,4,3,400,4,0,0,,,000064,16_8,member_to_leader,96,96,1
852,2,TX,21,5,21,12,3,3,3,400,5,0,0,,,000064,15_2,member_to_leader,95,95,1
856,2,TX,4,5,4,1,21,3,3,400,3,0,0,,,000064,12_7,leader_to_rsu,113,113,1
860,2,TX,12,5,12,1,19,3,3,400,3,0,0,,,000064,12_11,leader_to_rsu,111,111,1
864,2,TX,17,5,17,1,22,3,3,400,3,0,0,,,000064,12_9,leader_to_rsu,114,114,1
969,2,RX,1,5,2,1,25,0,1,400,,,,,,000064,14_10,leader_to_rsu,117,117,1
980,2,TX,2,5,2,20,9,3,3,400,6,0,0,,,000064,15_3,member_to_leader,101,101,1
984,2,TX,3,5,3,21,7,3,3,400,6,0,0,,,000064,15_8,member_to_leader,99,99,1
988,2,TX,5,5,5,16,2,5,3,400,5,0,0,,,000064,11_8,member_to_leader,94,94,1
992,2,TX,9,5,9,1,20,3,3,400,6,0,0,,,000064,12_3,leader_to_rsu,112,112,1
996,2,TX,13,5,13,4,8,3,3,400,6,0,0,,,000064,13_2,member_to_leader,100,100,1
1000,2,TX,14,5,14,1,24,2,3,400,6,0,0,,,000064,14_1,leader_to_rsu,116,116,1
1004,2,TX,16,5,16,5,6,5,3,355,5,0,0,,,000064,11_7,member_to_leader,98,98,1
1008,2,TX,19,5,19,1,26,2,3,400,6,0,0,,,000064,11_5,leader_to_rsu,118,118,1
1012,2,TX,20,5,20,2,4,5,3,400,5,0,0,,,000064,16_8,member_to_leader,96,96,1
1016,2,TX,21,5,21,1,18,2,3,400,6,0,0,,,000064,11_8,leader_to_rsu,110,110,1
1020,2,TX,4,5,4,1,21,4,3,400,4,0,0,,,000064,12_7,leader_to_rsu,113,113,1
1024,2,TX,12,5,12,1,19,4,3,400,4,0,0,,,000064,12_11,leader_to_rsu,111,111,1
1028,2,TX,17,5,17,1,22,4,3,400,4,0,0,,,000064,12_9,leader_to_rsu,114,114,1
1133,2,RX,1,5,13,1,23,1,3,400,,,,,,000064,13_0,leader_to_rsu,115,115,1
1134,2,RX,1,5,3,1,17,1,3,400,,,,,,000064,11_7,leader_to_rsu,109,109,1
1135,2,RX,1,5,2,1,25,1,3,400,,,,,,000064,14_10,leader_to_rsu,117,117,1
1145,2,TX,2,5,2,1,25,3,3,400,7,0,0,,,000064,14_10,leader_to_rsu,117,117,1
1149,2,TX,3,5,3,1,17,3,3,400,7,0,0,,,000064,11_7,leader_to_rsu,109,109,1
1153,2,TX,5,5,5,16,2,6,3,400,6,0,0,,,000064,11_8,member_to_leader,94,94,1
1157,2,TX,9,5,9,1,20,4,3,400,7,0,0,,,000064,12_3,leader_to_rsu,112,112,1
1161,2,TX,13,5,13,1,23,3,3,400,7,0,0,,,000064,13_0,leader_to_rsu,115,115,1
1165,2,TX,14,5,14,17,1,4,3,400,7,0,0,,,000064,12_9,member_to_leader,93,93,1
1169,2,TX,19,5,19,14,5,4,3,400,7,0,0,,,000064,16_5,member_to_leader,97,97,1
1173,2,TX,20,5,20,2,4,6,3,400,6,0,0,,,000064,16_8,member_to_leader,96,96,1
1177,2,TX,21,5,21,12,3,4,3,400,7,0,0,,,000064,15_2,member_to_leader,95,95,1
1181,2,TX,4,5,4,1,21,5,3,83,5,0,0,,,000064,12_7,leader_to_rsu,113,113,1
1185,2,TX,12,5,12,1,19,5,3,83,5,0,0,,,000064,12_11,leader_to_rsu,111,111,1
1189,2,TX,17,5,17,1,22,5,3,83,5,0,0,,,000064,12_9,leader_to_rsu,114,114,1
1294,2,RX,1,5,21,1,18,1,3,400,,,,,,000064,11_8,leader_to_rsu,110,110,1
1295,2,RX,1,5,19,1,26,1,3,400,,,,,,000064,11_5,leader_to_rsu,118,118,1
1296,2,RX,1,5,9,1,20,1,3,400,,,,,,000064,12_3,leader_to_rsu,112,112,1
1309,2,TX,2,5,2,20,9,4,3,3,8,0,0,,,000064,15_3,member_to_leader,101,101,1
1313,2,TX,3,5,3,21,7,4,3,400,8,0,0,,,000064,15_8,member_to_leader,99,99,1
1319,2,TX,5,5,5,16,2,7,3,400,7,0,0,,,000064,11_8,member_to_leader,94,94,1
1323,2,TX,9,5,9,1,20,5,3,83,8,0,0,,,000064,12_3,leader_to_rsu,112,112,1
1327,2,TX,13,5,13,4,8,4,3,387,8,0,0,,,000064,13_2,member_to_leader,100,100,1
1331,2,TX,14,5,14,1,24,3,3,400,8,0,0,,,000064,14_1,leader_to_rsu,116,116,1
1335,2,TX,19,5,19,1,26,3,3,400,8,0,0,,,000064,11_5,leader_to_rsu,118,118,1
1339,2,TX,20,5,20,2,4,7,3,275,7,0,0,,,000064,16_8,member_to_leader,96,96,1
1343,2,TX,21,5,21,1,18,3,3,400,8,0,0,,,000064,11_8,leader_to_rsu,110,110,1
1452,2,RX,1,5,13,1,23,2,3,400,,,,,,000064,13_0,leader_to_rsu,115,115,1
1453,2,RX,1,5,9,1,20,2,3,400,,,,,,000064,12_3,leader_to_rsu,112,112,1
1454,2,RX,1,5,3,1,17,2,3,400,,,,,,000064,11_7,leader_to_rsu,109,109,1
