line_no,request_id,source_node,target_node,bytes,send_timestamp_ms,receive_timestamp_ms,delay_ms,frame_index,is_last_packet,timestamp,area_id,upload_type,plan_index,pkt_id,matched,match_method
965,8,10,21,2000,20.0,23.0,3.0,0,1,000060,,leader_to_rsu,8,8,1,frame_request_id
2567,3,12,4,9936,20.0,33.0,13.0,0,1,000060,,member_to_leader,3,3,1,frame_request_id
2739,6,8,1,2992,20.0,34.0,14.0,0,1,000060,,member_to_leader,6,6,1,frame_request_id
2962,9,10,21,2000,20.0,36.0,16.0,0,1,000060,,leader_to_rsu,9,9,1,frame_request_id
3153,10,9,21,2000,20.0,38.0,18.0,0,1,000060,,leader_to_rsu,10,10,1,frame_request_id
3590,4,9,19,6320,20.0,45.0,25.0,0,1,000060,,member_to_leader,4,4,1,frame_request_id
3701,7,12,4,2736,20.0,47.0,27.0,0,1,000060,,member_to_leader,7,7,1,frame_request_id
4024,2,20,16,12192,20.0,60.0,40.0,0,1,000060,,member_to_leader,2,2,1,frame_request_id
4058,1,20,5,13184,20.0,62.0,42.0,0,1,000060,,member_to_leader,1,1,1,frame_request_id
4945,18,10,21,2000,100.0,104.0,4.0,1,1,000062,,leader_to_rsu,18,18,1,frame_request_id
5441,14,8,1,4112,100.0,106.0,6.0,1,1,000062,,member_to_leader,14,14,1,frame_request_id
6561,15,4,12,3120,100.0,115.0,15.0,1,1,000062,,member_to_leader,15,15,1,frame_request_id
6663,19,10,21,2000,100.0,116.0,16.0,1,1,000062,,leader_to_rsu,19,19,1,frame_request_id
6803,20,9,21,2000,100.0,118.0,18.0,1,1,000062,,leader_to_rsu,20,20,1,frame_request_id
6965,17,8,1,2992,100.0,120.0,20.0,1,1,000062,,member_to_leader,17,17,1,frame_request_id
7297,13,9,19,6320,100.0,126.0,26.0,1,1,000062,,member_to_leader,13,13,1,frame_request_id
7701,12,20,16,12112,100.0,141.0,41.0,1,1,000062,,member_to_leader,12,12,1,frame_request_id
7735,11,20,5,13184,100.0,143.0,43.0,1,1,000062,,member_to_leader,11,11,1,frame_request_id
9102,28,10,21,2000,200.0,206.0,6.0,2,1,000064,,leader_to_rsu,28,28,1,frame_request_id
10162,24,8,1,2992,200.0,215.0,15.0,2,1,000064,,member_to_leader,24,24,1,frame_request_id
10431,30,9,21,2000,200.0,219.0,19.0,2,1,000064,,leader_to_rsu,30,30,1,frame_request_id
10432,29,10,21,2000,200.0,219.0,19.0,2,1,000064,,leader_to_rsu,29,29,1,frame_request_id
10495,22,9,19,6320,200.0,226.0,26.0,2,1,000064,,member_to_leader,22,22,1,frame_request_id
10529,21,20,5,13184,200.0,228.0,28.0,2,1,000064,,member_to_leader,21,21,1,frame_request_id
