line_no,channel,status,tx_rnti,dst_l2_id,harq_id,tb_size,tbler,sinr_avg,sinr_min,reason,frame,subframe,slot
275,PSSCH,OK,3,1,0,400,0,-nan,100000000000.0,,,,
277,PSSCH,OK,20,2,0,400,0,-nan,100000000000.0,,,,
279,PSSCH,OK,14,9,0,400,0,-nan,100000000000.0,,,,
281,PSSCH,OK,5,16,0,400,0,-nan,100000000000.0,,,,
387,PSSCH,OK,21,1,1,400,0,-nan,100000000000.0,,,,
389,PSSCH,OK,3,1,1,400,0,-nan,100000000000.0,,,,
391,PSSCH,OK,20,2,1,400,0,-nan,100000000000.0,,,,
393,PSSCH,OK,5,16,1,400,0,-nan,100000000000.0,,,,
395,PSSCH,OK,14,17,1,400,0,-nan,100000000000.0,,,,
502,PSSCH,OK,3,1,2,400,0,-nan,100000000000.0,,,,
504,PSSCH,OK,20,2,2,400,0,-nan,100000000000.0,,,,
506,PSSCH,OK,14,9,2,400,0,-nan,100000000000.0,,,,
508,PSSCH,OK,21,12,2,400,0,-nan,100000000000.0,,,,
510,PSSCH,OK,5,16,2,400,0,-nan,100000000000.0,,,,
617,PSSCH,OK,3,1,3,400,0,-nan,100000000000.0,,,,
619,PSSCH,OK,20,2,3,400,0,-nan,100000000000.0,,,,
621,PSSCH,OK,5,16,3,400,0,-nan,100000000000.0,,,,
623,PSSCH,OK,14,17,3,400,0,-nan,100000000000.0,,,,
731,PSSCH,OK,21,1,4,400,0,-nan,100000000000.0,,,,
733,PSSCH,OK,3,1,4,400,0,-nan,100000000000.0,,,,
735,PSSCH,OK,20,2,4,400,0,-nan,100000000000.0,,,,
737,PSSCH,OK,14,9,4,400,0,-nan,100000000000.0,,,,
739,PSSCH,OK,5,16,4,400,0,-nan,100000000000.0,,,,
846,PSSCH,OK,3,1,5,400,0,-nan,100000000000.0,,,,
848,PSSCH,OK,20,2,5,400,0,-nan,100000000000.0,,,,
850,PSSCH,OK,21,12,5,400,0,-nan,100000000000.0,,,,
852,PSSCH,OK,5,16,5,400,0,-nan,100000000000.0,,,,
854,PSSCH,OK,14,17,5,400,0,-nan,100000000000.0,,,,
966,PSSCH,OK,3,1,6,400,0,-nan,100000000000.0,,,,
968,PSSCH,OK,20,2,6,400,0,-nan,100000000000.0,,,,
970,PSSCH,OK,14,9,6,400,0,-nan,100000000000.0,,,,
972,PSSCH,OK,5,16,6,400,0,-nan,100000000000.0,,,,
1074,PSSCH,OK,21,1,7,400,0,-nan,100000000000.0,,,,
1076,PSSCH,OK,3,1,7,400,0,-nan,100000000000.0,,,,
1078,PSSCH,OK,20,2,7,275,0,-nan,100000000000.0,,,,
1080,PSSCH,OK,5,16,7,400,0,-nan,100000000000.0,,,,
1082,PSSCH,OK,14,17,7,400,0,-nan,100000000000.0,,,,
1173,PSSCH,OK,3,1,8,400,0,-nan,100000000000.0,,,,
1175,PSSCH,OK,14,9,8,400,0,-nan,100000000000.0,,,,
1177,PSSCH,OK,21,12,8,400,0,-nan,100000000000.0,,,,
