frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,planned_bytes,rlc_tx_count,rlc_rx_count,rlc_drop_count,phy_schedule_count,pscch_ok_count,pscch_fail_count,pssch_ok_count,pssch_fail_count,harq_ack_count,harq_nack_count,harq_timeout_count,cam_received,terminal_state
0,000060,1,20,5,,member_to_leader,13184,35,35,0,0,0,0,35,0,0,0,0,1,application_received
0,000060,2,20,16,,member_to_leader,12192,32,32,0,0,0,0,32,0,0,0,0,1,application_received
0,000060,3,12,4,,member_to_leader,9936,26,26,0,0,0,0,26,0,0,0,0,1,application_received
0,000060,4,9,19,,member_to_leader,6320,18,18,0,0,0,0,18,0,0,0,0,1,application_received
0,000060,5,9,10,,member_to_leader,3072,9,5,0,0,0,0,5,0,0,0,0,0,rlc_rx_only
0,000060,6,8,1,,member_to_leader,2992,9,9,0,0,0,0,9,0,0,0,0,1,application_received
0,000060,7,12,4,,member_to_leader,2736,8,8,0,0,0,0,8,0,0,0,0,1,application_received
0,000060,8,10,21,,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received
0,000060,9,10,21,,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received
0,000060,10,9,21,,leader_to_rsu,2000,7,7,0,0,0,0,7,0,0,0,0,1,application_received
1,000062,11,20,5,,member_to_leader,13184,35,35,0,0,0,0,35,0,0,0,0,1,application_received
1,000062,12,20,16,,member_to_leader,12112,32,32,0,0,0,0,32,0,0,0,0,1,application_received
1,000062,13,9,19,,member_to_leader,6320,18,18,0,0,0,0,18,0,0,0,0,1,application_received
1,000062,14,8,1,,member_to_leader,4112,11,11,0,0,0,0,11,0,0,0,0,1,application_received
1,000062,15,4,12,,member_to_leader,3120,10,10,0,0,0,0,10,0,0,0,0,1,application_received
1,000062,16,9,10,,member_to_leader,3072,9,5,0,0,0,0,5,0,0,0,0,0,rlc_rx_only
1,000062,17,8,1,,member_to_leader,2992,9,9,0,0,0,0,9,0,0,0,0,1,application_received
1,000062,18,10,21,,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received
1,000062,19,10,21,,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received
1,000062,20,9,21,,leader_to_rsu,2000,7,7,0,0,0,0,7,0,0,0,0,1,application_received
2,000064,21,20,5,,member_to_leader,13184,35,35,0,0,0,0,35,0,0,0,0,1,application_received
2,000064,22,9,19,,member_to_leader,6320,18,18,0,0,0,0,18,0,0,0,0,1,application_received
2,000064,23,9,10,,member_to_leader,3072,9,3,0,0,0,0,3,0,0,0,0,0,rlc_rx_only
2,000064,24,8,1,,member_to_leader,2992,9,9,0,0,0,0,9,0,0,0,0,1,application_received
2,000064,25,4,12,,member_to_leader,2928,9,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,26,12,4,,member_to_leader,2768,9,0,0,0,0,0,0,0,0,0,0,0,rlc_tx_no_rx
2,000064,27,10,9,,member_to_leader,2384,8,1,0,0,0,0,1,0,0,0,0,0,rlc_rx_only
2,000064,28,10,21,,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received
2,000064,29,10,21,,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received
2,000064,30,9,21,,leader_to_rsu,2000,7,7,0,0,0,0,7,0,0,0,0,1,application_received
