frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,plan_index,planned_bytes,tx_events,rx_events,drop_events,tx_bytes,rx_bytes,drop_bytes,matched,has_rlc_tx,has_rlc_rx,has_rlc_drop,rlc_complete,rlc_partial,rlc_no_rx
0,000060,1,20,5,,member_to_leader,1,13184,35,35,0,13335,13335,0,1,1,1,0,1,0,0
0,000060,2,20,16,,member_to_leader,2,12192,32,32,0,12337,12337,0,1,1,1,0,1,0,0
0,000060,3,12,4,,member_to_leader,3,9936,26,26,0,10400,10400,0,1,1,1,0,1,0,0
0,000060,4,9,19,,member_to_leader,4,6320,18,18,0,6437,6437,0,1,1,1,0,1,0,0
0,000060,5,9,10,,member_to_leader,5,3072,9,5,0,3171,1571,0,1,1,1,0,0,1,0
0,000060,6,8,1,,member_to_leader,6,2992,9,9,0,3091,3091,0,1,1,1,0,1,0,0
0,000060,7,12,4,,member_to_leader,7,2736,8,8,0,2504,2504,0,1,1,1,0,1,0,0
0,000060,8,10,21,,leader_to_rsu,8,2000,6,6,0,2400,2400,0,1,1,1,0,1,0,0
0,000060,9,10,21,,leader_to_rsu,9,2000,6,6,0,1788,1788,0,1,1,1,0,1,0,0
0,000060,10,9,21,,leader_to_rsu,10,2000,7,7,0,2095,2095,0,1,1,1,0,1,0,0
1,000062,11,20,5,,member_to_leader,11,13184,35,35,0,13335,13335,0,1,1,1,0,1,0,0
1,000062,12,20,16,,member_to_leader,12,12112,32,32,0,12257,12257,0,1,1,1,0,1,0,0
1,000062,13,9,19,,member_to_leader,13,6320,18,18,0,6437,6437,0,1,1,1,0,1,0,0
1,000062,14,8,1,,member_to_leader,14,4112,11,11,0,4400,4400,0,1,1,1,0,1,0,0
1,000062,15,4,12,,member_to_leader,15,3120,10,10,0,3221,3221,0,1,1,1,0,1,0,0
1,000062,16,9,10,,member_to_leader,16,3072,9,5,0,3171,1571,0,1,1,1,0,0,1,0
1,000062,17,8,1,,member_to_leader,17,2992,9,9,0,2908,2908,0,1,1,1,0,1,0,0
1,000062,18,10,21,,leader_to_rsu,18,2000,6,6,0,2400,2400,0,1,1,1,0,1,0,0
1,000062,19,10,21,,leader_to_rsu,19,2000,6,6,0,1788,1788,0,1,1,1,0,1,0,0
1,000062,20,9,21,,leader_to_rsu,20,2000,7,7,0,2095,2095,0,1,1,1,0,1,0,0
2,000064,21,20,5,,member_to_leader,21,13184,35,35,0,13335,13335,0,1,1,1,0,1,0,0
2,000064,22,9,19,,member_to_leader,22,6320,18,18,0,6437,6437,0,1,1,1,0,1,0,0
2,000064,23,9,10,,member_to_leader,23,3072,9,3,0,3171,771,0,1,1,1,0,0,1,0
2,000064,24,8,1,,member_to_leader,24,2992,9,9,0,3091,3091,0,1,1,1,0,1,0,0
2,000064,25,4,12,,member_to_leader,25,2928,9,0,0,3027,0,0,1,1,0,0,0,0,1
2,000064,26,12,4,,member_to_leader,26,2768,9,0,0,2867,0,0,1,1,0,0,0,0,1
2,000064,27,10,9,,member_to_leader,27,2384,8,1,0,2481,14,0,1,1,1,0,0,1,0
2,000064,28,10,21,,leader_to_rsu,28,2000,6,6,0,2400,2400,0,1,1,1,0,1,0,0
2,000064,29,10,21,,leader_to_rsu,29,2000,6,6,0,1788,1788,0,1,1,1,0,1,0,0
2,000064,30,9,21,,leader_to_rsu,30,2000,7,7,0,2095,2095,0,1,1,1,0,1,0,0
