line_no,frame_index,event,rnti,lcid,source_node,target_node,request_id,sn,fi,size,harq_id,bwp_id,layer,vr_ur,vr_uh,timestamp,area_id,upload_type,plan_index,pkt_id,matched
141,0,TX,3,5,3,1,8,0,1,400,0,0,0,,,000060,,leader_to_rsu,8,8,1
145,0,TX,5,5,5,16,3,0,1,400,0,0,0,,,000060,,member_to_leader,3,3,1
152,0,TX,14,5,14,9,2,0,1,400,0,0,0,,,000060,,member_to_leader,2,2,1
153,0,TX,14,5,14,17,1,0,1,400,1,0,0,,,000060,,member_to_leader,1,1,1
157,0,TX,20,5,20,2,6,0,1,400,0,0,0,,,000060,,member_to_leader,6,6,1
167,0,TX,21,5,21,1,10,0,1,400,1,0,0,,,000060,,leader_to_rsu,10,10,1
168,0,TX,21,5,21,3,5,0,1,400,0,0,0,,,000060,,member_to_leader,5,5,1
172,0,TX,3,5,3,1,8,1,3,400,1,0,0,,,000060,,leader_to_rsu,8,8,1
176,0,TX,5,5,5,16,3,1,3,400,1,0,0,,,000060,,member_to_leader,3,3,1
183,0,TX,14,5,14,9,2,1,3,400,2,0,0,,,000060,,member_to_leader,2,2,1
187,0,TX,20,5,20,2,6,1,3,400,1,0,0,,,000060,,member_to_leader,6,6,1
194,0,TX,21,5,21,12,4,0,1,400,2,0,0,,,000060,,member_to_leader,4,4,1
286,0,TX,3,5,3,1,8,2,3,400,2,0,0,,,000060,,leader_to_rsu,8,8,1
290,0,TX,5,5,5,16,3,2,3,400,2,0,0,,,000060,,member_to_leader,3,3,1
294,0,TX,14,5,14,17,1,1,3,400,3,0,0,,,000060,,member_to_leader,1,1,1
298,0,TX,20,5,20,2,6,2,3,400,2,0,0,,,000060,,member_to_leader,6,6,1
302,0,TX,21,5,21,3,5,1,3,400,3,0,0,,,000060,,member_to_leader,5,5,1
383,0,RX,1,5,3,1,8,0,1,400,,,,,,000060,,leader_to_rsu,8,8,1
384,0,RX,2,5,20,2,6,0,1,400,,,,,,000060,,member_to_leader,6,6,1
385,0,RX,9,5,14,9,2,0,1,400,,,,,,000060,,member_to_leader,2,2,1
386,0,RX,16,5,5,16,3,0,1,400,,,,,,000060,,member_to_leader,3,3,1
400,0,TX,3,5,3,1,8,3,3,400,3,0,0,,,000060,,leader_to_rsu,8,8,1
404,0,TX,5,5,5,16,3,3,3,400,3,0,0,,,000060,,member_to_leader,3,3,1
408,0,TX,14,5,14,9,2,2,3,400,4,0,0,,,000060,,member_to_leader,2,2,1
412,0,TX,20,5,20,2,6,3,3,400,3,0,0,,,000060,,member_to_leader,6,6,1
416,0,TX,21,5,21,1,10,1,3,400,4,0,0,,,000060,,leader_to_rsu,10,10,1
497,0,RX,1,5,21,1,10,0,1,400,,,,,,000060,,leader_to_rsu,10,10,1
498,0,RX,1,5,3,1,8,1,3,400,,,,,,000060,,leader_to_rsu,8,8,1
499,0,RX,2,5,20,2,6,1,3,400,,,,,,000060,,member_to_leader,6,6,1
500,0,RX,16,5,5,16,3,1,3,400,,,,,,000060,,member_to_leader,3,3,1
501,0,RX,17,5,14,17,1,0,1,400,,,,,,000060,,member_to_leader,1,1,1
515,0,TX,3,5,3,1,8,4,3,400,4,0,0,,,000060,,leader_to_rsu,8,8,1
519,0,TX,5,5,5,16,3,4,3,400,4,0,0,,,000060,,member_to_leader,3,3,1
523,0,TX,14,5,14,17,1,2,3,400,5,0,0,,,000060,,member_to_leader,1,1,1
527,0,TX,20,5,20,2,6,4,3,400,4,0,0,,,000060,,member_to_leader,6,6,1
531,0,TX,21,5,21,12,4,1,3,400,5,0,0,,,000060,,member_to_leader,4,4,1
612,0,RX,1,5,3,1,8,2,3,400,,,,,,000060,,leader_to_rsu,8,8,1
613,0,RX,2,5,20,2,6,2,3,400,,,,,,000060,,member_to_leader,6,6,1
614,0,RX,9,5,14,9,2,1,3,400,,,,,,000060,,member_to_leader,2,2,1
615,0,RX,12,5,21,12,4,0,1,400,,,,,,000060,,member_to_leader,4,4,1
616,0,RX,16,5,5,16,3,2,3,400,,,,,,000060,,member_to_leader,3,3,1
630,0,TX,3,5,3,1,8,5,3,400,5,0,0,,,000060,,leader_to_rsu,8,8,1
634,0,TX,5,5,5,16,3,5,3,400,5,0,0,,,000060,,member_to_leader,3,3,1
638,0,TX,14,5,14,9,2,3,3,400,6,0,0,,,000060,,member_to_leader,2,2,1
642,0,TX,20,5,20,2,6,5,3,400,5,0,0,,,000060,,member_to_leader,6,6,1
646,0,TX,21,5,21,3,5,2,3,400,6,0,0,,,000060,,member_to_leader,5,5,1
727,0,RX,1,5,3,1,8,3,3,400,,,,,,000060,,leader_to_rsu,8,8,1
728,0,RX,2,5,20,2,6,3,3,400,,,,,,000060,,member_to_leader,6,6,1
729,0,RX,16,5,5,16,3,3,3,400,,,,,,000060,,member_to_leader,3,3,1
730,0,RX,17,5,14,17,1,1,3,400,,,,,,000060,,member_to_leader,1,1,1
744,0,TX,3,5,3,1,9,6,3,400,6,0,0,,,000060,,leader_to_rsu,9,9,1
748,0,TX,5,5,5,16,3,6,3,400,6,0,0,,,000060,,member_to_leader,3,3,1
752,0,TX,14,5,14,17,1,3,3,400,7,0,0,,,000060,,member_to_leader,1,1,1
756,0,TX,20,5,20,2,6,6,3,400,6,0,0,,,000060,,member_to_leader,6,6,1
760,0,TX,21,5,21,1,10,2,3,400,7,0,0,,,000060,,leader_to_rsu,10,10,1
841,0,RX,1,5,21,1,10,1,3,400,,,,,,000060,,leader_to_rsu,10,10,1
842,0,RX,1,5,3,1,8,4,3,400,,,,,,000060,,leader_to_rsu,8,8,1
843,0,RX,2,5,20,2,6,4,3,400,,,,,,000060,,member_to_leader,6,6,1
844,0,RX,9,5,14,9,2,2,3,400,,,,,,000060,,member_to_leader,2,2,1
845,0,RX,16,5,5,16,3,4,3,400,,,,,,000060,,member_to_leader,3,3,1
859,0,TX,3,5,3,1,9,7,3,400,7,0,0,,,000060,,leader_to_rsu,9,9,1
863,0,TX,5,5,5,16,3,7,3,400,7,0,0,,,000060,,member_to_leader,3,3,1
867,0,TX,14,5,14,9,2,4,3,400,8,0,0,,,000060,,member_to_leader,2,2,1
871,0,TX,20,5,20,2,6,7,3,275,7,0,0,,,000060,,member_to_leader,6,6,1
875,0,TX,21,5,21,12,4,2,3,400,8,0,0,,,000060,,member_to_leader,4,4,1
956,0,RX,1,5,3,1,8,5,3,400,,,,,,000060,,leader_to_rsu,8,8,1
961,0,RX,2,5,20,2,6,5,3,400,,,,,,000060,,member_to_leader,6,6,1
962,0,RX,12,5,21,12,4,1,3,400,,,,,,000060,,member_to_leader,4,4,1
963,0,RX,16,5,5,16,3,5,3,400,,,,,,000060,,member_to_leader,3,3,1
964,0,RX,17,5,14,17,1,2,3,400,,,,,,000060,,member_to_leader,1,1,1
977,0,TX,3,5,3,1,9,8,3,400,8,0,0,,,000060,,leader_to_rsu,9,9,1
981,0,TX,5,5,5,16,3,8,3,400,8,0,0,,,000060,,member_to_leader,3,3,1
985,0,TX,14,5,14,17,1,4,3,400,9,0,0,,,000060,,member_to_leader,1,1,1
989,0,TX,21,5,21,3,5,3,3,400,9,0,0,,,000060,,member_to_leader,5,5,1
1070,0,RX,1,5,3,1,9,6,3,400,,,,,,000060,,leader_to_rsu,9,9,1
1071,0,RX,2,5,20,2,6,6,3,400,,,,,,000060,,member_to_leader,6,6,1
1072,0,RX,9,5,14,9,2,3,3,400,,,,,,000060,,member_to_leader,2,2,1
1073,0,RX,16,5,5,16,3,6,3,400,,,,,,000060,,member_to_leader,3,3,1
1087,0,TX,3,5,3,1,9,9,3,400,9,0,0,,,000060,,leader_to_rsu,9,9,1
1091,0,TX,5,5,5,16,3,9,3,400,9,0,0,,,000060,,member_to_leader,3,3,1
1095,0,TX,14,5,14,9,2,5,3,400,10,0,0,,,000060,,member_to_leader,2,2,1
1099,0,TX,21,5,21,1,10,3,3,400,10,0,0,,,000060,,leader_to_rsu,10,10,1
1168,0,RX,1,5,21,1,10,2,3,400,,,,,,000060,,leader_to_rsu,10,10,1
1169,0,RX,1,5,3,1,9,7,3,400,,,,,,000060,,leader_to_rsu,9,9,1
1170,0,RX,2,5,20,2,6,7,3,275,,,,,,000060,,member_to_leader,6,6,1
1171,0,RX,16,5,5,16,3,7,3,400,,,,,,000060,,member_to_leader,3,3,1
1172,0,RX,17,5,14,17,1,3,3,400,,,,,,000060,,member_to_leader,1,1,1
1184,0,TX,3,5,3,1,9,10,3,166,10,0,0,,,000060,,leader_to_rsu,9,9,1
1188,0,TX,5,5,5,16,3,10,3,400,10,0,0,,,000060,,member_to_leader,3,3,1
1192,0,TX,14,5,14,17,1,5,3,400,11,0,0,,,000060,,member_to_leader,1,1,1
1196,0,TX,21,5,21,12,4,3,3,400,11,0,0,,,000060,,member_to_leader,4,4,1
1265,0,RX,1,5,3,1,9,8,3,400,,,,,,000060,,leader_to_rsu,9,9,1
1266,0,RX,9,5,14,9,2,4,3,400,,,,,,000060,,member_to_leader,2,2,1
1267,0,RX,12,5,21,12,4,2,3,400,,,,,,000060,,member_to_leader,4,4,1
1268,0,RX,16,5,5,16,3,8,3,400,,,,,,000060,,member_to_leader,3,3,1
1278,0,TX,5,5,5,16,3,11,3,400,11,0,0,,,000060,,member_to_leader,3,3,1
1282,0,TX,14,5,14,9,2,6,3,400,12,0,0,,,000060,,member_to_leader,2,2,1
1286,0,TX,21,5,21,3,5,4,3,400,12,0,0,,,000060,,member_to_leader,5,5,1
1355,0,RX,1,5,3,1,9,9,3,400,,,,,,000060,,leader_to_rsu,9,9,1
1356,0,RX,16,5,5,16,3,9,3,400,,,,,,000060,,member_to_leader,3,3,1
1357,0,RX,17,5,14,17,1,4,3,400,,,,,,000060,,member_to_leader,1,1,1
1369,0,TX,5,5,5,16,3,12,3,400,12,0,0,,,000060,,member_to_leader,3,3,1
1373,0,TX,14,5,14,17,1,6,3,400,13,0,0,,,000060,,member_to_leader,1,1,1
1377,0,TX,21,5,21,1,10,4,3,400,13,0,0,,,000060,,leader_to_rsu,10,10,1
1432,0,RX,1,5,21,1,10,3,3,400,,,,,,000060,,leader_to_rsu,10,10,1
1433,0,RX,1,5,3,1,9,10,3,166,,,,,,000060,,leader_to_rsu,9,9,1
1434,0,RX,9,5,14,9,2,5,3,400,,,,,,000060,,member_to_leader,2,2,1
1435,0,RX,16,5,5,16,3,10,3,400,,,,,,000060,,member_to_leader,3,3,1
1445,0,TX,5,5,5,16,3,13,3,400,13,0,0,,,000060,,member_to_leader,3,3,1
1449,0,TX,14,5,14,9,2,7,3,400,14,0,0,,,000060,,member_to_leader,2,2,1
1453,0,TX,21,5,21,12,4,4,3,400,14,0,0,,,000060,,member_to_leader,4,4,1
1508,0,RX,12,5,21,12,4,3,3,400,,,,,,000060,,member_to_leader,4,4,1
1509,0,RX,16,5,5,16,3,11,3,400,,,,,,000060,,member_to_leader,3,3,1
1510,0,RX,17,5,14,17,1,5,3,400,,,,,,000060,,member_to_leader,1,1,1
1520,0,TX,5,5,5,16,3,14,3,400,14,0,0,,,000060,,member_to_leader,3,3,1
1524,0,TX,14,5,14,17,1,7,3,400,15,0,0,,,000060,,member_to_leader,1,1,1
1528,0,TX,21,5,21,3,5,5,3,400,15,0,0,,,000060,,member_to_leader,5,5,1
1583,0,RX,3,5,21,3,5,4,3,400,,,,,,000060,,member_to_leader,5,5,1
1584,0,RX,9,5,14,9,2,6,3,400,,,,,,000060,,member_to_leader,2,2,1
1585,0,RX,16,5,5,16,3,12,3,400,,,,,,000060,,member_to_leader,3,3,1
1595,0,TX,5,5,5,16,3,15,3,400,15,0,0,,,000060,,member_to_leader,3,3,1
1599,0,TX,14,5,14,9,2,8,3,400,0,0,0,,,000060,,member_to_leader,2,2,1
1603,0,TX,21,5,21,1,10,5,3,83,0,0,0,,,000060,,leader_to_rsu,10,10,1
1658,0,RX,1,5,21,1,10,4,3,400,,,,,,000060,,leader_to_rsu,10,10,1
1659,0,RX,16,5,5,16,3,13,3,400,,,,,,000060,,member_to_leader,3,3,1
1660,0,RX,17,5,14,17,1,6,3,400,,,,,,000060,,member_to_leader,1,1,1
1670,0,TX,5,5,5,16,3,16,3,400,0,0,0,,,000060,,member_to_leader,3,3,1
1674,0,TX,14,5,14,17,1,8,3,400,1,0,0,,,000060,,member_to_leader,1,1,1
1675,0,TX,21,5,21,12,4,5,3,400,1,0,0,,,000060,,member_to_leader,4,4,1
1730,0,RX,9,5,14,9,2,7,3,400,,,,,,000060,,member_to_leader,2,2,1
1731,0,RX,12,5,21,12,4,4,3,400,,,,,,000060,,member_to_leader,4,4,1
1732,0,RX,16,5,5,16,3,14,3,400,,,,,,000060,,member_to_leader,3,3,1
1742,0,TX,5,5,5,16,3,17,3,400,1,0,0,,,000060,,member_to_leader,3,3,1
1746,0,TX,14,5,14,9,2,9,3,400,2,0,0,,,000060,,member_to_leader,2,2,1
1750,0,TX,21,5,21,3,5,6,3,400,2,0,0,,,000060,,member_to_leader,5,5,1
1805,0,RX,3,5,21,3,5,5,3,400,,,,,,000060,,member_to_leader,5,5,1
1806,0,RX,16,5,5,16,3,15,3,400,,,,,,000060,,member_to_leader,3,3,1
1807,0,RX,17,5,14,17,1,7,3,400,,,,,,000060,,member_to_leader,1,1,1
1817,0,TX,5,5,5,16,3,18,3,400,2,0,0,,,000060,,member_to_leader,3,3,1
1821,0,TX,14,5,14,17,1,9,3,400,3,0,0,,,000060,,member_to_leader,1,1,1
1825,0,TX,21,5,21,12,4,6,3,400,3,0,0,,,000060,,member_to_leader,4,4,1
