timestamp,area_id,source_id,target_id,bytes,upload_type,pkt_id,sc_start,sc_num
000060,,20,5,13184,member_to_leader,1,0,1
000060,,20,16,12192,member_to_leader,2,1,1
000060,,12,4,9936,member_to_leader,3,2,1
000060,,9,19,6320,member_to_leader,4,3,1
000060,,9,10,3072,member_to_leader,5,4,1
000060,,8,1,2992,member_to_leader,6,5,1
000060,,12,4,2736,member_to_leader,7,6,1
000060,,10,21,2000,leader_to_rsu,8,7,1
000060,,10,21,2000,leader_to_rsu,9,8,1
000060,,9,21,2000,leader_to_rsu,10,9,1
000062,,20,5,13184,member_to_leader,11,0,1
000062,,20,16,12112,member_to_leader,12,1,1
000062,,9,19,6320,member_to_leader,13,2,1
000062,,8,1,4112,member_to_leader,14,3,1
000062,,4,12,3120,member_to_leader,15,4,1
000062,,9,10,3072,member_to_leader,16,5,1
000062,,8,1,2992,member_to_leader,17,6,1
000062,,10,21,2000,leader_to_rsu,18,7,1
000062,,10,21,2000,leader_to_rsu,19,8,1
000062,,9,21,2000,leader_to_rsu,20,9,1
000064,,20,5,13184,member_to_leader,21,0,1
000064,,9,19,6320,member_to_leader,22,1,1
000064,,9,10,3072,member_to_leader,23,2,1
000064,,8,1,2992,member_to_leader,24,3,1
000064,,4,12,2928,member_to_leader,25,4,1
000064,,12,4,2768,member_to_leader,26,5,1
000064,,10,9,2384,member_to_leader,27,6,1
000064,,10,21,2000,leader_to_rsu,28,7,1
000064,,10,21,2000,leader_to_rsu,29,8,1
000064,,9,21,2000,leader_to_rsu,30,9,1
