timestamp,input_requests,scheduled_requests,capacity_gated_requests,scheduled_member_requests,scheduled_leader_requests,input_bytes,scheduled_bytes,capacity_gated_bytes
000060,46,10,36,7,3,125888,56432,69456
000062,46,10,36,7,3,121456,50912,70544
000064,45,10,35,7,3,105056,39648,65408
000066,45,10,35,7,3,105568,39568,66000
000068,45,10,35,7,3,105536,39280,66256
000070,45,10,35,7,3,117280,49120,68160
000072,46,10,36,7,3,127648,56048,71600
000074,45,10,35,7,3,112512,41760,70752
000076,46,10,36,7,3,126672,53328,73344
000078,47,10,37,7,3,132272,58576,73696
000080,48,10,38,7,3,133680,58736,74944
