timestamp,rank,anchor_channel,feature_x,feature_y,score
000060,1,0,183,35,0.815208
000060,2,1,129,78,0.714949
000060,3,0,184,35,0.570409
000060,4,0,131,15,0.559843
000060,5,1,162,35,0.556072
000060,6,1,162,36,0.523211
000060,7,0,175,46,0.495430
000060,8,0,183,36,0.494691
000060,9,1,113,40,0.484433
000060,10,1,129,79,0.471708
000060,11,0,124,65,0.471239
000060,12,1,148,86,0.462222
000060,13,1,130,78,0.460355
000060,14,1,129,77,0.454761
000060,15,0,107,24,0.433227
000060,16,0,158,17,0.429638
000060,17,0,104,49,0.429575
000060,18,0,170,32,0.426931
000060,19,0,158,23,0.426514
000060,20,1,129,93,0.423151
