timestamp,rank,anchor_channel,feature_x,feature_y,score
000060,1,0,183,35,0.893363
000060,2,1,129,78,0.759921
000060,3,1,113,40,0.596820
000060,4,0,124,65,0.596150
000060,5,0,131,15,0.576645
000060,6,1,162,35,0.572127
000060,7,1,130,78,0.559852
000060,8,0,183,36,0.539701
000060,9,0,184,35,0.530226
000060,10,1,162,36,0.526267
000060,11,1,129,79,0.522149
000060,12,0,175,46,0.497032
000060,13,0,169,33,0.481371
000060,14,1,148,86,0.479461
000060,15,0,158,17,0.469811
000060,16,0,107,24,0.466450
000060,17,1,113,41,0.459895
000060,18,0,104,49,0.454544
000060,19,0,100,43,0.450610
000060,20,1,167,37,0.413671
