scenario_id,timestamp,area_id,leader_id,group_members,group_size,slice_file,dtype,scatter_source_shape,fused_source_shape,scatter_slice_shape,fused_slice_shape,scatter_x0,scatter_x1,scatter_y0,scatter_y1,fused_x0,fused_x1,fused_y0,fused_y1,scatter_elements,fused_elements,uncompressed_bytes,compressed_npz_bytes,in_lidar_range
2026_07_15_02_33_21,000060,12_9,5,5;20,2,slices/000060_area12_9_leader5.npz,float16,2x64x200x704,1x384x100x352,2x64x29x29,1x384x15x15,346,375,82,111,173,188,41,56,107648,86400,388096,43887,1
2026_07_15_02_33_21,000060,13_2,11,11;2,2,slices/000060_area13_2_leader11.npz,float16,2x64x200x704,1x384x100x352,2x64x30x25,1x384x15x13,338,363,76,106,169,182,38,53,96000,74880,341760,35953,1
2026_07_15_02_33_21,000060,13_0,2,2,1,slices/000060_area13_0_leader2.npz,float16,1x64x200x704,1x384x100x352,1x64x27x17,1x384x14x9,347,364,82,109,173,182,41,55,29376,48384,155520,22574,1
2026_07_15_02_33_21,000060,11_7,9,9;10,2,slices/000060_area11_7_leader9.npz,float16,2x64x200x704,1x384x100x352,2x64x26x30,1x384x14x16,347,377,87,113,173,189,43,57,99840,86016,371712,43207,1
2026_07_15_02_33_21,000060,13_3,11,11,1,slices/000060_area13_3_leader11.npz,float16,1x64x200x704,1x384x100x352,1x64x30x25,1x384x15x13,352,377,70,100,176,189,35,50,48000,74880,245760,33257,1
2026_07_15_02_33_21,000060,14_11,7,7;16,2,slices/000060_area14_11_leader7.npz,float16,2x64x200x704,1x384x100x352,2x64x24x30,1x384x12x15,326,356,110,134,163,178,55,67,92160,69120,322560,38304,1
2026_07_15_02_33_21,000060,14_1,1,1,1,slices/000060_area14_1_leader1.npz,float16,1x64x200x704,1x384x100x352,1x64x27x16,1x384x14x9,347,363,79,106,173,182,39,53,27648,48384,152064,22972,1
2026_07_15_02_33_21,000060,15_4,8,8,1,slices/000060_area15_4_leader8.npz,float16,1x64x200x704,1x384x100x352,1x64x28x30,1x384x15x16,327,357,87,115,163,179,43,58,53760,92160,291840,39552,1
2026_07_15_02_33_21,000060,12_4,10,10,1,slices/000060_area12_4_leader10.npz,float16,1x64x200x704,1x384x100x352,1x64x30x25,1x384x15x13,320,345,82,112,160,173,41,56,48000,74880,245760,35236,1
2026_07_15_02_33_21,000060,14_3,1,1;8,2,slices/000060_area14_3_leader1.npz,float16,2x64x200x704,1x384x100x352,2x64x26x16,1x384x13x9,317,333,80,106,158,167,40,53,53248,44928,196352,23797,1
2026_07_15_02_33_21,000060,17_5,12,12;4,2,slices/000060_area17_5_leader12.npz,float16,2x64x200x704,1x384x100x352,2x64x22x29,1x384x12x15,370,399,69,91,185,200,34,46,81664,69120,301568,35588,1
2026_07_15_02_33_21,000060,18_7,12,12,1,slices/000060_area18_7_leader12.npz,float16,1x64x200x704,1x384x100x352,1x64x22x30,1x384x12x16,385,415,105,127,192,208,52,64,42240,73728,231936,38604,1
2026_07_15_02_33_21,000060,15_3,8,8;1,2,slices/000060_area15_3_leader8.npz,float16,2x64x200x704,1x384x100x352,2x64x29x30,1x384x15x15,336,366,98,127,168,183,49,64,111360,86400,395520,43281,1
2026_07_15_02_33_21,000060,17_7,12,12,1,slices/000060_area17_7_leader12.npz,float16,1x64x200x704,1x384x100x352,1x64x22x30,1x384x11x16,361,391,98,120,180,196,49,60,42240,67584,219648,35235,1
2026_07_15_02_33_21,000060,16_7,12,12,1,slices/000060_area16_7_leader12.npz,float16,1x64x200x704,1x384x100x352,1x64x22x30,1x384x12x16,337,367,91,113,168,184,45,57,42240,73728,231936,35721,1
2026_07_15_02_33_21,000060,14_9,7,7,1,slices/000060_area14_9_leader7.npz,float16,1x64x200x704,1x384x100x352,1x64x24x30,1x384x12x16,337,367,82,106,168,184,41,53,46080,73728,239616,34894,1
2026_07_15_02_33_21,000060,12_10,16,16;20,2,slices/000060_area12_10_leader16.npz,float16,2x64x200x704,1x384x100x352,2x64x30x23,1x384x15x12,334,357,90,120,167,179,45,60,88320,69120,314880,39996,1
2026_07_15_02_33_21,000060,14_10,7,7,1,slices/000060_area14_10_leader7.npz,float16,1x64x200x704,1x384x100x352,1x64x24x29,1x384x12x15,332,361,96,120,166,181,48,60,44544,69120,227328,33772,1
2026_07_15_02_33_21,000060,12_5,10,10,1,slices/000060_area12_5_leader10.npz,float16,1x64x200x704,1x384x100x352,1x64x30x24,1x384x15x12,334,358,76,106,167,179,38,53,46080,69120,230400,33155,1
2026_07_15_02_33_21,000060,15_6,4,4,1,slices/000060_area15_6_leader4.npz,float16,1x64x200x704,1x384x100x352,1x64x27x19,1x384x14x10,348,367,75,102,174,184,37,51,32832,53760,173184,26345,1
2026_07_15_02_33_21,000060,11_5,10,10;9,2,slices/000060_area11_5_leader10.npz,float16,2x64x200x704,1x384x100x352,2x64x30x24,1x384x16x12,344,368,99,129,172,184,49,65,92160,73728,331776,42499,1
2026_07_15_02_33_21,000060,13_9,20,20;7,2,slices/000060_area13_9_leader20.npz,float16,2x64x200x704,1x384x100x352,2x64x30x25,1x384x15x13,341,366,70,100,170,183,35,50,96000,74880,341760,38243,1
2026_07_15_02_33_21,000060,16_8,4,12;4,2,slices/000060_area16_8_leader4.npz,float16,2x64x200x704,1x384x100x352,2x64x28x18,1x384x15x9,322,340,103,131,161,170,51,66,64512,51840,232704,34616,1
