scenario_id,timestamp,area_id,leader_id,group_members,group_size,leader_slice_file,source_slice_file,fusion_methods,dtype,source_scatter_shape,leader_scatter_shape,model_fused_reference_shape,uncompressed_bytes,compressed_npz_bytes
2026_07_15_02_33_21,000060,12_9,5,5;20,2,leader_slices/000060_area12_9_leader5.npz,slices/000060_area12_9_leader5.npz,mean;max,float16,2x64x29x29,1x64x29x29,1x384x15x15,388096,52001
2026_07_15_02_33_21,000060,13_2,11,11;2,2,leader_slices/000060_area13_2_leader11.npz,slices/000060_area13_2_leader11.npz,mean;max,float16,2x64x30x25,1x64x30x25,1x384x15x13,341760,40975
2026_07_15_02_33_21,000060,13_0,2,2,1,leader_slices/000060_area13_0_leader2.npz,slices/000060_area13_0_leader2.npz,mean;max,float16,1x64x27x17,1x64x27x17,1x384x14x9,214272,26186
2026_07_15_02_33_21,000060,11_7,9,9;10,2,leader_slices/000060_area11_7_leader9.npz,slices/000060_area11_7_leader9.npz,mean;max,float16,2x64x26x30,1x64x26x30,1x384x14x16,371712,50212
2026_07_15_02_33_21,000060,13_3,11,11,1,leader_slices/000060_area13_3_leader11.npz,slices/000060_area13_3_leader11.npz,mean;max,float16,1x64x30x25,1x64x30x25,1x384x15x13,341760,39376
2026_07_15_02_33_21,000060,14_11,7,7;16,2,leader_slices/000060_area14_11_leader7.npz,slices/000060_area14_11_leader7.npz,mean;max,float16,2x64x24x30,1x64x24x30,1x384x12x15,322560,45106
2026_07_15_02_33_21,000060,14_1,1,1,1,leader_slices/000060_area14_1_leader1.npz,slices/000060_area14_1_leader1.npz,mean;max,float16,1x64x27x16,1x64x27x16,1x384x14x9,207360,25592
2026_07_15_02_33_21,000060,15_4,8,8,1,leader_slices/000060_area15_4_leader8.npz,slices/000060_area15_4_leader8.npz,mean;max,float16,1x64x28x30,1x64x28x30,1x384x15x16,399360,41144
2026_07_15_02_33_21,000060,12_4,10,10,1,leader_slices/000060_area12_4_leader10.npz,slices/000060_area12_4_leader10.npz,mean;max,float16,1x64x30x25,1x64x30x25,1x384x15x13,341760,43205
2026_07_15_02_33_21,000060,14_3,1,1;8,2,leader_slices/000060_area14_3_leader1.npz,slices/000060_area14_3_leader1.npz,mean;max,float16,2x64x26x16,1x64x26x16,1x384x13x9,196352,27955
2026_07_15_02_33_21,000060,17_5,12,12;4,2,leader_slices/000060_area17_5_leader12.npz,slices/000060_area17_5_leader12.npz,mean;max,float16,2x64x22x29,1x64x22x29,1x384x12x15,301568,38568
2026_07_15_02_33_21,000060,18_7,12,12,1,leader_slices/000060_area18_7_leader12.npz,slices/000060_area18_7_leader12.npz,mean;max,float16,1x64x22x30,1x64x22x30,1x384x12x16,316416,40674
2026_07_15_02_33_21,000060,15_3,8,8;1,2,leader_slices/000060_area15_3_leader8.npz,slices/000060_area15_3_leader8.npz,mean;max,float16,2x64x29x30,1x64x29x30,1x384x15x15,395520,48892
2026_07_15_02_33_21,000060,17_7,12,12,1,leader_slices/000060_area17_7_leader12.npz,slices/000060_area17_7_leader12.npz,mean;max,float16,1x64x22x30,1x64x22x30,1x384x11x16,304128,40263
2026_07_15_02_33_21,000060,16_7,12,12,1,leader_slices/000060_area16_7_leader12.npz,slices/000060_area16_7_leader12.npz,mean;max,float16,1x64x22x30,1x64x22x30,1x384x12x16,316416,43405
2026_07_15_02_33_21,000060,14_9,7,7,1,leader_slices/000060_area14_9_leader7.npz,slices/000060_area14_9_leader7.npz,mean;max,float16,1x64x24x30,1x64x24x30,1x384x12x16,331776,42271
2026_07_15_02_33_21,000060,12_10,16,16;20,2,leader_slices/000060_area12_10_leader16.npz,slices/000060_area12_10_leader16.npz,mean;max,float16,2x64x30x23,1x64x30x23,1x384x15x12,314880,45713
2026_07_15_02_33_21,000060,14_10,7,7,1,leader_slices/000060_area14_10_leader7.npz,slices/000060_area14_10_leader7.npz,mean;max,float16,1x64x24x29,1x64x24x29,1x384x12x15,316416,42554
2026_07_15_02_33_21,000060,12_5,10,10,1,leader_slices/000060_area12_5_leader10.npz,slices/000060_area12_5_leader10.npz,mean;max,float16,1x64x30x24,1x64x30x24,1x384x15x12,322560,39437
2026_07_15_02_33_21,000060,15_6,4,4,1,leader_slices/000060_area15_6_leader4.npz,slices/000060_area15_6_leader4.npz,mean;max,float16,1x64x27x19,1x64x27x19,1x384x14x10,238848,30913
2026_07_15_02_33_21,000060,11_5,10,10;9,2,leader_slices/000060_area11_5_leader10.npz,slices/000060_area11_5_leader10.npz,mean;max,float16,2x64x30x24,1x64x30x24,1x384x16x12,331776,47745
2026_07_15_02_33_21,000060,13_9,20,20;7,2,leader_slices/000060_area13_9_leader20.npz,slices/000060_area13_9_leader20.npz,mean;max,float16,2x64x30x25,1x64x30x25,1x384x15x13,341760,44901
2026_07_15_02_33_21,000060,16_8,4,12;4,2,leader_slices/000060_area16_8_leader4.npz,slices/000060_area16_8_leader4.npz,mean;max,float16,2x64x28x18,1x64x28x18,1x384x15x9,232704,39210
