timestamp,area_id,leader_id,reference_cav_id,source_x0,source_x1,source_y0,source_y1,target_x0,target_x1,target_y0,target_y1,source_cells,target_cells,resize_area_ratio,leader_yaw,reference_yaw,yaw_delta_deg,abs_yaw_delta_deg
000060,12_9,5,1,346,375,82,111,227,243,30,56,841,416,0.494649,47.703888,-89.999992,137.703880,137.703880
000060,13_2,11,1,338,363,76,106,332,348,55,81,750,416,0.554667,112.825188,-89.999992,-157.174820,157.174820
000060,13_0,2,1,347,364,82,109,362,378,54,80,459,416,0.906318,94.182877,-89.999992,-175.817131,175.817131
000060,11_7,9,1,347,377,87,113,257,273,5,31,780,416,0.533333,26.953032,-89.999992,116.953024,116.953024
000060,13_3,11,1,352,377,70,100,317,333,55,81,750,416,0.554667,112.825188,-89.999992,-157.174820,157.174820
000060,14_11,7,1,326,356,110,134,197,213,80,106,720,416,0.577778,-20.863428,-89.999992,69.136564,69.136564
000060,14_1,1,1,347,363,79,106,347,363,79,106,432,432,1.000000,-89.999992,-89.999992,0.000000,0.000000
000060,15_4,8,1,327,357,87,115,302,318,105,131,840,416,0.495238,-141.937851,-89.999992,-51.937859,51.937859
000060,12_4,10,1,320,345,82,112,302,318,30,56,750,416,0.554667,112.922371,-89.999992,-157.077637,157.077637
000060,14_3,1,1,317,333,80,106,317,333,80,106,416,416,1.000000,-89.999992,-89.999992,0.000000,0.000000
000060,17_5,12,1,370,399,69,91,287,303,155,181,638,416,0.652038,-16.383223,-89.999992,73.616770,73.616770
000060,18_7,12,1,385,415,105,127,257,273,180,200,660,320,0.484848,-16.383223,-89.999992,73.616770,73.616770
000060,15_3,8,1,336,366,98,127,317,333,105,131,870,416,0.478161,-141.937851,-89.999992,-51.937859,51.937859
000060,17_7,12,1,361,391,98,120,257,273,155,181,660,416,0.630303,-16.383223,-89.999992,73.616770,73.616770
000060,16_7,12,1,337,367,91,113,257,273,130,156,660,416,0.630303,-16.383223,-89.999992,73.616770,73.616770
000060,14_9,7,1,337,367,82,106,227,243,80,106,720,416,0.577778,-20.863428,-89.999992,69.136564,69.136564
000060,12_10,16,1,334,357,90,120,212,228,30,56,690,416,0.602899,70.455299,-89.999992,160.455292,160.455292
000060,14_10,7,1,332,361,96,120,212,228,80,106,696,416,0.597701,-20.863428,-89.999992,69.136564,69.136564
000060,12_5,10,1,334,358,76,106,287,303,30,56,720,416,0.577778,112.922371,-89.999992,-157.077637,157.077637
000060,15_6,4,1,348,367,75,102,272,288,105,131,513,416,0.810916,-83.077599,-89.999992,6.922394,6.922394
000060,11_5,10,1,344,368,99,129,287,303,5,31,720,416,0.577778,112.922371,-89.999992,-157.077637,157.077637
000060,13_9,20,1,341,366,70,100,227,243,55,81,750,416,0.554667,62.386139,-89.999992,152.386131,152.386131
000060,16_8,4,1,322,340,103,131,242,258,130,156,504,416,0.825397,-83.077599,-89.999992,6.922394,6.922394
