timestamp,rank,anchor_channel,feature_x,feature_y,score
000060,1,0,186,31,0.867036
000060,2,0,137,76,0.630663
000060,3,0,123,66,0.453195
000060,4,0,175,46,0.452532
000060,5,0,123,65,0.429883
000060,6,0,185,31,0.409834
000060,7,0,135,66,0.408705
000060,8,0,135,7,0.354160
000060,9,0,145,2,0.337880
000060,10,1,122,75,0.329380
000060,11,0,108,15,0.329071
000060,12,0,136,76,0.328105
000060,13,1,122,74,0.322578
000060,14,0,169,34,0.308100
000060,15,0,145,79,0.292221
000060,16,0,157,36,0.290893
000060,17,1,120,73,0.283891
000060,18,0,158,36,0.283179
000060,19,0,116,19,0.279280
000060,20,1,162,42,0.269458
